dataset_id	analysis_role	required_relative_path	public_landing_page	redistributed	local_source_sha256	local_source_size_bytes	notes
GSE176017	rat DRG animal-level projection	data/raw/GSE176017/GSE176017_family.soft.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE176017	no	6c950fdd6c10f3ff1c1b5ae98f4ec8ff259682e496a635ef45f80e6a7a3599eb	2852	GEO family metadata
GSE176017	rat DRG animal-level projection	data/raw/GSE176017/GSE176017_RAW.tar	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE176017	no	0a6eb0f1552de9322ac2b3748ac41c9dccd443c867842c2da86b35a4a0055cac	12820480	Extract the eight GSM expression matrices into data/raw/GSE176017/extracted
PMC8933403	independent human hDRG validation	data/raw/human_DPN_bulk_PMC8933403/41598_2022_8100_MOESM2_ESM.xlsx	https://pmc.ncbi.nlm.nih.gov/articles/PMC8933403/	no	ad1bce8ef8a5fe88d959f65635a37e644c299c76f74123b070cb4b2c82694722	13460	Publisher supplementary workbook
PMC8933403	supplement audit	data/raw/human_DPN_bulk_PMC8933403/41598_2022_8100_MOESM3_ESM.xlsx	https://pmc.ncbi.nlm.nih.gov/articles/PMC8933403/	no	a386c088f3f8f44f986797af4c01847a5b45429da6265e6de1fc6ae17b728def	9741	Publisher supplementary workbook
PMC8933403	supplement audit	data/raw/human_DPN_bulk_PMC8933403/41598_2022_8100_MOESM4_ESM.xlsx	https://pmc.ncbi.nlm.nih.gov/articles/PMC8933403/	no	b208aac363cb4c4eed2877657ecab83a31139be9d281e8389e3d907249e69708	101274	Publisher supplementary workbook
PMC8933403	independent human hDRG validation	data/raw/human_DPN_bulk_PMC8933403/41598_2022_8100_MOESM5_ESM.xlsx	https://pmc.ncbi.nlm.nih.gov/articles/PMC8933403/	no	5a5ba8f7527c1c64c7ae3a3e66eb93690a9b4ac8b0baf5426e5210403f7d720d	4320183	Differential-expression workbook
PMC8933403	independent human hDRG validation	data/raw/human_DPN_bulk_PMC8933403/41598_2022_8100_MOESM6_ESM.xlsx	https://pmc.ncbi.nlm.nih.gov/articles/PMC8933403/	no	4aa2994c508394a3aa89df0da63065bc27213a20c29b8b47acaa3f4047ba2e00	6172116	Expression workbook
PMC8933403	supplement audit	data/raw/human_DPN_bulk_PMC8933403/41598_2022_8100_MOESM7_ESM.xlsx	https://pmc.ncbi.nlm.nih.gov/articles/PMC8933403/	no	086bed15b4dbfe88084b6dcad44200a77fa464dce82e83c5204592ed6265acdd	23511	Publisher supplementary workbook
PMC8933403	supplement audit	data/raw/human_DPN_bulk_PMC8933403/41598_2022_8100_MOESM8_ESM.xlsx	https://pmc.ncbi.nlm.nih.gov/articles/PMC8933403/	no	6d28377703cc3c662610180fbd8687a4576c7405f4f9f166dda7f3b3c1e471c4	27085	Publisher supplementary workbook
PMC8933403	supplement audit	data/raw/human_DPN_bulk_PMC8933403/41598_2022_8100_MOESM9_ESM.xlsx	https://pmc.ncbi.nlm.nih.gov/articles/PMC8933403/	no	92242c3689e6521f97a91cd77d8a0ffa5a8c4e2a59240c29dac245d92ea77ed9	16383	Publisher supplementary workbook
PMC8933403	supplement audit	data/raw/human_DPN_bulk_PMC8933403/41598_2022_8100_MOESM10_ESM.xlsx	https://pmc.ncbi.nlm.nih.gov/articles/PMC8933403/	no	1c92966b91f578ec5c626c2a29eaf9366400417561341399c93c61787c0ec023	15405	Publisher supplementary workbook
PMC8933403	supplement audit	data/raw/human_DPN_bulk_PMC8933403/41598_2022_8100_MOESM11_ESM.xlsx	https://pmc.ncbi.nlm.nih.gov/articles/PMC8933403/	no	5c2b31214570b260ef341d2e5b887832d4f9e9198ea3bc4ae532d4e77eef64c8	10231	Publisher supplementary workbook
700028/PMC12871725	human hDRG discovery source	data/raw/human_hDRG_preprint/700028_file11.xlsx	https://pmc.ncbi.nlm.nih.gov/articles/PMC12871725/	no	da0eaa2711c6f375a7c16eb7482d7c181603a386743d25d9b02c44b366567c71	18075	Source differential-expression workbook
700028/PMC12871725	human hDRG discovery and cell context	data/raw/human_hDRG_preprint/700028_file12.xlsx	https://pmc.ncbi.nlm.nih.gov/articles/PMC12871725/	no	aea62338d165b22a396b85ccbfb7a4b35b86921b9ed44a252cfbd70a9a6c4709	18298177	Source metadata and cell-composition workbook
700028/PMC12871725	human hDRG cell context	data/raw/human_hDRG_preprint/PMC12871725_fullText.xml	https://pmc.ncbi.nlm.nih.gov/articles/PMC12871725/	no	1d5dac2110d39274772559ee3bad0262e7ee3fc28ba14387f6bbf5b314eb20ea	143027	Full-text XML used for source-context audit
GSE95849	PBMC boundary test	data/raw/human_PBMC_stage_cohorts/GSE95849/GSE95849_series_matrix.txt.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE95849	no	8692ea489dc7759008f7fb20280668ca8a6a3c568214142f58489aa235e86a6a	3116030	GEO series matrix
GPL22448	GSE95849 platform mapping	data/raw/human_PBMC_stage_cohorts/GSE95849/GPL22448_family.soft.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL22448	no	c40f90e442e2c896addcc939c845844e9964c4f89adfa806dadad2059f8f420c	13705602	GEO platform annotation
GSE185011	PBMC boundary test	data/raw/human_PBMC_stage_cohorts/GSE185011/GSE185011_AllSample_matrix_FPKM.txt.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE185011	no	1b683142f565491fa2061dbba126d0d9d023dcd5fe5cdeacfa4c80637a002a3c	1528582	Author-supplied expression matrix
GSE185011	PBMC boundary test	data/raw/human_PBMC_stage_cohorts/GSE185011/GSE185011_series_matrix.txt.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE185011	no	4c6431de7511061085fd4427773fa7936cd4fdcff3265479df09196e3542fb4d	2890	GEO sample metadata
GSE302658	clinical whole-blood boundary test	data/raw/human_PDN_trial_GSE302658/GSE302658_salmon.merged.transcript_counts.tsv.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302658	no	f47260c9624a371a229db2e11f6cb3732ead31baa3d929f0d0c01af80e7a603a	49305280	Author-supplied transcript counts
GSE302658	clinical whole-blood boundary test	data/raw/human_PDN_trial_GSE302658/GSE302658_series_matrix.txt.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302658	no	bfce3f9579b777452e44ca1ec2ad76ad37acce347e5c121a802227fb58ea5cc4	21654	GEO sample and clinical metadata
JCI184075	human sural-nerve validation	data/raw/human_sural_nerve_JCI184075/supplementary/jci-135-184075-s171.xlsx	https://www.jci.org/articles/view/184075	no	772dcfb865a9311179d69cc33bc50e86b8969de75e0e8212215600067a3d8d4a	12954	Sample information
JCI184075	human sural-nerve validation	data/raw/human_sural_nerve_JCI184075/supplementary/jci-135-184075-s172.xlsx	https://www.jci.org/articles/view/184075	no	1e361e7b4a251b5526d3bcdc436fcb96fc21bb1e58ef061a3dec9fc087a4b073	5732523	Axonal-loss severity data
JCI184075	human sural-nerve validation	data/raw/human_sural_nerve_JCI184075/supplementary/jci-135-184075-s175.xlsx	https://www.jci.org/articles/view/184075	no	3a33975ae22ad3817aec4f8c65e586ccf8a7d2a0eb70f678774a59636637670d	2603356	Quantile-normalized TPM matrix
JCI184075	human sural-nerve validation	data/raw/human_sural_nerve_JCI184075/supplementary/jci-135-184075-s176.xlsx	https://www.jci.org/articles/view/184075	no	c046fdbf3e3e3b012794f1fa94200daf468f2d3a46dc761a49e919b4e4d53dc0	5201127	DPN-versus-control results
NCBI Gene	cross-species orthology	data/raw/NCBI_orthology_2026-08-27/gene_orthologs.gz	https://ftp.ncbi.nlm.nih.gov/gene/DATA/gene_orthologs.gz	no	00b874bfb67f389b6ee3d2aa9c37d288eda4d4d9ed419fd81e43499b2bac42a8	128860525	NCBI orthology table accessed 2026-08-27
NCBI Gene	human gene mapping	data/raw/NCBI_orthology_2026-08-27/Homo_sapiens.gene_info.gz	https://ftp.ncbi.nlm.nih.gov/gene/DATA/GENE_INFO/Mammalia/Homo_sapiens.gene_info.gz	no	7a9622bda5fd16e5e4eab75ecf64d69977f4388e93066d1eb68a9d0a71ed2c8a	5179896	NCBI gene information accessed 2026-08-27
NCBI Gene	mouse gene mapping	data/raw/NCBI_orthology_2026-08-27/Mus_musculus.gene_info.complete.gz	https://ftp.ncbi.nlm.nih.gov/gene/DATA/GENE_INFO/Mammalia/Mus_musculus.gene_info.gz	no	12147728b4cc781353d85f9263b98f42da38fa69d5195eb1e99eb82bc3e0e227	3919317	Complete NCBI gene-information download accessed 2026-08-27; the smaller partial download was excluded
NCBI Gene	rat gene mapping	data/raw/NCBI_orthology_2026-08-27/Rattus_norvegicus.gene_info.gz	https://ftp.ncbi.nlm.nih.gov/gene/DATA/GENE_INFO/Mammalia/Rattus_norvegicus.gene_info.gz	no	ba91d2fb6c5ad96a5e29a29035bf5fc3b27f0ba9dd3fb4860a9e3e2c6db72bf3	2286181	NCBI gene information accessed 2026-08-27
PXD062366	tear-proteome coverage gate	data/raw/PXD062366/Proteins_Report.csv	https://www.ebi.ac.uk/pride/archive/projects/PXD062366	no	eea3d0d0557f0932d4bbc3a3712dbdde89375aded4e1a3499e59a86a0e343eca	650612	Protein report used for mapping and coverage audit
PXD062366	tear-proteome sample mapping	data/raw/PXD062366/supplement/Table S1.xlsx	https://www.ebi.ac.uk/pride/archive/projects/PXD062366	no	881ece355983968cd667ce21a5d48fe0c8b3569e7d5a1c5be301b9372ce9b960	635604	Publisher-supplied sample annotation used to recover group labels
GO_BP_2025	functional annotation	data/raw/reference/GO_Biological_Process_2025.gmt	https://maayanlab.cloud/Enrichr/#libraries	no	0fc02458765cfce6c9348dce9f7a9397c6caf7c09ba318f468135d7ac60342ee	1355235	Frozen Enrichr library snapshot
Reactome_2024	functional annotation	data/raw/reference/Reactome_Pathways_2024.gmt	https://maayanlab.cloud/Enrichr/#libraries	no	1a7c43cb503d9db23494605169614a7b1741ef8f208c37295e834d1f92b34181	887130	Frozen Enrichr library snapshot
MSigDB_Hallmark_2020	functional annotation	data/raw/reference/MSigDB_Hallmark_2020.gmt	https://maayanlab.cloud/Enrichr/#libraries	no	4275592957a1587652092bb398cf77216fde5b8daa2aedaa0e016f7d10bbdb81	44235	Frozen Enrichr library snapshot
GSE329119	mouse trigeminal-ganglion projection	data/processed/ocular/GSE329119_diabetes_effects.tsv	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE329119	yes	ce7ff03e4a691ed05048bf1d27ea20dd4be1ba8a152e9db414f4131de5b044d7	2824472	Frozen processed derivative; companion expression file and checksum are in data/processed/ocular/PROVENANCE.json
GSE227165	resting diabetic-cornea projection	data/processed/ocular/GSE227165_diabetes_effects_with_mouse_ortholog.tsv	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE227165	yes	0b17a59906feec124420f096bb52fcd5a5392b9501f5b83452f65f067f36a084	11186684	Frozen processed derivative; companion expression file and checksum are in data/processed/ocular/PROVENANCE.json
GSE180490	wounded diabetic-cornea projection	data/processed/ocular/GSE180490_diabetes_effects.tsv	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE180490	yes	10d2fd833db9d5f01d2081bad83dc7d0a743e36499fade82ffb1c0bcc13da4d3	2652760	Frozen processed derivative; companion expression file and checksum are in data/processed/ocular/PROVENANCE.json
