task	status	script	code_sha256	command	inputs	outputs	reason	authoritative_outputs
source_repair	COMPLETED	scripts/00_source_repair.py	727d90098ba17f317fd8d770e04c71a4ceeebbccb254d6593d118a1a9cafc19d	project_python scripts/00_source_repair.py	config/LOCKED_FILES.tsv;inputs/SOURCE_FILES.tsv;inputs/TARGET_SOURCE_FILES.tsv;inputs/BASELINE_CODE_DEPENDENCIES.tsv	inputs/SOURCE_ALL_ROWS.tsv;inputs/REPAIRED_MEMBERS.tsv	Canonical source-only rules, real conflicts retained	inputs/SOURCE_ALL_ROWS.tsv;inputs/REPAIRED_MEMBERS.tsv
backgrounds_and_lock	COMPLETED	scripts/01_backgrounds_lock.py	a5a7ef13a4e52ff2ccdeec59731c58dedc5b52123de4871eaacfb758a1b7b925	project_python scripts/01_backgrounds_lock.py	config/LOCKED_FILES.tsv;inputs/SOURCE_FILES.tsv;inputs/TARGET_SOURCE_FILES.tsv;inputs/BASELINE_CODE_DEPENDENCIES.tsv	config/LOCK.json;inputs/MATRIX_INVENTORY.tsv	Expression-only median sensitivity; known-result correction	config/LOCK.json;inputs/MATRIX_INVENTORY.tsv
main_effect_impact	COMPLETED	scripts/02_associations_benchmarks.py	1284e099dbe703e99b1aa3fd394863d86ace59c0d5257c1faf83baabb07b7e61	project_python scripts/02_associations_benchmarks.py	config/LOCKED_FILES.tsv;inputs/SOURCE_FILES.tsv;inputs/TARGET_SOURCE_FILES.tsv;inputs/BASELINE_CODE_DEPENDENCIES.tsv	results/ASSOCIATION_IMPACT_ALL.tsv;results/DONOR_SCORES.tsv.gz	All five endpoints, all ten programs, three versions; includes NE rows	strict_background_addendum/consolidated_results/ASSOCIATION_IMPACT_ALL.tsv;strict_background_addendum/consolidated_results/DONOR_SCORES.tsv.gz
late_empirical_benchmark	COMPLETED	scripts/02_associations_benchmarks.py	1284e099dbe703e99b1aa3fd394863d86ace59c0d5257c1faf83baabb07b7e61	project_python scripts/02_associations_benchmarks.py	config/LOCKED_FILES.tsv;inputs/SOURCE_FILES.tsv;inputs/TARGET_SOURCE_FILES.tsv;inputs/BASELINE_CODE_DEPENDENCIES.tsv	results/REAL_BENCHMARK_ALL.tsv;results/MATCHED_RANDOM_SPLITS.tsv.gz	80 tests; no Holm<0.05; 19980 partitions	strict_background_addendum/consolidated_results/REAL_BENCHMARK_ALL.tsv;strict_background_addendum/consolidated_results/MATCHED_RANDOM_SPLITS.tsv.gz
severity_empirical_benchmark	NOT_EVALUABLE	scripts/02_associations_benchmarks.py	1284e099dbe703e99b1aa3fd394863d86ace59c0d5257c1faf83baabb07b7e61	project_python scripts/02_associations_benchmarks.py	config/LOCKED_FILES.tsv;inputs/SOURCE_FILES.tsv;inputs/TARGET_SOURCE_FILES.tsv;inputs/BASELINE_CODE_DEPENDENCIES.tsv	results/REAL_BENCHMARK_ALL.tsv	40 tasks blocked by seven-down-gene core; no threshold relaxation	strict_background_addendum/consolidated_results/REAL_BENCHMARK_ALL.tsv
historical_neural_tests	COMPLETED	scripts/03_historical_neural_cross.py	02ca1b6b93add01d2fb489140829f855bf5a57f92105cb36b4d049790620812c	project_python scripts/03_historical_neural_cross.py	config/LOCKED_FILES.tsv;inputs/SOURCE_FILES.tsv;inputs/TARGET_SOURCE_FILES.tsv;inputs/BASELINE_CODE_DEPENDENCIES.tsv	results/HISTORICAL_DONOR_TEST_IMPACT.tsv	Historical single-sided families separately preserved	strict_background_addendum/consolidated_results/HISTORICAL_DONOR_TEST_IMPACT.tsv
pathology_and_paired	COMPLETED	scripts/04_batch01_impact.py	785fd88f8bb59c19f6e4cb0a45875adb282686af4a0761f8355b19cd5951ff76	project_python scripts/04_batch01_impact.py	config/LOCKED_FILES.tsv;inputs/SOURCE_FILES.tsv;inputs/TARGET_SOURCE_FILES.tsv;inputs/BASELINE_CODE_DEPENDENCIES.tsv	results/BATCH01_PATHOLOGY_OLD_NEW.tsv;results/PAIRED_OLD_NEW.tsv	Original subject keys and original resampling methods	strict_background_addendum/consolidated_results/BATCH01_PATHOLOGY_OLD_NEW.tsv;results/PAIRED_OLD_NEW.tsv
official_spelling_sensitivity	NOT_EVALUABLE	scripts/04_batch01_impact.py	785fd88f8bb59c19f6e4cb0a45875adb282686af4a0761f8355b19cd5951ff76	project_python scripts/04_batch01_impact.py	config/LOCKED_FILES.tsv;inputs/SOURCE_FILES.tsv;inputs/TARGET_SOURCE_FILES.tsv;inputs/BASELINE_CODE_DEPENDENCIES.tsv	reports/BATCH01_ADAPTER_AUDIT.json	Not an equivalent definition after canonicalization; no false carry-forward	reports/BATCH01_ADAPTER_AUDIT.json
blood_and_pain	COMPLETED	scripts/05_blood_clinical_impact.py	53a853853d403b1fd03d2b99cfdcf767dc9b23a85af5e5e6f7545fdacd6d80b0	project_python scripts/05_blood_clinical_impact.py	config/LOCKED_FILES.tsv;inputs/SOURCE_FILES.tsv;inputs/TARGET_SOURCE_FILES.tsv;inputs/BASELINE_CODE_DEPENDENCIES.tsv	results/PBMC_OLD_NEW.tsv;results/CLINICAL_OLD_NEW.tsv	Original clinical linkage only	results/PBMC_OLD_NEW.tsv;results/CLINICAL_OLD_NEW.tsv
reference_and_proxy	COMPLETED	scripts/06_reference_proxy_impact.py	08cc0afd7df646c546711878cef52f1ee8f22fe05e4e1471cc978ef91e92d647	project_python scripts/06_reference_proxy_impact.py	config/LOCKED_FILES.tsv;inputs/SOURCE_FILES.tsv;inputs/TARGET_SOURCE_FILES.tsv;inputs/BASELINE_CODE_DEPENDENCIES.tsv	results/ALL_REFERENCE_PROGRAM_ASSOCIATIONS_OLD_NEW.tsv;results/PROXY_ADJUSTMENT_OLD_NEW.tsv	CIAP/CIDP not DPN; 2 DPN descriptive only	strict_background_addendum/consolidated_results/ALL_REFERENCE_PROGRAM_ASSOCIATIONS_OLD_NEW.tsv;strict_background_addendum/consolidated_results/PROXY_ADJUSTMENT_OLD_NEW.tsv
