endpoint	version	module_id	source_members	measured	n_up	n_down	coverage	background_genes	eligible
original_hDRG_DPN_control	legacy_inherited	late_allcell_residual	2921	2902	1304	1598	0.9934953782951044	28942	True
original_hDRG_DPN_control	legacy_inherited	late_neuron_residual	406	393	134	259	0.9679802955665024	28942	True
original_hDRG_DPN_control	legacy_inherited	late_shared_concordant_neuronal_core	177	175	64	111	0.9887005649717514	28942	True
original_hDRG_DPN_control	legacy_inherited	original_early_allcell	640	628	302	326	0.98125	28942	True
original_hDRG_DPN_control	legacy_inherited	original_late_allcell	3131	3109	1395	1714	0.9929734908974768	28942	True
original_hDRG_DPN_control	legacy_inherited	original_late_neuron	693	677	254	423	0.976911976911977	28942	True
original_hDRG_DPN_control	legacy_inherited	original_severity	489	482	331	151	0.985685071574642	28942	True
original_hDRG_DPN_control	legacy_inherited	original_xenium	60	59	16	43	0.9833333333333332	28942	True
original_hDRG_DPN_control	legacy_inherited	severity_neuron_residual	345	345	227	118	1.0	28942	True
original_hDRG_DPN_control	legacy_inherited	severity_neuron_shared_concordant_core	109	103	81	22	0.944954128440367	28942	True
original_hDRG_DPN_control	repaired_inherited	late_allcell_residual	2906	2887	1297	1590	0.9934618031658636	28942	True
original_hDRG_DPN_control	repaired_inherited	late_neuron_residual	285	272	75	197	0.9543859649122808	28942	True
original_hDRG_DPN_control	repaired_inherited	late_shared_concordant_neuronal_core	128	127	48	79	0.9921875	28942	True
original_hDRG_DPN_control	repaired_inherited	original_early_allcell	640	628	302	326	0.98125	28942	True
original_hDRG_DPN_control	repaired_inherited	original_late_allcell	3102	3082	1382	1700	0.993552546744036	28942	True
original_hDRG_DPN_control	repaired_inherited	original_late_neuron	443	429	130	299	0.9683972911963884	28942	True
original_hDRG_DPN_control	repaired_inherited	original_severity	455	448	314	134	0.9846153846153848	28942	True
original_hDRG_DPN_control	repaired_inherited	original_xenium	60	59	16	43	0.9833333333333332	28942	True
original_hDRG_DPN_control	repaired_inherited	severity_neuron_residual	337	337	219	118	1.0	28942	True
original_hDRG_DPN_control	repaired_inherited	severity_neuron_shared_concordant_core	23	17	10	7	0.7391304347826086	28942	False
original_JCI_sural_DPN_control	legacy_inherited	late_allcell_residual	2921	2890	1304	1586	0.9893871961656968	17924	True
original_JCI_sural_DPN_control	legacy_inherited	late_neuron_residual	406	389	137	252	0.958128078817734	17924	True
original_JCI_sural_DPN_control	legacy_inherited	late_shared_concordant_neuronal_core	177	172	63	109	0.9717514124293786	17924	True
original_JCI_sural_DPN_control	legacy_inherited	original_early_allcell	640	631	302	329	0.9859375	17924	True
original_JCI_sural_DPN_control	legacy_inherited	original_late_allcell	3117	3080	1384	1696	0.988129611806224	17924	True
original_JCI_sural_DPN_control	legacy_inherited	original_late_neuron	568	545	182	363	0.9595070422535212	17924	True
original_JCI_sural_DPN_control	legacy_inherited	original_severity	472	469	329	140	0.9936440677966102	17924	True
original_JCI_sural_DPN_control	legacy_inherited	original_xenium	60	60	17	43	1.0	17924	True
original_JCI_sural_DPN_control	legacy_inherited	severity_neuron_residual	345	345	227	118	1.0	17924	True
original_JCI_sural_DPN_control	legacy_inherited	severity_neuron_shared_concordant_core	109	106	85	21	0.9724770642201837	17924	True
original_JCI_sural_DPN_control	repaired_inherited	late_allcell_residual	2906	2876	1297	1579	0.9896765313145216	17924	True
original_JCI_sural_DPN_control	repaired_inherited	late_neuron_residual	285	270	80	190	0.9473684210526316	17924	True
original_JCI_sural_DPN_control	repaired_inherited	late_shared_concordant_neuronal_core	128	125	47	78	0.9765625	17924	True
original_JCI_sural_DPN_control	repaired_inherited	original_early_allcell	640	631	302	329	0.9859375	17924	True
original_JCI_sural_DPN_control	repaired_inherited	original_late_allcell	3102	3066	1379	1687	0.988394584139265	17924	True
original_JCI_sural_DPN_control	repaired_inherited	original_late_neuron	443	422	133	289	0.9525959367945824	17924	True
original_JCI_sural_DPN_control	repaired_inherited	original_severity	455	452	319	133	0.9934065934065934	17924	True
original_JCI_sural_DPN_control	repaired_inherited	original_xenium	60	60	17	43	1.0	17924	True
original_JCI_sural_DPN_control	repaired_inherited	severity_neuron_residual	337	337	219	118	1.0	17924	True
original_JCI_sural_DPN_control	repaired_inherited	severity_neuron_shared_concordant_core	23	21	14	7	0.9130434782608696	17924	False
original_JCI_sural_severe_moderate	legacy_inherited	late_allcell_residual	2921	2911	1312	1599	0.9965765148921604	19027	True
original_JCI_sural_severe_moderate	legacy_inherited	late_neuron_residual	406	390	137	253	0.9605911330049262	19027	True
original_JCI_sural_severe_moderate	legacy_inherited	late_shared_concordant_neuronal_core	177	174	63	111	0.9830508474576272	19027	True
original_JCI_sural_severe_moderate	legacy_inherited	original_early_allcell	640	633	303	330	0.9890625	19027	True
original_JCI_sural_severe_moderate	legacy_inherited	original_late_allcell	3117	3103	1392	1711	0.9955085017645172	19027	True
original_JCI_sural_severe_moderate	legacy_inherited	original_late_neuron	568	547	181	366	0.9630281690140844	19027	True
original_JCI_sural_severe_moderate	legacy_inherited	original_severity	472	470	329	141	0.9957627118644068	19027	True
