reference	object	up	down	measured	source_members	background	eligible
GSE168243	late_allcell_residual	1305	1589	2894	2906	35474	True
GSE168243	late_neuron_residual	76	199	275	285	35474	True
GSE168243	late_shared_concordant_neuronal_core	48	79	127	128	35474	True
GSE168243	original_early_allcell	303	329	632	640	35474	True
GSE168243	original_late_allcell	1390	1699	3089	3102	35474	True
GSE168243	original_late_neuron	131	301	432	443	35474	True
GSE168243	original_severity	315	133	448	455	35474	True
GSE168243	original_xenium	16	43	59	60	35474	True
GSE168243	severity_neuron_residual	218	117	335	337	35474	True
GSE168243	severity_neuron_shared_concordant_core	11	7	18	23	35474	False
GSE285983	late_allcell_residual	1308	1595	2903	2906	23924	True
GSE285983	late_neuron_residual	77	198	275	285	23924	True
GSE285983	late_shared_concordant_neuronal_core	48	80	128	128	23924	True
GSE285983	original_early_allcell	303	329	632	640	23924	True
GSE285983	original_late_allcell	1393	1706	3099	3102	23924	True
GSE285983	original_late_neuron	132	301	433	443	23924	True
GSE285983	original_severity	315	133	448	455	23924	True
GSE285983	original_xenium	17	43	60	60	23924	True
GSE285983	severity_neuron_residual	219	118	337	337	23924	True
GSE285983	severity_neuron_shared_concordant_core	10	6	16	23	23924	False
