raw_gene	gene_input	gene_recovered_from_excel_date	human_gene_id	mapping_method	current_human_symbol	include_row
A1BG	A1BG	False	1	official_exact	A1BG	True
A1BG-AS1	A1BG-AS1	False	503538	official_exact	A1BG-AS1	True
A1CF	A1CF	False	29974	official_exact	A1CF	True
A2M	A2M	False	2	official_exact	A2M	True
A2M-AS1	A2M-AS1	False	144571	official_exact	A2M-AS1	True
A2ML1	A2ML1	False	144568	official_exact	A2ML1	True
A2MP1	A2MP1	False	124903067	unique_synonym	PZP2P	True
A3GALT2	A3GALT2	False	127550	official_exact	A3GALT2	True
A4GALT	A4GALT	False	53947	official_exact	A4GALT	True
A4GNT	A4GNT	False	51146	official_exact	A4GNT	True
AA06	AA06	False	100506677	official_exact	AA06	True
AAAS	AAAS	False	8086	official_exact	AAAS	True
AACS	AACS	False	65985	official_exact	AACS	True
AACSP1	AACSP1	False	729522	official_exact	AACSP1	True
AADAC	AADAC	False	13	official_exact	AADAC	True
AADACL2	AADACL2	False	344752	official_exact	AADACL2	True
AADACL2-AS1	AADACL2-AS1	False	101928142	official_exact	AADACL2-AS1	True
AADACL3	AADACL3	False	126767	official_exact	AADACL3	True
AADACL4	AADACL4	False	343066	official_exact	AADACL4	True
AADACP1	AADACP1	False	201651	official_exact	AADACP1	True
AADAT	AADAT	False	51166	official_exact	AADAT	True
AAED1	AAED1	False	195827	unique_synonym	PRXL2C	True
AAGAB	AAGAB	False	79719	official_exact	AAGAB	True
AAK1	AAK1	False	22848	official_exact	AAK1	True
AAMDC	AAMDC	False	28971	official_exact	AAMDC	True
AAMP	AAMP	False	14	official_exact	AAMP	True
AANAT	AANAT	False	15	official_exact	AANAT	True
AAR2	AAR2	False	25980	official_exact	AAR2	True
AARD	AARD	False	441376	official_exact	AARD	True
AARS	AARS	False	16	unique_synonym	AARS1	True
AARS2	AARS2	False	57505	official_exact	AARS2	True
AARSD1	AARSD1	False	80755	official_exact	AARSD1	True
AASDH	AASDH	False	132949	official_exact	AASDH	True
AASDHPPT	AASDHPPT	False	60496	official_exact	AASDHPPT	True
AASS	AASS	False	10157	official_exact	AASS	True
AATF	AATF	False	26574	official_exact	AATF	True
AATK	AATK	False	9625	unique_synonym	LMTK1	True
AATK-AS1	AATK-AS1	False	388428	unique_synonym	PVALEF	True
ABAT	ABAT	False	18	official_exact	ABAT	True
ABCA1	ABCA1	False	19	official_exact	ABCA1	True
ABCA10	ABCA10	False	10349	official_exact	ABCA10	True
ABCA11P	ABCA11P	False	79963	official_exact	ABCA11P	True
ABCA12	ABCA12	False	26154	official_exact	ABCA12	True
ABCA13	ABCA13	False	154664	official_exact	ABCA13	True
ABCA17P	ABCA17P	False	650655	official_exact	ABCA17P	True
ABCA2	ABCA2	False	20	official_exact	ABCA2	True
ABCA3	ABCA3	False	21	official_exact	ABCA3	True
ABCA4	ABCA4	False	24	official_exact	ABCA4	True
ABCA5	ABCA5	False	23461	official_exact	ABCA5	True
ABCA6	ABCA6	False	23460	official_exact	ABCA6	True
ABCA7	ABCA7	False	10347	official_exact	ABCA7	True
ABCA8	ABCA8	False	10351	official_exact	ABCA8	True
ABCA9	ABCA9	False	10350	official_exact	ABCA9	True
ABCB1	ABCB1	False	5243	official_exact	ABCB1	True
ABCB10	ABCB10	False	23456	official_exact	ABCB10	True
ABCB11	ABCB11	False	8647	official_exact	ABCB11	True
ABCB4	ABCB4	False	5244	official_exact	ABCB4	True
ABCB5	ABCB5	False	340273	official_exact	ABCB5	True
ABCB6	ABCB6	False	10058	official_exact	ABCB6	True
ABCB7	ABCB7	False	22	official_exact	ABCB7	True
ABCB8	ABCB8	False	11194	official_exact	ABCB8	True
ABCB9	ABCB9	False	23457	official_exact	ABCB9	True
ABCC1	ABCC1	False	4363	official_exact	ABCC1	True
ABCC10	ABCC10	False	89845	official_exact	ABCC10	True
ABCC11	ABCC11	False	85320	official_exact	ABCC11	True
ABCC12	ABCC12	False	94160	official_exact	ABCC12	True
ABCC13	ABCC13	False	150000	official_exact	ABCC13	True
ABCC2	ABCC2	False	1244	official_exact	ABCC2	True
ABCC3	ABCC3	False	8714	official_exact	ABCC3	True
ABCC4	ABCC4	False	10257	official_exact	ABCC4	True
ABCC5	ABCC5	False	10057	official_exact	ABCC5	True
ABCC5-AS1	ABCC5-AS1	False	100873982	official_exact	ABCC5-AS1	True
ABCC6	ABCC6	False	368	official_exact	ABCC6	True
ABCC6P1	ABCC6P1	False	653190	official_exact	ABCC6P1	True
ABCC6P2	ABCC6P2	False	730013	official_exact	ABCC6P2	True
ABCC8	ABCC8	False	6833	official_exact	ABCC8	True
ABCC9	ABCC9	False	10060	official_exact	ABCC9	True
ABCD1	ABCD1	False	215	official_exact	ABCD1	True
ABCD2	ABCD2	False	225	official_exact	ABCD2	True
ABCD3	ABCD3	False	5825	official_exact	ABCD3	True
ABCD4	ABCD4	False	5826	official_exact	ABCD4	True
ABCE1	ABCE1	False	6059	official_exact	ABCE1	True
ABCF1	ABCF1	False	23	official_exact	ABCF1	True
ABCF2	ABCF2	False	10061	official_exact	ABCF2	True
ABCF3	ABCF3	False	55324	official_exact	ABCF3	True
ABCG1	ABCG1	False	9619	official_exact	ABCG1	True
ABCG2	ABCG2	False	9429	official_exact	ABCG2	True
ABCG4	ABCG4	False	64137	official_exact	ABCG4	True
ABCG5	ABCG5	False	64240	official_exact	ABCG5	True
ABCG8	ABCG8	False	64241	official_exact	ABCG8	True
ABHD1	ABHD1	False	84696	official_exact	ABHD1	True
ABHD10	ABHD10	False	55347	official_exact	ABHD10	True
ABHD11	ABHD11	False	83451	official_exact	ABHD11	True
ABHD12	ABHD12	False	26090	official_exact	ABHD12	True
ABHD12B	ABHD12B	False	145447	official_exact	ABHD12B	True
ABHD13	ABHD13	False	84945	official_exact	ABHD13	True
ABHD14A	ABHD14A	False	25864	official_exact	ABHD14A	True
ABHD14A-ACY1	ABHD14A-ACY1	False	100526760	official_exact	ABHD14A-ACY1	True
ABHD14B	ABHD14B	False	84836	official_exact	ABHD14B	True
ABHD15	ABHD15	False	116236	official_exact	ABHD15	True
ABHD16A	ABHD16A	False	7920	official_exact	ABHD16A	True
ABHD16B	ABHD16B	False	140701	official_exact	ABHD16B	True
ABHD17A	ABHD17A	False	81926	official_exact	ABHD17A	True
