gene	gene_input	gene_recovered_from_excel_date	human_gene_id	mapping_method	current_human_symbol
MIR1302-2HG	MIR1302-2HG	False	107985730	official_exact	MIR1302-2HG
FAM138A	FAM138A	False	645520	official_exact	FAM138A
OR4F5	OR4F5	False	79501	official_exact	OR4F5
AL627309.1	AL627309.1	False		unresolved_or_ambiguous	
AL627309.3	AL627309.3	False		unresolved_or_ambiguous	
AL627309.2	AL627309.2	False		unresolved_or_ambiguous	
AL627309.5	AL627309.5	False		unresolved_or_ambiguous	
AL627309.4	AL627309.4	False		unresolved_or_ambiguous	
AP006222.2	AP006222.2	False		unresolved_or_ambiguous	
AL732372.1	AL732372.1	False		unresolved_or_ambiguous	
OR4F29	OR4F29	False	729759	official_exact	OR4F29
AC114498.1	AC114498.1	False		unresolved_or_ambiguous	
OR4F16	OR4F16	False	81399	official_exact	OR4F16
AL669831.2	AL669831.2	False		unresolved_or_ambiguous	
LINC01409	LINC01409	False	105378580	official_exact	LINC01409
FAM87B	FAM87B	False	400728	official_exact	FAM87B
LINC01128	LINC01128	False	643837	official_exact	LINC01128
LINC00115	LINC00115	False	79854	official_exact	LINC00115
FAM41C	FAM41C	False	284593	official_exact	FAM41C
AL645608.6	AL645608.6	False		unresolved_or_ambiguous	
AL645608.2	AL645608.2	False		unresolved_or_ambiguous	
LINC02593	LINC02593	False	100130417	official_exact	LINC02593
SAMD11	SAMD11	False	148398	official_exact	SAMD11
NOC2L	NOC2L	False	26155	official_exact	NOC2L
KLHL17	KLHL17	False	339451	official_exact	KLHL17
PLEKHN1	PLEKHN1	False	84069	official_exact	PLEKHN1
PERM1	PERM1	False	84808	official_exact	PERM1
AL645608.7	AL645608.7	False		unresolved_or_ambiguous	
HES4	HES4	False	57801	official_exact	HES4
ISG15	ISG15	False	9636	official_exact	ISG15
AL645608.1	AL645608.1	False		unresolved_or_ambiguous	
AGRN	AGRN	False	375790	official_exact	AGRN
AL645608.8	AL645608.8	False		unresolved_or_ambiguous	
RNF223	RNF223	False	401934	official_exact	RNF223
C1orf159	C1orf159	False	54991	official_exact	C1orf159
AL390719.3	AL390719.3	False		unresolved_or_ambiguous	
LINC01342	LINC01342	False	254099	official_exact	LINC01342
AL390719.2	AL390719.2	False		unresolved_or_ambiguous	
TTLL10-AS1	TTLL10-AS1	False	100506376	official_exact	TTLL10-AS1
TTLL10	TTLL10	False	254173	official_exact	TTLL10
TNFRSF18	TNFRSF18	False	8784	official_exact	TNFRSF18
TNFRSF4	TNFRSF4	False	7293	official_exact	TNFRSF4
SDF4	SDF4	False	51150	official_exact	SDF4
B3GALT6	B3GALT6	False	126792	official_exact	B3GALT6
C1QTNF12	C1QTNF12	False	388581	official_exact	C1QTNF12
AL162741.1	AL162741.1	False		unresolved_or_ambiguous	
UBE2J2	UBE2J2	False	118424	official_exact	UBE2J2
LINC01786	LINC01786	False	101928895	official_exact	LINC01786
SCNN1D	SCNN1D	False	6339	official_exact	SCNN1D
ACAP3	ACAP3	False	116983	official_exact	ACAP3
PUSL1	PUSL1	False	126789	official_exact	PUSL1
INTS11	INTS11	False	54973	official_exact	INTS11
AL139287.1	AL139287.1	False		unresolved_or_ambiguous	
CPTP	CPTP	False	80772	official_exact	CPTP
TAS1R3	TAS1R3	False	83756	official_exact	TAS1R3
DVL1	DVL1	False	1855	official_exact	DVL1
MXRA8	MXRA8	False	54587	official_exact	MXRA8
AURKAIP1	AURKAIP1	False	54998	official_exact	AURKAIP1
CCNL2	CCNL2	False	81669	official_exact	CCNL2
MRPL20-AS1	MRPL20-AS1	False	148413	official_exact	MRPL20-AS1
MRPL20	MRPL20	False	55052	official_exact	MRPL20
AL391244.2	AL391244.2	False		unresolved_or_ambiguous	
ANKRD65	ANKRD65	False	441869	official_exact	ANKRD65
AL391244.1	AL391244.1	False		unresolved_or_ambiguous	
TMEM88B	TMEM88B	False	643965	unique_synonym	TMEM278
LINC01770	LINC01770	False	102724312	official_exact	LINC01770
VWA1	VWA1	False	64856	official_exact	VWA1
ATAD3C	ATAD3C	False	219293	official_exact	ATAD3C
ATAD3B	ATAD3B	False	83858	official_exact	ATAD3B
ATAD3A	ATAD3A	False	55210	official_exact	ATAD3A
TMEM240	TMEM240	False	339453	official_exact	TMEM240
SSU72	SSU72	False	29101	official_exact	SSU72
AL645728.1	AL645728.1	False		unresolved_or_ambiguous	
FNDC10	FNDC10	False	643988	official_exact	FNDC10
AL691432.4	AL691432.4	False		unresolved_or_ambiguous	
AL691432.2	AL691432.2	False		unresolved_or_ambiguous	
MIB2	MIB2	False	142678	official_exact	MIB2
MMP23B	MMP23B	False	8510	official_exact	MMP23B
CDK11B	CDK11B	False	984	official_exact	CDK11B
FO704657.1	FO704657.1	False		unresolved_or_ambiguous	
SLC35E2B	SLC35E2B	False	728661	official_exact	SLC35E2B
CDK11A	CDK11A	False	728642	official_exact	CDK11A
SLC35E2A	SLC35E2A	False	9906	official_exact	SLC35E2A
NADK	NADK	False	65220	official_exact	NADK
GNB1	GNB1	False	2782	official_exact	GNB1
AL109917.1	AL109917.1	False		unresolved_or_ambiguous	
CALML6	CALML6	False	163688	official_exact	CALML6
TMEM52	TMEM52	False	339456	official_exact	TMEM52
CFAP74	CFAP74	False	85452	official_exact	CFAP74
AL391845.2	AL391845.2	False		unresolved_or_ambiguous	
GABRD	GABRD	False	2563	official_exact	GABRD
AL391845.1	AL391845.1	False		unresolved_or_ambiguous	
PRKCZ	PRKCZ	False	5590	official_exact	PRKCZ
AL590822.2	AL590822.2	False		unresolved_or_ambiguous	
PRKCZ-AS1	PRKCZ-AS1	False	100506504	official_exact	PRKCZ-AS1
FAAP20	FAAP20	False	199990	official_exact	FAAP20
AL590822.1	AL590822.1	False		unresolved_or_ambiguous	
SKI	SKI	False	6497	official_exact	SKI
AL590822.3	AL590822.3	False		unresolved_or_ambiguous	
MORN1	MORN1	False	79906	official_exact	MORN1
AL589739.1	AL589739.1	False		unresolved_or_ambiguous	
AL513477.2	AL513477.2	False		unresolved_or_ambiguous	
RER1	RER1	False	11079	official_exact	RER1
PEX10	PEX10	False	5192	official_exact	PEX10
PLCH2	PLCH2	False	9651	official_exact	PLCH2
AL139246.1	AL139246.1	False		unresolved_or_ambiguous	
AL139246.4	AL139246.4	False		unresolved_or_ambiguous	
PANK4	PANK4	False	55229	official_exact	PANK4
HES5	HES5	False	388585	official_exact	HES5
AL139246.5	AL139246.5	False		unresolved_or_ambiguous	
TNFRSF14-AS1	TNFRSF14-AS1	False	115110	official_exact	TNFRSF14-AS1
TNFRSF14	TNFRSF14	False	8764	official_exact	TNFRSF14
AL139246.3	AL139246.3	False		unresolved_or_ambiguous	
PRXL2B	PRXL2B	False	127281	official_exact	PRXL2B
MMEL1	MMEL1	False	79258	official_exact	MMEL1
AL831784.1	AL831784.1	False		unresolved_or_ambiguous	
TTC34	TTC34	False	100287898	official_exact	TTC34
AC242022.2	AC242022.2	False		unresolved_or_ambiguous	
AC242022.1	AC242022.1	False		unresolved_or_ambiguous	
AL592464.2	AL592464.2	False		unresolved_or_ambiguous	
AL592464.3	AL592464.3	False		unresolved_or_ambiguous	
AL592464.1	AL592464.1	False		unresolved_or_ambiguous	
AL589702.1	AL589702.1	False		unresolved_or_ambiguous	
ACTRT2	ACTRT2	False	140625	official_exact	ACTRT2
PRDM16-DT	PRDM16-DT	False	440556	official_exact	PRDM16-DT
PRDM16	PRDM16	False	63976	official_exact	PRDM16
AL008733.1	AL008733.1	False		unresolved_or_ambiguous	
AL590438.1	AL590438.1	False		unresolved_or_ambiguous	
AL354743.2	AL354743.2	False		unresolved_or_ambiguous	
AL354743.1	AL354743.1	False		unresolved_or_ambiguous	
ARHGEF16	ARHGEF16	False	27237	official_exact	ARHGEF16
AL512413.1	AL512413.1	False		unresolved_or_ambiguous	
MEGF6	MEGF6	False	1953	official_exact	MEGF6
AL513320.1	AL513320.1	False		unresolved_or_ambiguous	
TPRG1L	TPRG1L	False	127262	official_exact	TPRG1L
WRAP73	WRAP73	False	49856	official_exact	WRAP73
TP73	TP73	False	7161	official_exact	TP73
AL136528.1	AL136528.1	False		unresolved_or_ambiguous	
AL136528.2	AL136528.2	False		unresolved_or_ambiguous	
