module_id	gene_id	symbol	direction	source_contrast
late_allcell_residual	100	ADA	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1000	CDH2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	100037417	DDTL	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10009	ZBTB33	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	100101267	POM121C	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	100125288	ZGLP1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	100127983	C8orf88	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	100128327	TRAPPC3L	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	100128731	OST4	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	100128908	CIROP	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	100128927	ZBTB42	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	100129250	TZMP1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	100129361	SMIM10L1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	100130311	C17orf107	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	100131378	C11orf91	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	100133315	XNDC1N	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	100134444	KCNJ18	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	100170229	SRRM5	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10019	SH2B3	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1002	CDH4	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10026	PIGK	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	100271849	MEF2B	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	100287482	SMKR1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	100289255	TMEM238L	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	100289678	ZNF783	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10036	CHAF1A	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10038	PARP2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10039	PARP3	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10044	SH2D3C	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1005	CDH7	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	100506127	GVQW3	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	100507050	TPBGL	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	100507588	TGFBR3L	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10051	SMC4	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10052	GJC1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10057	ABCC5	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1006	CDH8	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10062	NR1H3	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	100653515	CEP295NL	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1007	CDH9	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1008	CDH10	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10082	GPC6	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	1009	CDH11	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10092	ARPC5	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10098	TSPAN5	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10110	SGK2	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10124	ARL4A	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10140	TOB1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10159	ATP6AP2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	1016	CDH18	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10160	FARP1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10161	LPAR6	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10174	SORBS3	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10175	CNIH1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10178	TENM1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	1018	CDK3	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10190	TXNDC9	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10205	MPZL2	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10206	TRIM13	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10210	TOPORS	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10212	DDX39A	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	102157402	AK6	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10235	RASGRP2	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10242	KCNMB2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10256	CNKSR1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10267	RAMP1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10269	ZMPSTE24	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10284	SAP18	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10288	LILRB2	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10290	SPEG	up	late_allcell_DPN_vs_diabetes
