family	parent	gene_id	symbol	direction	bin	partner_direction	partner_status
late_allcell	original_late_allcell	100	ADA	up	residual	absent	absent
late_allcell	original_late_allcell	1000	CDH2	down	residual	absent	absent
late_allcell	original_late_allcell	100037417	DDTL	up	residual	absent	absent
late_allcell	original_late_allcell	10009	ZBTB33	down	residual	absent	absent
late_allcell	original_late_allcell	100101267	POM121C	down	residual	absent	absent
late_allcell	original_late_allcell	100125288	ZGLP1	up	residual	absent	absent
late_allcell	original_late_allcell	100127983	C8orf88	up	residual	absent	absent
late_allcell	original_late_allcell	100128327	TRAPPC3L	down	residual	absent	absent
late_allcell	original_late_allcell	100128731	OST4	up	residual	absent	absent
late_allcell	original_late_allcell	100128908	CIROP	down	residual	absent	absent
late_allcell	original_late_allcell	100128927	ZBTB42	up	residual	absent	absent
late_allcell	original_late_allcell	100129250	TZMP1	down	residual	absent	absent
late_allcell	original_late_allcell	100129361	SMIM10L1	down	residual	absent	absent
late_allcell	original_late_allcell	100130311	C17orf107	up	residual	absent	absent
late_allcell	original_late_allcell	100130539	LINC02881	up	excluded_cross_source_opposed	down	eligible
late_allcell	original_late_allcell	100131378	C11orf91	up	residual	absent	absent
late_allcell	original_late_allcell	100133315	XNDC1N	up	residual	absent	absent
late_allcell	original_late_allcell	100134444	KCNJ18	up	residual	absent	absent
late_allcell	original_late_allcell	100170229	SRRM5	up	residual	absent	absent
late_allcell	original_late_allcell	10019	SH2B3	up	residual	absent	absent
late_allcell	original_late_allcell	1002	CDH4	down	residual	absent	absent
late_allcell	original_late_allcell	10026	PIGK	down	residual	absent	absent
late_allcell	original_late_allcell	100271849	MEF2B	up	residual	absent	absent
late_allcell	original_late_allcell	100287482	SMKR1	down	residual	absent	absent
late_allcell	original_late_allcell	100289255	TMEM238L	down	residual	absent	absent
late_allcell	original_late_allcell	100289678	ZNF783	up	residual	absent	absent
late_allcell	original_late_allcell	10036	CHAF1A	up	residual	absent	absent
late_allcell	original_late_allcell	10038	PARP2	down	residual	absent	absent
late_allcell	original_late_allcell	10039	PARP3	up	residual	absent	absent
late_allcell	original_late_allcell	10044	SH2D3C	up	residual	absent	absent
late_allcell	original_late_allcell	1005	CDH7	down	residual	absent	absent
late_allcell	original_late_allcell	100506127	GVQW3	up	residual	absent	absent
late_allcell	original_late_allcell	100506540	MISFA	up	excluded_partner_unresolved	conflict	within_source_direction_conflict
late_allcell	original_late_allcell	100507050	TPBGL	down	residual	absent	absent
late_allcell	original_late_allcell	100507588	TGFBR3L	down	residual	absent	absent
late_allcell	original_late_allcell	10051	SMC4	down	residual	absent	absent
late_allcell	original_late_allcell	10052	GJC1	up	residual	absent	absent
late_allcell	original_late_allcell	10057	ABCC5	up	residual	absent	absent
late_allcell	original_late_allcell	1006	CDH8	down	residual	absent	absent
late_allcell	original_late_allcell	10062	NR1H3	up	residual	absent	absent
late_allcell	original_late_allcell	100653515	CEP295NL	up	residual	absent	absent
late_allcell	original_late_allcell	1007	CDH9	up	residual	absent	absent
late_allcell	original_late_allcell	1008	CDH10	down	residual	absent	absent
late_allcell	original_late_allcell	10082	GPC6	down	residual	absent	absent
late_allcell	original_late_allcell	1009	CDH11	down	residual	absent	absent
late_allcell	original_late_allcell	10092	ARPC5	down	residual	absent	absent
late_allcell	original_late_allcell	10098	TSPAN5	down	residual	absent	absent
late_allcell	original_late_allcell	100996693	SPEGNB	down	core	down	eligible
late_allcell	original_late_allcell	10110	SGK2	up	residual	absent	absent
