raw_gene	gene_input	gene_recovered_from_excel_date	human_gene_id	mapping_method	current_human_symbol	include_row
SMOC2	SMOC2	False	64094	official_exact	SMOC2	True
ELAPOR2	ELAPOR2	False	222223	official_exact	ELAPOR2	True
KCNB1	KCNB1	False	3745	official_exact	KCNB1	True
RSPO3	RSPO3	False	84870	official_exact	RSPO3	True
ZNF521	ZNF521	False	25925	official_exact	ZNF521	True
SPTBN5	SPTBN5	False	51332	official_exact	SPTBN5	True
BIRC7	BIRC7	False	79444	official_exact	BIRC7	True
NUAK2	NUAK2	False	81788	official_exact	NUAK2	True
TLDC2	TLDC2	False	140711	official_exact	TLDC2	True
INSRR	INSRR	False	3645	official_exact	INSRR	True
SHROOM3	SHROOM3	False	57619	official_exact	SHROOM3	True
GRAMD1B	GRAMD1B	False	57476	official_exact	GRAMD1B	True
FOSB	FOSB	False	2354	official_exact	FOSB	True
CADM4	CADM4	False	199731	official_exact	CADM4	True
PRPH	PRPH	False	5630	official_exact	PRPH	True
SDC3	SDC3	False	9672	official_exact	SDC3	True
KCNK12	KCNK12	False	56660	official_exact	KCNK12	True
OR2A5	OR2A5	False	393046	official_exact	OR2A5	True
CAV1	CAV1	False	857	official_exact	CAV1	True
EPB41L4B	EPB41L4B	False	54566	official_exact	EPB41L4B	True
EDNRA	EDNRA	False	1909	official_exact	EDNRA	True
ADPRHL1	ADPRHL1	False	113622	official_exact	ADPRHL1	True
CD109	CD109	False	135228	official_exact	CD109	True
RBM20	RBM20	False	282996	official_exact	RBM20	True
AURKB	AURKB	False	9212	official_exact	AURKB	True
ALDH1L2	ALDH1L2	False	160428	official_exact	ALDH1L2	True
SASH1	SASH1	False	23328	official_exact	SASH1	True
ADGRF5	ADGRF5	False	221395	official_exact	ADGRF5	True
GALNT16	GALNT16	False	57452	official_exact	GALNT16	True
COL24A1	COL24A1	False	255631	official_exact	COL24A1	True
PPARG	PPARG	False	5468	official_exact	PPARG	True
COL25A1	COL25A1	False	84570	official_exact	COL25A1	True
TULP2	TULP2	False	7288	official_exact	TULP2	True
SCUBE2	SCUBE2	False	57758	official_exact	SCUBE2	True
THRSP	THRSP	False	7069	official_exact	THRSP	True
MAG	MAG	False	4099	official_exact	MAG	True
TACSTD2	TACSTD2	False	4070	official_exact	TACSTD2	True
ALK	ALK	False	238	official_exact	ALK	True
OR2A14	OR2A14	False	135941	official_exact	OR2A14	True
CD22	CD22	False	933	official_exact	CD22	True
