endpoint	version_strict	module_id	status_strict	n_total_strict	n_positive_strict	n_negative_strict	mean_difference_strict	ci_low_strict	ci_high_strict	t_strict	p_strict	hedges_g_strict	fixed_direction_auc_strict	missing_strict	exact_strict	permutations_strict	reason_strict	q_BH_common_method_strict	version_initial	status_initial	n_total_initial	n_positive_initial	n_negative_initial	mean_difference_initial	ci_low_initial	ci_high_initial	t_initial	p_initial	hedges_g_initial	fixed_direction_auc_initial	missing_initial	exact_initial	permutations_initial	reason_initial	q_BH_common_method_initial
original_hDRG_DPN_control	repaired_statfree	late_allcell_residual	COMPLETED	12.0	5.0	7.0	0.0228918428128885	0.0057566564561293	0.0387770279166859	1.6287633351431496	0.15	0.9304175229893604	0.8285714285714286	0.0	True	300.0		0.26	repaired_statfree	COMPLETED	12.0	5.0	7.0	0.0228929992790115	0.005755446158008	0.0387788002368705	1.6286754502962866	0.15	0.930370617344501	0.8285714285714286	0.0	True	300.0		0.26
original_hDRG_DPN_control	repaired_statfree	late_neuron_residual	COMPLETED	12.0	5.0	7.0	0.0015727222915099	-0.0063749524624588	0.0097838025076427	0.3263160005179928	0.7566666666666667	0.1720409636874928	0.4857142857142857	0.0	True	300.0		0.8033333333333333	repaired_statfree	COMPLETED	12.0	5.0	7.0	0.0015732400511558	-0.0063748924845765	0.0097846914871143	0.3264173968956322	0.7566666666666667	0.1720907237030666	0.4857142857142857	0.0	True	300.0		0.8033333333333333
original_hDRG_DPN_control	repaired_statfree	late_shared_concordant_neuronal_core	COMPLETED	12.0	5.0	7.0	0.0372744606356522	0.017543914063896	0.0556861818238425	1.797587078682502	0.14	1.1227833291918403	0.7428571428571429	0.0	True	300.0		0.26	repaired_statfree	COMPLETED	12.0	5.0	7.0	0.0372775273479344	0.017544127673958	0.0556910654934195	1.7975785098424149	0.14	1.122782151995388	0.7428571428571429	0.0	True	300.0		0.26
original_hDRG_DPN_control	repaired_statfree	original_early_allcell	COMPLETED	12.0	5.0	7.0	-0.0025231213324022	-0.0165601989188495	0.0122610927408388	-0.2801447583496404	0.8033333333333333	-0.1369013716743023	0.3428571428571428	0.0	True	300.0		0.8033333333333333	repaired_statfree	COMPLETED	12.0	5.0	7.0	-0.0025242948869868	-0.0165616647915623	0.0122620860960442	-0.2802527439857095	0.8033333333333333	-0.1369540078669882	0.3428571428571428	0.0	True	300.0		0.8033333333333333
original_hDRG_DPN_control	repaired_statfree	original_late_allcell	COMPLETED	12.0	5.0	7.0	0.0233554988033742	0.0062839669841979	0.0391490723012885	1.6476157668842597	0.1366666666666666	0.947068879213492	0.8285714285714286	0.0	True	300.0		0.26	repaired_statfree	COMPLETED	12.0	5.0	7.0	0.0233566985163861	0.0062837664494864	0.0391526455678376	1.6475323270549198	0.1366666666666666	0.9470243561764506	0.8285714285714286	0.0	True	300.0		0.26
original_hDRG_DPN_control	repaired_statfree	original_late_neuron	COMPLETED	12.0	5.0	7.0	0.0106912703520711	0.0021866833067172	0.0190441892932044	1.516769913955072	0.1633333333333333	0.9045913748858028	0.7142857142857143	0.0	True	300.0		0.26	repaired_statfree	COMPLETED	12.0	5.0	7.0	0.0106923843238151	0.0021854989779219	0.0190470471933867	1.516654038839026	0.1633333333333333	0.9045296645834164	0.7142857142857143	0.0	True	300.0		0.26
original_hDRG_DPN_control	repaired_statfree	original_severity	COMPLETED	12.0	5.0	7.0	0.0076916675027862	0.0012016515992147	0.0147085029361594	1.5333681832182071	0.16	0.835127918501298	0.7714285714285715	0.0	True	300.0		0.26	repaired_statfree	COMPLETED	12.0	5.0	7.0	0.0076915317824911	0.0012022437362491	0.0147071857523557	1.5334753800752643	0.16	0.8352040110388994	0.7714285714285715	0.0	True	300.0		0.26
original_hDRG_DPN_control	repaired_statfree	original_xenium	COMPLETED	12.0	5.0	7.0	0.0185780715972731	-0.0324779914969498	0.067323372458668	0.5735342121801174	0.6	0.2982478492600079	0.6	0.0	True	300.0		0.7714285714285714	repaired_statfree	COMPLETED	12.0	5.0	7.0	0.0185817835120349	-0.0324789040648601	0.0673318792183978	0.5735883612696356	0.6	0.2982793086660712	0.6	0.0	True	300.0		0.7714285714285714
original_hDRG_DPN_control	repaired_statfree	severity_neuron_residual	COMPLETED	12.0	5.0	7.0	0.0089886909223649	0.0012134152758956	0.0175397199648455	1.498421701106213	0.1733333333333333	0.8059408064136171	0.7714285714285715	0.0	True	300.0		0.26	repaired_statfree	COMPLETED	12.0	5.0	7.0	0.008988110569202	0.0012131318192448	0.0175378519344142	1.498476652038738	0.1733333333333333	0.8059805128316423	0.7714285714285715	0.0	True	300.0		0.26
original_hDRG_DPN_control	repaired_statfree	severity_neuron_shared_concordant_core	NOT_EVALUABLE														fewer than 10 measured genes per signed arm		repaired_statfree	NOT_EVALUABLE														fewer than 10 measured genes per signed arm	
original_JCI_sural_DPN_control	repaired_statfree	late_allcell_residual	COMPLETED	12.0	6.0	6.0	-0.0368927498444749	-0.069458476561306	-0.0148643135230175	-2.282981564756867	0.0043290043290043	-1.2166892501236892	0.0277777777777777	0.0	True	924.0		0.0146103896103896	repaired_statfree	COMPLETED	12.0	6.0	6.0	-0.0368881191694824	-0.0694476749483465	-0.0148622117681624	-2.2830305979959524	0.0043290043290043	-1.2167153818348762	0.0277777777777777	0.0	True	924.0		0.0146103896103896
original_JCI_sural_DPN_control	repaired_statfree	late_neuron_residual	COMPLETED	12.0	6.0	6.0	0.0267471692281034	0.0060869631622755	0.0482512757624348	2.2134788369570497	0.0562770562770562	1.1796485560271006	0.8611111111111112	0.0	True	924.0		0.0751391465677179	repaired_statfree	COMPLETED	12.0	6.0	6.0	0.026743368442586	0.0060829000957257	0.0482493893411313	2.213270696298513	0.0562770562770562	1.1795376298130371	0.8611111111111112	0.0	True	924.0		0.0751391465677179
