ensembl_gene_id	human_gene_id	current_symbol_cache	type_of_gene_cache	ensembl_mapping_is_one_to_one	present_in_GSE302658	current_symbol_rebuilt	type_of_gene_rebuilt	rebuilt_one_to_one	_merge
ENSG00000000003	7105	TSPAN6	protein-coding	True	True	TSPAN6	protein-coding	True	both
ENSG00000000005	64102	TNMD	protein-coding	True	True	TNMD	protein-coding	True	both
ENSG00000000419	8813	DPM1	protein-coding	True	True	DPM1	protein-coding	True	both
ENSG00000000457	57147	SCYL3	protein-coding	True	True	SCYL3	protein-coding	True	both
ENSG00000000460	55732	FIRRM	protein-coding	True	True	FIRRM	protein-coding	True	both
ENSG00000000938	2268	FGR	protein-coding	True	True	FGR	protein-coding	True	both
ENSG00000000971	3075	CFH	protein-coding	True	True	CFH	protein-coding	True	both
ENSG00000001036	2519	FUCA2	protein-coding	True	True	FUCA2	protein-coding	True	both
ENSG00000001084	2729	GCLC	protein-coding	True	True	GCLC	protein-coding	True	both
ENSG00000001167	4800	NFYA	protein-coding	True	True	NFYA	protein-coding	True	both
ENSG00000001460	90529	STPG1	protein-coding	True	True	STPG1	protein-coding	True	both
ENSG00000001461	57185	NIPAL3	protein-coding	True	True	NIPAL3	protein-coding	True	both
ENSG00000001497	81887	LAS1L	protein-coding	True	True	LAS1L	protein-coding	True	both
ENSG00000001561	22875	ENPP4	protein-coding	True	True	ENPP4	protein-coding	True	both
ENSG00000001617	6405	SEMA3F	protein-coding	True	True	SEMA3F	protein-coding	True	both
ENSG00000001626	1080	CFTR	protein-coding	True	True	CFTR	protein-coding	True	both
ENSG00000001629	54467	ANKIB1	protein-coding	True	True	ANKIB1	protein-coding	True	both
ENSG00000001630	1595	CYP51A1	protein-coding	True	True	CYP51A1	protein-coding	True	both
ENSG00000001631	889	KRIT1	protein-coding	True	True	KRIT1	protein-coding	True	both
ENSG00000002016	5893	RAD52	protein-coding	True	True	RAD52	protein-coding	True	both
ENSG00000002330	572	BAD	protein-coding	True	True	BAD	protein-coding	True	both
ENSG00000002549	51056	LAP3	protein-coding	True	True	LAP3	protein-coding	True	both
ENSG00000002586	4267	CD99	protein-coding	True	True	CD99	protein-coding	True	both
ENSG00000002587	9957	HS3ST1	protein-coding	True	True	HS3ST1	protein-coding	True	both
ENSG00000002726	26	AOC1	protein-coding	True	True	AOC1	protein-coding	True	both
ENSG00000002745	51384	WNT16	protein-coding	True	True	WNT16	protein-coding	True	both
ENSG00000002746	23072	HECW1	protein-coding	True	True	HECW1	protein-coding	True	both
ENSG00000002822	8379	MAD1L1	protein-coding	True	True	MAD1L1	protein-coding	True	both
ENSG00000002834	3927	LASP1	protein-coding	True	True	LASP1	protein-coding	True	both
ENSG00000002919	29916	SNX11	protein-coding	True	True	SNX11	protein-coding	True	both
ENSG00000002933	55365	TMEM176A	protein-coding	True	True	TMEM176A	protein-coding	True	both
ENSG00000003056	4074	M6PR	protein-coding	True	True	M6PR	protein-coding	True	both
ENSG00000003096	90293	KLHL13	protein-coding	True	True	KLHL13	protein-coding	True	both
ENSG00000003137	56603	CYP26B1	protein-coding	True	True	CYP26B1	protein-coding	True	both
ENSG00000003147	3382	ICA1	protein-coding	True	True	ICA1	protein-coding	True	both
ENSG00000003249	79007	DBNDD1	protein-coding	True	True	DBNDD1	protein-coding	True	both
ENSG00000003393	57679	ALS2	protein-coding	True	True	ALS2	protein-coding	True	both
ENSG00000003400	843	CASP10	protein-coding	True	True	CASP10	protein-coding	True	both
ENSG00000003402	8837	CFLAR	protein-coding	True	True	CFLAR	protein-coding	True	both
ENSG00000003436	7035	TFPI	protein-coding	True	True	TFPI	protein-coding	True	both
ENSG00000003509	55471	NDUFAF7	protein-coding	True	True	NDUFAF7	protein-coding	True	both
ENSG00000003756	10181	RBM5	protein-coding	True	True	RBM5	protein-coding	True	both
ENSG00000003987	9108	MTMR7	protein-coding	True	True	MTMR7	protein-coding	True	both
ENSG00000003989	6542	SLC7A2	protein-coding	True	True	SLC7A2	protein-coding	True	both
ENSG00000004059	381	ARF5	protein-coding	True	True	ARF5	protein-coding	True	both
ENSG00000004139	23098	SARM1	protein-coding	True	True	SARM1	protein-coding	True	both
ENSG00000004142	26073	POLDIP2	protein-coding	True	True	POLDIP2	protein-coding	True	both
ENSG00000004399	23129	PLXND1	protein-coding	True	True	PLXND1	protein-coding	True	both
ENSG00000004455	204	AK2	protein-coding	True	True	AK2	protein-coding	True	both
ENSG00000004468	952	CD38	protein-coding	True	True	CD38	protein-coding	True	both
ENSG00000004478	2288	FKBP4	protein-coding	True	True	FKBP4	protein-coding	True	both
ENSG00000004487	23028	KDM1A	protein-coding	True	True	KDM1A	protein-coding	True	both
ENSG00000004534	10180	RBM6	protein-coding	True	True	RBM6	protein-coding	True	both
ENSG00000004660	84254	CAMKK1	protein-coding	True	True	CAMKK1	protein-coding	True	both
ENSG00000004700	5965	RECQL	protein-coding	True	True	RECQL	protein-coding	True	both
ENSG00000004766	55610	VPS50	protein-coding	True	True	VPS50	protein-coding	True	both
ENSG00000004776	126393	HSPB6	protein-coding	True	True	HSPB6	protein-coding	True	both
ENSG00000004777	115703	ARHGAP33	protein-coding	True	True	ARHGAP33	protein-coding	True	both
ENSG00000004779	4706	NDUFAB1	protein-coding	True	True	NDUFAB1	protein-coding	True	both
ENSG00000004799	5166	PDK4	protein-coding	True	True	PDK4	protein-coding	True	both
ENSG00000004809	85413	SLC22A16	protein-coding	True	True	SLC22A16	protein-coding	True	both
ENSG00000004838	51364	ZMYND10	protein-coding	True	True	ZMYND10	protein-coding	True	both
ENSG00000004846	340273	ABCB5	protein-coding	True	True	ABCB5	protein-coding	True	both
ENSG00000004848	170302	ARX	protein-coding	True	True	ARX	protein-coding	True	both
ENSG00000004864	10165	SLC25A13	protein-coding	True	True	SLC25A13	protein-coding	True	both
ENSG00000004866	7982	ST7	protein-coding	False	True	ST7	protein-coding	False	both
ENSG00000004866	93655	ST7-OT3	ncRNA	False	True	ST7-OT3	ncRNA	False	both
ENSG00000004897	996	CDC27	protein-coding	True	True	CDC27	protein-coding	True	both
ENSG00000004939	6521	SLC4A1	protein-coding	True	True	SLC4A1	protein-coding	True	both
ENSG00000004948	799	CALCR	protein-coding	True	True	CALCR	protein-coding	True	both
ENSG00000004961	3052	HCCS	protein-coding	True	True	HCCS	protein-coding	True	both
ENSG00000004975	1856	DVL2	protein-coding	True	True	DVL2	protein-coding	True	both
ENSG00000005001	64063	PRSS22	protein-coding	True	True	PRSS22	protein-coding	True	both
ENSG00000005007	5976	UPF1	protein-coding	True	True	UPF1	protein-coding	True	both
ENSG00000005020	8935	SKAP2	protein-coding	True	True	SKAP2	protein-coding	True	both
ENSG00000005022	292	SLC25A5	protein-coding	True	True	SLC25A5	protein-coding	True	both
ENSG00000005059	55013	MCUB	protein-coding	True	True	MCUB	protein-coding	True	both
ENSG00000005073	3207	HOXA11	protein-coding	True	True	HOXA11	protein-coding	True	both
ENSG00000005075	5439	POLR2J	protein-coding	True	True	POLR2J	protein-coding	True	both
ENSG00000005100	56919	DHX33	protein-coding	True	True	DHX33	protein-coding	True	both
ENSG00000005102	4222	MEOX1	protein-coding	True	True	MEOX1	protein-coding	True	both
ENSG00000005108	221981	THSD7A	protein-coding	True	True	THSD7A	protein-coding	True	both
ENSG00000005156	3980	LIG3	protein-coding	True	True	LIG3	protein-coding	True	both
ENSG00000005175	79657	RPAP3	protein-coding	True	True	RPAP3	protein-coding	True	both
ENSG00000005187	6296	ACSM3	protein-coding	True	True	ACSM3	protein-coding	True	both
ENSG00000005189	81691	REXO5	protein-coding	True	True	REXO5	protein-coding	True	both
ENSG00000005194	57019	CIAPIN1	protein-coding	True	True	CIAPIN1	protein-coding	True	both
ENSG00000005206	56928	SPPL2B	protein-coding	True	True	SPPL2B	protein-coding	True	both
ENSG00000005238	80256	ATOSB	protein-coding	True	True	ATOSB	protein-coding	True	both
ENSG00000005243	51226	COPZ2	protein-coding	True	True	COPZ2	protein-coding	True	both
ENSG00000005249	5577	PRKAR2B	protein-coding	True	True	PRKAR2B	protein-coding	True	both
ENSG00000005302	10943	MSL3	protein-coding	True	True	MSL3	protein-coding	True	both
ENSG00000005339	1387	CREBBP	protein-coding	True	True	CREBBP	protein-coding	True	both
ENSG00000005379	9256	TSPOAP1	protein-coding	True	True	TSPOAP1	protein-coding	True	both
ENSG00000005381	4353	MPO	protein-coding	True	True	MPO	protein-coding	True	both
ENSG00000005421	5444	PON1	protein-coding	True	True	PON1	protein-coding	True	both
ENSG00000005436	6936	GCFC2	protein-coding	True	True	GCFC2	protein-coding	True	both
ENSG00000005448	84058	WDR54	protein-coding	True	True	WDR54	protein-coding	True	both
ENSG00000005469	54677	CROT	protein-coding	True	True	CROT	protein-coding	True	both
ENSG00000005471	5244	ABCB4	protein-coding	True	True	ABCB4	protein-coding	True	both
ENSG00000005483	55904	KMT2E	protein-coding	True	True	KMT2E	protein-coding	True	both
ENSG00000005486	57414	RHBDD2	protein-coding	True	True	RHBDD2	protein-coding	True	both
ENSG00000005513	30812	SOX8	protein-coding	True	True	SOX8	protein-coding	True	both
ENSG00000005700	25998	IBTK	protein-coding	True	True	IBTK	protein-coding	True	both
ENSG00000005801	7748	ZNF195	protein-coding	True	True	ZNF195	protein-coding	True	both
ENSG00000005810	23077	MYCBP2	protein-coding	True	True	MYCBP2	protein-coding	True	both
ENSG00000005812	26224	FBXL3	protein-coding	True	True	FBXL3	protein-coding	True	both
ENSG00000005844	3683	ITGAL	protein-coding	True	True	ITGAL	protein-coding	True	both
ENSG00000005882	5164	PDK2	protein-coding	True	True	PDK2	protein-coding	True	both
ENSG00000005884	3675	ITGA3	protein-coding	True	True	ITGA3	protein-coding	True	both
ENSG00000005889	7543	ZFX	protein-coding	True	True	ZFX	protein-coding	True	both
ENSG00000005893	3920	LAMP2	protein-coding	True	True	LAMP2	protein-coding	True	both
ENSG00000005961	3674	ITGA2B	protein-coding	True	True	ITGA2B	protein-coding	True	both
ENSG00000005981	51666	ASB4	protein-coding	True	True	ASB4	protein-coding	True	both
ENSG00000006007	51573	GDE1	protein-coding	True	True	GDE1	protein-coding	True	both
ENSG00000006015	55049	REX1BD	protein-coding	True	True	REX1BD	protein-coding	True	both
ENSG00000006016	9244	CRLF1	protein-coding	True	True	CRLF1	protein-coding	True	both
ENSG00000006025	114881	OSBPL7	protein-coding	True	True	OSBPL7	protein-coding	True	both
ENSG00000006042	26022	TMEM98	protein-coding	True	True	TMEM98	protein-coding	True	both
ENSG00000006047	51087	YBX2	protein-coding	True	True	YBX2	protein-coding	True	both
ENSG00000006059	3883	KRT33A	protein-coding	True	True	KRT33A	protein-coding	True	both
ENSG00000006062	9020	MAP3K14	protein-coding	True	True	MAP3K14	protein-coding	True	both
ENSG00000006071	6833	ABCC8	protein-coding	True	True	ABCC8	protein-coding	True	both
ENSG00000006116	10368	CACNG3	protein-coding	True	True	CACNG3	protein-coding	True	both
ENSG00000006118	54972	TMEM132A	protein-coding	True	True	TMEM132A	protein-coding	True	both
ENSG00000006125	163	AP2B1	protein-coding	True	True	AP2B1	protein-coding	True	both
ENSG00000006128	6863	TAC1	protein-coding	True	True	TAC1	protein-coding	True	both
ENSG00000006194	10127	ZNF263	protein-coding	True	True	ZNF263	protein-coding	True	both
ENSG00000006210	6376	CX3CL1	protein-coding	True	True	CX3CL1	protein-coding	True	both
ENSG00000006282	64847	SPATA20	protein-coding	True	True	SPATA20	protein-coding	True	both
