gene_id	finite_after_aggregate	all_zero_after_aggregate	eligible_rank	n_source_rows	n_eligible_source_rows
7105	True	False	True	1	1
64102	True	False	True	1	1
8813	True	False	True	1	1
57147	True	False	True	1	1
55732	True	False	True	1	1
2268	True	False	True	1	1
3075	True	False	True	1	1
2519	True	False	True	1	1
2729	True	False	True	1	1
4800	True	False	True	1	1
90529	True	False	True	1	1
57185	True	False	True	1	1
81887	True	False	True	1	1
22875	True	False	True	1	1
6405	True	False	True	1	1
1080	True	False	True	1	1
54467	True	False	True	1	1
1595	True	False	True	1	1
889	True	False	True	1	1
5893	True	False	True	1	1
572	True	False	True	1	1
51056	True	False	True	1	1
4267	True	False	True	1	1
9957	True	False	True	1	1
26	True	False	True	1	1
51384	True	False	True	1	1
23072	True	False	True	1	1
8379	True	False	True	1	1
3927	True	False	True	1	1
29916	True	False	True	1	1
55365	True	False	True	1	1
4074	True	False	True	1	1
90293	True	False	True	1	1
56603	True	False	True	1	1
3382	True	False	True	1	1
79007	True	False	True	1	1
57679	True	False	True	1	1
843	True	False	True	1	1
8837	True	False	True	1	1
7035	True	False	True	1	1
55471	True	False	True	1	1
10181	True	False	True	1	1
9108	True	False	True	1	1
6542	True	False	True	1	1
381	True	False	True	1	1
23098	True	False	True	1	1
26073	True	False	True	1	1
23129	True	False	True	1	1
204	True	False	True	1	1
952	True	False	True	1	1
2288	True	False	True	1	1
23028	True	False	True	1	1
10180	True	False	True	1	1
84254	True	False	True	1	1
5965	True	False	True	1	1
55610	True	False	True	1	1
126393	True	False	True	1	1
115703	True	False	True	1	1
4706	True	False	True	1	1
5166	True	False	True	1	1
85413	True	False	True	1	1
51364	True	False	True	1	1
340273	True	False	True	1	1
170302	True	False	True	1	1
10165	True	False	True	1	1
996	True	False	True	1	1
6521	True	False	True	1	1
799	True	False	True	1	1
3052	True	False	True	1	1
1856	True	False	True	1	1
64063	True	False	True	1	1
5976	True	False	True	1	1
8935	True	False	True	1	1
292	True	False	True	1	1
55013	True	False	True	1	1
3207	True	False	True	1	1
5439	True	False	True	1	1
56919	True	False	True	1	1
4222	True	False	True	1	1
221981	True	False	True	1	1
3980	True	False	True	1	1
79657	True	False	True	1	1
6296	True	False	True	1	1
81691	True	False	True	1	1
57019	True	False	True	1	1
56928	True	False	True	1	1
80256	True	False	True	1	1
51226	True	False	True	1	1
5577	True	False	True	1	1
10943	True	False	True	1	1
1387	True	False	True	1	1
9256	True	False	True	1	1
4353	True	False	True	1	1
5444	True	False	True	1	1
6936	True	False	True	1	1
84058	True	False	True	1	1
54677	True	False	True	1	1
5244	True	False	True	1	1
55904	True	False	True	1	1
57414	True	False	True	1	1
30812	True	False	True	1	1
25998	True	False	True	1	1
7748	True	False	True	1	1
23077	True	False	True	1	1
26224	True	False	True	1	1
3683	True	False	True	1	1
5164	True	False	True	1	1
3675	True	False	True	1	1
7543	True	False	True	1	1
3920	True	False	True	1	1
3674	True	False	True	1	1
51666	True	False	True	1	1
51573	True	False	True	1	1
55049	True	False	True	1	1
9244	True	False	True	1	1
114881	True	False	True	1	1
26022	True	False	True	1	1
51087	True	False	True	1	1
3883	False	True	False	1	0
9020	True	False	True	1	1
6833	True	False	True	1	1
10368	True	False	True	1	1
54972	True	False	True	1	1
163	True	False	True	1	1
6863	True	False	True	1	1
10127	True	False	True	1	1
6376	True	False	True	1	1
64847	True	False	True	1	1
8913	True	False	True	1	1
51330	True	False	True	1	1
1750	True	False	True	1	1
4293	True	False	True	1	1
5898	True	False	True	1	1
55971	True	False	True	1	1
80853	True	False	True	1	1
2115	True	False	True	1	1
55750	True	False	True	1	1
221	True	False	True	1	1
55001	True	False	True	1	1
57157	True	False	True	1	1
10344	True	False	True	1	1
9855	True	False	True	1	1
10083	True	False	True	1	1
79017	True	False	True	1	1
10926	True	False	True	1	1
6915	True	False	True	1	1
3475	True	False	True	1	1
56891	True	False	True	1	1
1352	True	False	True	1	1
9569	True	False	True	1	1
54623	True	False	True	1	1
27072	True	False	True	1	1
9912	True	False	True	1	1
60528	True	False	True	1	1
85477	True	False	True	1	1
414	True	False	True	1	1
8228	True	False	True	1	1
8735	True	False	True	1	1
79602	True	False	True	1	1
51265	True	False	True	1	1
151531	True	False	True	1	1
10942	True	False	True	1	1
57787	True	False	True	1	1
8842	True	False	True	1	1
115098	True	False	True	1	1
90273	True	False	True	1	1
5048	True	False	True	1	1
4843	True	False	True	1	1
1770	True	False	True	1	1
9703	True	False	True	1	1
9058	False	True	False	1	0
8522	True	False	True	1	1
79090	True	False	True	1	1
4145	True	False	True	1	1
1087	True	False	True	1	1
974	True	False	True	1	1
6329	True	False	True	1	1
54879	True	False	True	1	1
8277	True	False	True	1	1
5080	True	False	True	1	1
113000	True	False	True	1	1
64285	True	False	True	1	1
55692	True	False	True	1	1
9254	True	False	True	1	1
8938	True	False	True	1	1
115939	True	False	True	1	1
9091	True	False	True	1	1
57585	True	False	True	1	1
7005	True	False	True	1	1
6401	True	False	True	1	1
55735	True	False	True	1	1
2328	True	False	True	1	1
29116	True	False	True	1	1
27035	True	False	True	1	1
1870	True	False	True	1	1
5689	True	False	True	1	1
6853	True	False	True	1	1
3720	True	False	True	1	1
6792	True	False	True	1	1
57172	True	False	True	1	1
728642	True	False	True	1	1
65220	True	False	True	1	1
7021	True	False	True	1	1
83741	True	False	True	1	1
9940	True	False	True	1	1
9265	True	False	True	1	1
53616	True	False	True	1	1
6856	True	False	True	1	1
1534	True	False	True	1	1
9043	True	False	True	1	1
1951	True	False	True	1	1
10157	True	False	True	1	1
55200	True	False	True	1	1
51188	True	False	True	1	1
84954	True	False	True	1	1
4257	True	False	True	1	1
1407	True	False	True	1	1
8993	True	False	True	1	1
4784	True	False	True	1	1
6482	True	False	True	1	1
64386	True	False	True	1	1
9235	True	False	True	1	1
5310	True	False	True	1	1
23542	True	False	True	1	1
9862	True	False	True	1	1
23221	True	False	True	1	1
54497	True	False	True	1	1
7095	True	False	True	1	1
6224	True	False	True	1	1
7812	True	False	True	1	1
9690	True	False	True	1	1
5980	True	False	True	1	1
10178	True	False	True	1	1
5081	True	False	True	1	1
