program	n_donors	statistic	role	status	reason	effect	P_two_sided	exact_assignments	audit_ci_low	audit_ci_high	audit_bootstrap_draws	delta_up	delta_down	lodo_min_effect	lodo_max_effect	lodo_same_sign_fraction	BH_q_eligible_program_family	family_finite_n
P1	6	mean	independent_numerical_audit_not_new_validation	COMPLETED		0.004350815354587467	0.0625	64.0	0.002041753907644883	0.006368503794173552	2000.0	0.0069575850011478835	0.0026067696465604047	0.0037085976886797	0.0053926367168294805	1.0	0.0703125	9
P2	6	mean	independent_numerical_audit_not_new_validation	COMPLETED		0.03269027936901053	0.03125	64.0	0.026117080401631784	0.04106256415136957	2000.0	0.013094215465471236	-0.019596063903539233	0.02914746101515444	0.03441953074357408	1.0	0.04017857142857143	9
P3	6	mean	independent_numerical_audit_not_new_validation	COMPLETED		-0.0010978100318407666	0.28125	64.0	-0.002532751354133967	0.00051391432928675	2000.0	0.003416426120217267	0.004514236152058049	-0.0017386657290183402	-0.0007515799603691	1.0	0.28125	9
P4	6	mean	independent_numerical_audit_not_new_validation	COMPLETED		0.0271329145060461	0.03125	64.0	0.02327975682831652	0.03101566487316779	2000.0	-0.01938966520216993	-0.04652257970821604	0.02588821955538568	0.028452821614766838	1.0	0.04017857142857143	9
P5	6	mean	independent_numerical_audit_not_new_validation	COMPLETED		-0.035891771825252695	0.03125	64.0	-0.05232184009249804	-0.019974218052746386	2000.0	-0.02589460979633992	0.00999716202891275	-0.040562256688690915	-0.029802757575365234	1.0	0.04017857142857143	9
P6	6	mean	independent_numerical_audit_not_new_validation	COMPLETED		0.02122710607635848	0.03125	64.0	0.01153527848036065	0.031610017836594534	2000.0	0.0129948501562225	-0.008232255920135984	0.017038740120357478	0.023574517365879698	1.0	0.04017857142857143	9
P7	6	mean	independent_numerical_audit_not_new_validation	COMPLETED		-0.011014445574996102	0.03125	64.0	-0.015073489778715051	-0.007191443900918267	2000.0	-0.0023992346857396834	0.008615210889256384	-0.012467149093824542	-0.00927334666765368	1.0	0.04017857142857143	9
P8	6	mean	independent_numerical_audit_not_new_validation	COMPLETED		0.0333275262269588	0.03125	64.0	0.02680905171018812	0.04100044087595049	2000.0	0.0131839886866948	-0.02014353754026395	0.02983788660591808	0.03501681927891028	1.0	0.04017857142857143	9
P9	0	mean	independent_numerical_audit_not_new_validation	NOT_EVALUABLE	RNA full score ineligible: seven source-down members	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9
P10	6	mean	independent_numerical_audit_not_new_validation	COMPLETED		0.03263438321762136	0.03125	64.0	0.02855396293264197	0.036475485053758375	2000.0	-0.019667716759525635	-0.0523020999771471	0.031134233599872673	0.03422431124815996	1.0	0.04017857142857143	9
