comparison	module_id	component	n_DPN	n_MNC	effect	ci_low	ci_high	p	exact	permutations	status	q_family
DPN minus MNC difference of AH minus MG	late_allcell_residual	S	3	3	0.009755742145787635	-0.015243817421124609	0.03283913075110523	0.5	True	20	COMPLETED_SMALL_SAMPLE	0.7714285714285714
DPN minus MNC difference of AH minus MG	late_allcell_residual	U	3	3	0.011066296318058149	-0.008586427593679152	0.030719020229795446	0.4	True	20	COMPLETED_SMALL_SAMPLE	0.72
DPN minus MNC difference of AH minus MG	late_allcell_residual	D	3	3	0.0013105541722705134	-0.008311835329964268	0.012009965778222739	1.0	True	20	COMPLETED_SMALL_SAMPLE	1.0
DPN minus MNC difference of AH minus MG	late_neuron_residual	S	3	3	-0.006323383103705171	-0.0196447831889609	0.00893299991269832	0.5	True	20	COMPLETED_SMALL_SAMPLE	0.7714285714285714
DPN minus MNC difference of AH minus MG	late_neuron_residual	U	3	3	0.013304825233341868	-0.0037305264830271483	0.02684774058524919	0.2	True	20	COMPLETED_SMALL_SAMPLE	0.6000000000000001
DPN minus MNC difference of AH minus MG	late_neuron_residual	D	3	3	0.019628208337047037	0.008270194924280272	0.03712473442006577	0.1	True	20	COMPLETED_SMALL_SAMPLE	0.6000000000000001
DPN minus MNC difference of AH minus MG	late_shared_concordant_neuronal_core	S	3	3	0.008617764599022859	-0.00544004064456538	0.0226755698426111	0.4	True	20	COMPLETED_SMALL_SAMPLE	0.7714285714285714
DPN minus MNC difference of AH minus MG	late_shared_concordant_neuronal_core	U	3	3	0.018380684074944125	-0.0013390273380315244	0.04489123609361586	0.3	True	20	COMPLETED_SMALL_SAMPLE	0.72
DPN minus MNC difference of AH minus MG	late_shared_concordant_neuronal_core	D	3	3	0.009762919475921266	-0.012698736935280636	0.042387043612658847	0.9	True	20	COMPLETED_SMALL_SAMPLE	1.0
DPN minus MNC difference of AH minus MG	original_early_allcell	S	3	3	0.015374938059531867	0.0026392859523052996	0.028913098844512358	0.2	True	20	COMPLETED_SMALL_SAMPLE	0.7714285714285714
DPN minus MNC difference of AH minus MG	original_early_allcell	U	3	3	0.024752812325456675	0.013938359757059704	0.03758765383909094	0.1	True	20	COMPLETED_SMALL_SAMPLE	0.6000000000000001
DPN minus MNC difference of AH minus MG	original_early_allcell	D	3	3	0.00937787426592481	-0.006571438595092535	0.02638693753651859	0.7	True	20	COMPLETED_SMALL_SAMPLE	1.0
DPN minus MNC difference of AH minus MG	original_late_allcell	S	3	3	0.009557858290317522	-0.012604466951266626	0.03166099142175627	0.5	True	20	COMPLETED_SMALL_SAMPLE	0.7714285714285714
DPN minus MNC difference of AH minus MG	original_late_allcell	U	3	3	0.011281499934788441	-0.007700731931835959	0.029763272195652408	0.4	True	20	COMPLETED_SMALL_SAMPLE	0.72
DPN minus MNC difference of AH minus MG	original_late_allcell	D	3	3	0.0017236416444709188	-0.00862681074044928	0.01216327752476761	0.9	True	20	COMPLETED_SMALL_SAMPLE	1.0
DPN minus MNC difference of AH minus MG	original_late_neuron	S	3	3	-0.003980358889276318	-0.014594625309970318	0.005424436735180338	0.7	True	20	COMPLETED_SMALL_SAMPLE	0.7875
DPN minus MNC difference of AH minus MG	original_late_neuron	U	3	3	0.013068682538853332	0.0035271092898404945	0.02364030805324054	0.2	True	20	COMPLETED_SMALL_SAMPLE	0.6000000000000001
DPN minus MNC difference of AH minus MG	original_late_neuron	D	3	3	0.017049041428129647	0.0042291928052142404	0.03952406484678824	0.1	True	20	COMPLETED_SMALL_SAMPLE	0.6000000000000001
DPN minus MNC difference of AH minus MG	original_severity	S	3	3	0.0031456612808924787	-0.014340714908574173	0.020632037470359132	0.8	True	20	COMPLETED_SMALL_SAMPLE	0.8
DPN minus MNC difference of AH minus MG	original_severity	U	3	3	0.00393202101128783	-0.003963354502922548	0.012144412453757525	0.6	True	20	COMPLETED_SMALL_SAMPLE	0.9818181818181817
DPN minus MNC difference of AH minus MG	original_severity	D	3	3	0.0007863597303953522	-0.014394026464725243	0.01589268339882492	1.0	True	20	COMPLETED_SMALL_SAMPLE	1.0
DPN minus MNC difference of AH minus MG	original_xenium	S	3	3	-0.018881339573812123	-0.05635109773093613	0.017268153076548682	0.6	True	20	COMPLETED_SMALL_SAMPLE	0.7714285714285714
DPN minus MNC difference of AH minus MG	original_xenium	U	3	3	0.009554503947313699	-0.04047556902219344	0.05958457691682084	0.8	True	20	COMPLETED_SMALL_SAMPLE	1.0
DPN minus MNC difference of AH minus MG	original_xenium	D	3	3	0.028435843521125825	0.006597139474271502	0.04629548570412615	0.2	True	20	COMPLETED_SMALL_SAMPLE	0.6000000000000001
DPN minus MNC difference of AH minus MG	severity_neuron_residual	S	3	3	0.008057347210483826	-0.010621879031863958	0.02673657345283161	0.6	True	20	COMPLETED_SMALL_SAMPLE	0.7714285714285714
DPN minus MNC difference of AH minus MG	severity_neuron_residual	U	3	3	0.00828710200470395	-0.0012671739404285602	0.01971936455170272	0.4	True	20	COMPLETED_SMALL_SAMPLE	0.72
DPN minus MNC difference of AH minus MG	severity_neuron_residual	D	3	3	0.0002297547942201241	-0.01513809042125395	0.013831979136072111	1.0	True	20	COMPLETED_SMALL_SAMPLE	1.0
