resource	module_id	sample_id	U	D	S
GSE143979	late_allcell_residual	MB01 AH	0.7064660411611694	0.6114669713931848	0.09499906976798456
GSE143979	late_allcell_residual	MB01 MG	0.7073023882542829	0.6109899206160722	0.09631246763821077
GSE143979	late_allcell_residual	MB02 AH	0.6994401656131817	0.6085784992054283	0.0908616664077534
GSE143979	late_allcell_residual	MB02 MG	0.7011337204984432	0.6054761684493415	0.09565755204910176
GSE143979	late_allcell_residual	MB05 AH	0.6709006918995684	0.608973385037329	0.06192730686223935
GSE143979	late_allcell_residual	MB05 MG	0.6829686128634141	0.603564400489648	0.07940421237376616
GSE143979	late_allcell_residual	MB07 MG	0.711339045247737	0.6109530043601924	0.10038604088754455
GSE143979	late_allcell_residual	MB09 AH	0.707234364235692	0.6052812393494651	0.10195312488622688
GSE143979	late_allcell_residual	MB09 MG	0.6851688973944107	0.6095787162821146	0.0755901811122961
GSE143979	late_allcell_residual	MB10 AH	0.7071189665817386	0.6210932724799141	0.08602569410182448
GSE143979	late_allcell_residual	MB10 MG	0.6831305297447673	0.6076786939113186	0.07545183583344872
GSE143979	late_allcell_residual	MB11 AH	0.6892484719570819	0.6225695001339583	0.06667897182312366
GSE143979	late_allcell_residual	MB12 AH	0.7112922368361037	0.6015614200139591	0.10973081682214458
GSE143979	late_allcell_residual	MB12 MG	0.692941446633613	0.6073075484717374	0.08563389816187561
GSE143979	late_allcell_residual	MB14 MG	0.6825201538407544	0.610153578342417	0.07236657549833736
GSE143979	late_neuron_residual	MB01 AH	0.6702680316868159	0.7653379415375999	-0.095069909850784
GSE143979	late_neuron_residual	MB01 MG	0.6692861059297206	0.7608383729152007	-0.09155226698548014
GSE143979	late_neuron_residual	MB02 AH	0.6616325053262305	0.7613279176326259	-0.09969541230639534
GSE143979	late_neuron_residual	MB02 MG	0.6646645146724436	0.7652965402370172	-0.10063202556457362
GSE143979	late_neuron_residual	MB05 AH	0.640212009955437	0.741672136941816	-0.10146012698637896
GSE143979	late_neuron_residual	MB05 MG	0.6398959750003137	0.7479339981150432	-0.10803802311472954
GSE143979	late_neuron_residual	MB07 MG	0.6792254164673249	0.7600076951673563	-0.0807822787000314
GSE143979	late_neuron_residual	MB09 AH	0.6712483895880031	0.7510006027139751	-0.07975221312597192
GSE143979	late_neuron_residual	MB09 MG	0.6577431027778824	0.7526260314612245	-0.09488292868334214
GSE143979	late_neuron_residual	MB10 AH	0.6778280088946705	0.7789718859507081	-0.10114387705603756
GSE143979	late_neuron_residual	MB10 MG	0.6531795221891927	0.7450347095159864	-0.09185518732679365
GSE143979	late_neuron_residual	MB11 AH	0.6671766677955229	0.7675778032230398	-0.10040113542751694
GSE143979	late_neuron_residual	MB12 AH	0.6819888744944784	0.7712017856620453	-0.08921291116756691
GSE143979	late_neuron_residual	MB12 MG	0.6569154988379949	0.7626098182328932	-0.10569431939489826
GSE143979	late_neuron_residual	MB14 MG	0.6483234244839963	0.7452152841968328	-0.09689185971283654
GSE143979	late_shared_concordant_neuronal_core	MB01 AH	0.6806073321304145	0.6099377420999318	0.07066959003048268
GSE143979	late_shared_concordant_neuronal_core	MB01 MG	0.6730525624439677	0.6177015202140316	0.05535104222993614
GSE143979	late_shared_concordant_neuronal_core	MB02 AH	0.6616755467038891	0.6098013415447795	0.051874205159109565
GSE143979	late_shared_concordant_neuronal_core	MB02 MG	0.6725950844880219	0.6145068290916519	0.05808825539636997
GSE143979	late_shared_concordant_neuronal_core	MB05 AH	0.6473235057138642	0.597667439971597	0.04965606574226722
GSE143979	late_shared_concordant_neuronal_core	MB05 MG	0.6533079557189709	0.5864699934253607	0.06683796229361028
GSE143979	late_shared_concordant_neuronal_core	MB07 MG	0.6990706459446884	0.6177738102975566	0.08129683564713175
GSE143979	late_shared_concordant_neuronal_core	MB09 AH	0.6876248311941806	0.5954932107010548	0.09213162049312584
GSE143979	late_shared_concordant_neuronal_core	MB09 MG	0.6871152220293012	0.6013022826422889	0.08581293938701229
GSE143979	late_shared_concordant_neuronal_core	MB10 AH	0.7061023303714297	0.64664209245968	0.0594602379117497
GSE143979	late_shared_concordant_neuronal_core	MB10 MG	0.6666758871526005	0.6040274198276445	0.06264846732495599
GSE143979	late_shared_concordant_neuronal_core	MB11 AH	0.6739012017839512	0.6244196344288263	0.04948156735512488
GSE143979	late_shared_concordant_neuronal_core	MB12 AH	0.6735891237984998	0.6116052775740245	0.06198384622447528
GSE143979	late_shared_concordant_neuronal_core	MB12 MG	0.6818226631033034	0.6164845266060666	0.06533813649723685
GSE143979	late_shared_concordant_neuronal_core	MB14 MG	0.6605116376717848	0.6026930377354236	0.05781859993636118
GSE143979	original_early_allcell	MB01 AH	0.7198098678216305	0.7147965133900139	0.005013354431616546
GSE143979	original_early_allcell	MB01 MG	0.7117816265336062	0.7183278384080949	-0.006546211874488672
GSE143979	original_early_allcell	MB02 AH	0.7155176859734794	0.7077077069284635	0.007809979045015902
GSE143979	original_early_allcell	MB02 MG	0.7253078897921453	0.7104495645993126	0.0148583251928327
GSE143979	original_early_allcell	MB05 AH	0.7285211413593611	0.6830771768166053	0.04544396454275579
GSE143979	original_early_allcell	MB05 MG	0.7305817549378265	0.6857266566358851	0.044855098301941454
GSE143979	original_early_allcell	MB07 MG	0.7211395279043786	0.7225566681031941	-0.0014171401988154475
GSE143979	original_early_allcell	MB09 AH	0.70365259894389	0.7248188356155852	-0.02116623667169526
GSE143979	original_early_allcell	MB09 MG	0.7172617271940654	0.7121032319377428	0.005158495256322615
GSE143979	original_early_allcell	MB10 AH	0.7576507420939214	0.7241894206808476	0.033461321413073786
GSE143979	original_early_allcell	MB10 MG	0.7272767619934295	0.695330268464568	0.031946493528861475
GSE143979	original_early_allcell	MB11 AH	0.7445782419116185	0.7060562711898185	0.03852197072179997
GSE143979	original_early_allcell	MB12 AH	0.7399414540575698	0.7156476351685179	0.02429381888905191
GSE143979	original_early_allcell	MB12 MG	0.7295451841170227	0.7055175733812286	0.02402761073579418
GSE143979	original_early_allcell	MB14 MG	0.716689649763669	0.6885874637650472	0.028102185998621798
GSE143979	original_late_allcell	MB01 AH	0.7056455771025051	0.6124419010477502	0.09320367605475488
GSE143979	original_late_allcell	MB01 MG	0.7060095365111506	0.6122906975899599	0.0937188389211907
GSE143979	original_late_allcell	MB02 AH	0.697423284323521	0.6095599357521747	0.08786334857134626
GSE143979	original_late_allcell	MB02 MG	0.6997658304950272	0.6071005387245801	0.09266529177044702
GSE143979	original_late_allcell	MB05 AH	0.6704613869485779	0.6099517053822587	0.060509681566319196
GSE143979	original_late_allcell	MB05 MG	0.681882072020198	0.6043009060196405	0.07758116600055753
GSE143979	original_late_allcell	MB07 MG	0.710650530877958	0.6125163615227707	0.09813416935518737
GSE143979	original_late_allcell	MB09 AH	0.7063230947083909	0.6060435550360501	0.10027953967234082
GSE143979	original_late_allcell	MB09 MG	0.6855557233128916	0.6110456961297637	0.07451002718312794
GSE143979	original_late_allcell	MB10 AH	0.7073259011899422	0.6233268660251541	0.08399903516478813
GSE143979	original_late_allcell	MB10 MG	0.682931221465834	0.6090637692898788	0.07386745217595514
GSE143979	original_late_allcell	MB11 AH	0.6890098838675172	0.6236815170069957	0.06532836686052146
GSE143979	original_late_allcell	MB12 AH	0.7095609223100975	0.6033484713305057	0.10621245097959175
GSE143979	original_late_allcell	MB12 MG	0.6927430026688218	0.6094837912936593	0.08325921137516257
GSE143979	original_late_allcell	MB14 MG	0.6815775924552618	0.611109525190912	0.07046806726434984
GSE143979	original_late_neuron	MB01 AH	0.6694852441472059	0.7213322543728018	-0.0518470102255959
GSE143979	original_late_neuron	MB01 MG	0.6650586312454472	0.7205164868835587	-0.055457855638111564
GSE143979	original_late_neuron	MB02 AH	0.6562451677723454	0.7161195177652172	-0.05987434999287178
GSE143979	original_late_neuron	MB02 MG	0.6615932012132448	0.7200727649342837	-0.05847956372103891
GSE143979	original_late_neuron	MB05 AH	0.6402737051708962	0.6986176074380415	-0.05834390226714525
GSE143979	original_late_neuron	MB05 MG	0.6407747625110354	0.7020945679984816	-0.0613198054874462
GSE143979	original_late_neuron	MB07 MG	0.6805945274039122	0.7191124490707514	-0.038517921666839205
