resource	comparison	module_id	block	removed_genes	remaining_up	remaining_down	delta_S_full	delta_S_after_block_removal	change_in_delta_S	status
GSE250152	Morton minus control	late_allcell_residual	black	68	1235	1575	0.01011632469980013	0.007833513465375605	-0.002282811234424526	COMPLETED
GSE250152	Morton minus control	late_allcell_residual	blue	145	1228	1505	0.01011632469980013	0.009418834240662616	-0.0006974904591375147	COMPLETED
GSE250152	Morton minus control	late_allcell_residual	brown	173	1243	1462	0.01011632469980013	0.007173807750479513	-0.002942516949320618	COMPLETED
GSE250152	Morton minus control	late_allcell_residual	green	61	1282	1535	0.01011632469980013	0.01005847476298756	-5.784993681257067e-05	COMPLETED
GSE250152	Morton minus control	late_allcell_residual	magenta	17	1281	1580	0.01011632469980013	0.01007160364493069	-4.472105486943989e-05	COMPLETED
GSE250152	Morton minus control	late_allcell_residual	pink	42	1259	1577	0.01011632469980013	0.009975446090810894	-0.0001408786089892363	COMPLETED
GSE250152	Morton minus control	late_allcell_residual	red	71	1287	1520	0.01011632469980013	0.010492367786658212	0.000376043086858081	COMPLETED
GSE250152	Morton minus control	late_allcell_residual	turquoise	164	1169	1545	0.01011632469980013	0.011170052654966128	0.0010537279551659975	COMPLETED
GSE250152	Morton minus control	late_allcell_residual	yellow	159	1187	1532	0.01011632469980013	0.012270539026583198	0.0021542143267830674	COMPLETED
GSE250152	Morton minus control	late_neuron_residual	black	5	83	182	-0.005789355877342544	-0.006073648716349237	-0.00028429283900669334	COMPLETED
GSE250152	Morton minus control	late_neuron_residual	blue	14	78	178	-0.005789355877342544	-0.008752619958336462	-0.0029632640809939183	COMPLETED
GSE250152	Morton minus control	late_neuron_residual	brown	26	82	162	-0.005789355877342544	-0.011360516531487359	-0.005571160654144815	COMPLETED
GSE250152	Morton minus control	late_neuron_residual	green	15	83	172	-0.005789355877342544	-0.005820440046928612	-3.108416958606808e-05	COMPLETED
GSE250152	Morton minus control	late_neuron_residual	magenta	1	84	185	-0.005789355877342544	-0.0056138214876308365	0.0001755343897117071	COMPLETED
GSE250152	Morton minus control	late_neuron_residual	pink	3	84	183	-0.005789355877342544	-0.005405580879501323	0.00038377499784122103	COMPLETED
GSE250152	Morton minus control	late_neuron_residual	red	9	81	180	-0.005789355877342544	-0.005870406256837097	-8.105037949455302e-05	COMPLETED
GSE250152	Morton minus control	late_neuron_residual	turquoise	31	76	163	-0.005789355877342544	-0.00443421654362398	0.0013551393337185632	COMPLETED
GSE250152	Morton minus control	late_neuron_residual	yellow	12	81	177	-0.005789355877342544	-0.0047166258096713555	0.0010727300676711881	COMPLETED
GSE250152	Morton minus control	late_shared_concordant_neuronal_core	black	4	44	76	0.033772511972327265	0.030993272431493198	-0.002779239540834068	COMPLETED
GSE250152	Morton minus control	late_shared_concordant_neuronal_core	blue	8	42	74	0.033772511972327265	0.030215302546793846	-0.0035572094255334197	COMPLETED
GSE250152	Morton minus control	late_shared_concordant_neuronal_core	brown	12	45	67	0.033772511972327265	0.027497155918417577	-0.0062753560539096885	COMPLETED
GSE250152	Morton minus control	late_shared_concordant_neuronal_core	green	4	47	73	0.033772511972327265	0.035673331550942766	0.0019008195786155008	COMPLETED
GSE250152	Morton minus control	late_shared_concordant_neuronal_core	magenta	1	46	77	0.033772511972327265	0.03391881761732219	0.00014630564499492488	COMPLETED
GSE250152	Morton minus control	late_shared_concordant_neuronal_core	pink	2	45	77	0.033772511972327265	0.034926076591696636	0.001153564619369371	COMPLETED
GSE250152	Morton minus control	late_shared_concordant_neuronal_core	red	2	47	75	0.033772511972327265	0.03387177420477697	9.926223244970112e-05	COMPLETED
GSE250152	Morton minus control	late_shared_concordant_neuronal_core	turquoise	11	41	72	0.033772511972327265	0.03668398596345579	0.0029114739911285242	COMPLETED
