program	symptom	n	status	beta_program	hc3_se	ci_low	ci_high	P	partial_R2	delta_adjusted_R2	model_version	BH_q	AIC_difference
P1	npsi_total	100	COMPLETED	0.0016799745893276	0.104566498610883	-0.205910771710985	0.20927072088964	0.987215360993936	2.74228224625643e-06	-0.0094234467252603	age_sex_bmi	0.998709160335763	NA
P1	average_pain_nrs	102	COMPLETED	-0.0879807923983521	0.110911547031651	-0.308109511388751	0.132147926592047	0.429567186850857	0.0068556731914693	-0.0032657621723074	age_sex_bmi	0.998709160335763	NA
P1	worst_pain_nrs	102	COMPLETED	-0.0279538119545344	0.111628309351648	-0.249505105740292	0.193597481831223	0.802793236060634	0.0007094045442923	-0.0090341813906355	age_sex_bmi	0.998709160335763	NA
P1	burning_superficial	100	COMPLETED	-0.0229327924929295	0.0922875908908976	-0.206146824920189	0.16028123993433	0.804289604769478	0.0005230406138525	-0.0087465351805344	age_sex_bmi	0.998709160335763	NA
P1	pressing_deep	100	COMPLETED	-0.0131459917556629	0.110627792468829	-0.232769927770004	0.206477944258678	0.905660301111564	0.0001626153422393	-0.009581263114989	age_sex_bmi	0.998709160335763	NA
P1	paroxysmal	100	COMPLETED	0.0607129936881863	0.107059159626462	-0.151826310394703	0.273252297771076	0.57198544425953	0.0033081963038136	-0.0069638637756682	age_sex_bmi	0.998709160335763	NA
P1	evoked	100	COMPLETED	-0.0522321554296902	0.112027448240297	-0.2746347594689	0.170170448609519	0.642108000246067	0.0025564857315206	-0.0073750870732927	age_sex_bmi	0.998709160335763	NA
P1	paresthesia_dysesthesia	100	COMPLETED	0.0582705936423454	0.103856160447426	-0.147909953106135	0.264451140390826	0.576070752739746	0.0031238905234607	-0.0069694426447582	age_sex_bmi	0.998709160335763	NA
P2	npsi_total	100	COMPLETED	-0.0029971495683632	0.103006497664242	-0.207490902423887	0.20149660328716	0.97684850310976	9.66369920498181e-06	-0.0094171836104568	age_sex_bmi	0.998709160335763	NA
P2	average_pain_nrs	102	COMPLETED	0.0017367261300582	0.112793498575613	-0.222127145724596	0.225600597984712	0.987746766783368	2.96753376438358e-06	-0.0099493276058534	age_sex_bmi	0.998709160335763	NA
P2	worst_pain_nrs	102	COMPLETED	0.0241464809336749	0.125307026143583	-0.224553279223955	0.272846241091305	0.847597947308484	0.0005880011882632	-0.009149696634555	age_sex_bmi	0.998709160335763	NA
P2	burning_superficial	100	COMPLETED	-0.0459218796338934	0.0753815289978453	-0.195573135722644	0.103729376454858	0.543850833605097	0.002322098759765	-0.0071560641761674	age_sex_bmi	0.998709160335763	NA
P2	pressing_deep	100	COMPLETED	-0.0330771310222277	0.101267810939662	-0.234119154312997	0.167964892268541	0.744666082367485	0.001139856861603	-0.0086681403084345	age_sex_bmi	0.998709160335763	NA
P2	paroxysmal	100	COMPLETED	-0.0193117217075173	0.114477189145944	-0.246577676337992	0.207954232922957	0.866395258073015	0.0003705866833819	-0.0098417140273456	age_sex_bmi	0.998709160335763	NA
P2	evoked	100	COMPLETED	0.0524091030256368	0.121224509774886	-0.188251976654417	0.293070182705691	0.666480703557355	0.0028497107157686	-0.0070999585732317	age_sex_bmi	0.998709160335763	NA
P2	paresthesia_dysesthesia	100	COMPLETED	-0.0139303959899647	0.11256683081416	-0.23740380982521	0.209543017845281	0.901772914765863	0.0001976713321018	-0.009765924590686	age_sex_bmi	0.998709160335763	NA
P3	npsi_total	100	COMPLETED	0.14096396084471	0.114603771381592	-0.08655329129611	0.368481212985531	0.221730077246888	0.0200190671081338	0.0086891075500947	age_sex_bmi	0.998709160335763	NA
P3	average_pain_nrs	102	COMPLETED	0.0956256979305989	0.104470690464856	-0.11171970369389	0.302971099555088	0.36228560510841	0.0086080694160565	-0.0015566190370903	age_sex_bmi	0.998709160335763	NA
P3	worst_pain_nrs	102	COMPLETED	0.0709916806042074	0.107303611074428	-0.141976284238236	0.283959645446651	0.509798502443536	0.0048630525064106	-0.0050819870428551	age_sex_bmi	0.998709160335763	NA
P3	burning_superficial	100	COMPLETED	0.102729839050154	0.113545694778379	-0.122686865452352	0.328146543552659	0.367889515828279	0.0108826751672799	0.0004119783508377	age_sex_bmi	0.998709160335763	NA
P3	pressing_deep	100	COMPLETED	0.0833039263181935	0.117062166935309	-0.149093858062656	0.315701710699043	0.478443153694692	0.0067705924018322	-0.0034068482556693	age_sex_bmi	0.998709160335763	NA
P3	paroxysmal	100	COMPLETED	0.0618715088267358	0.11588619238017	-0.168191670888427	0.291934688541899	0.594658593149022	0.0035622985239466	-0.0067149307203446	age_sex_bmi	0.998709160335763	NA
P3	evoked	100	COMPLETED	0.15002554844644	0.103198059626359	-0.0548485029866083	0.354899599879489	0.149307638898519	0.0218684924008585	0.0107450722362119	age_sex_bmi	0.998709160335763	NA
P3	paresthesia_dysesthesia	100	COMPLETED	0.115799550935811	0.132489608051907	-0.147225576403288	0.378824678274909	0.384307462465853	0.0127917979692827	0.0022698271635247	age_sex_bmi	0.998709160335763	NA
P4	npsi_total	100	COMPLETED	-0.0193886212406353	0.100250366116889	-0.218410761175983	0.179633518694713	0.847057053296003	0.0003769473783684	-0.0090848326104023	age_sex_bmi	0.998709160335763	NA
P4	average_pain_nrs	102	COMPLETED	0.0180406903847319	0.107145396045674	-0.194613261421769	0.230694642191233	0.866638241266316	0.0002978146592266	-0.0096617579721417	age_sex_bmi	0.998709160335763	NA
P4	worst_pain_nrs	102	COMPLETED	0.0254990343552434	0.104054231249862	-0.181019811009218	0.232017879719705	0.806931348260757	0.0006098524205087	-0.0091289051959544	age_sex_bmi	0.998709160335763	NA
P4	burning_superficial	100	COMPLETED	-0.0172581154480597	0.0960515599993206	-0.20794457132498	0.17342834042886	0.857789986166395	0.0003056950576508	-0.0089386811686184	age_sex_bmi	0.998709160335763	NA
P4	pressing_deep	100	COMPLETED	-0.0546845836291745	0.111100745361276	-0.275247449847857	0.165878282589508	0.62370843659395	0.0029039208376988	-0.0070198199936744	age_sex_bmi	0.998709160335763	NA
P4	paroxysmal	100	COMPLETED	0.0101050355583846	0.106966620179828	-0.202250554495211	0.22246062561198	0.924935531124182	9.45766257941472e-05	-0.010112109252147	age_sex_bmi	0.998709160335763	NA
P4	evoked	100	COMPLETED	-0.0277217710945574	0.113737901397632	-0.253520053980815	0.1980765117917	0.807962562265834	0.000743172397287	-0.0090764911302065	age_sex_bmi	0.998709160335763	NA
P4	paresthesia_dysesthesia	100	COMPLETED	0.0290766288578801	0.100884477669307	-0.17120438167324	0.229357639389	0.773808462397423	0.0008027220151208	-0.0091876995156708	age_sex_bmi	0.998709160335763	NA
P5	npsi_total	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	age_sex_bmi	NA	NA
P5	average_pain_nrs	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	age_sex_bmi	NA	NA
P5	worst_pain_nrs	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	age_sex_bmi	NA	NA
P5	burning_superficial	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	age_sex_bmi	NA	NA
P5	pressing_deep	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	age_sex_bmi	NA	NA
P5	paroxysmal	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	age_sex_bmi	NA	NA
P5	evoked	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	age_sex_bmi	NA	NA
P5	paresthesia_dysesthesia	0	NE_LOW_N	NA	NA	NA	NA	NA	NA	NA	age_sex_bmi	NA	NA
P6	npsi_total	100	COMPLETED	0.0437232317266936	0.110507252753468	-0.175661402696765	0.263107866150152	0.693243458567007	0.0020950936394379	-0.0075301007763959	age_sex_bmi	0.998709160335763	NA
P6	average_pain_nrs	102	COMPLETED	0.0001699464315934	0.10477563981921	-0.207780695247042	0.208120588110229	0.998709160335763	2.9467472402882e-08	-0.0099521931540457	age_sex_bmi	0.998709160335763	NA
