program	symptom	n	rho	P	status	BH_q
P1	npsi_total	95	0.165917477018763	0.1080732262195	COMPLETED	0.712231324872718
P1	average_pain_nrs	101	0.0514275592060802	0.609529282778789	COMPLETED	0.861163063368284
P1	worst_pain_nrs	101	0.0477620662715033	0.635286754464884	COMPLETED	0.861163063368284
P1	burning_superficial	95	0.228060107396785	0.0262287334424947	COMPLETED	0.547846016473327
P1	pressing_deep	95	0.15092302271196	0.144312441174793	COMPLETED	0.712231324872718
P1	paroxysmal	95	-0.0275250276996305	0.791179422164466	COMPLETED	0.873025569284928
P1	evoked	95	0.0741039881596812	0.475414686385045	COMPLETED	0.861163063368284
P1	paresthesia_dysesthesia	95	0.151419154707014	0.142982619287665	COMPLETED	0.712231324872718
P2	npsi_total	95	-0.046023614806057	0.657853209585733	COMPLETED	0.861163063368284
P2	average_pain_nrs	101	-0.0801389007453986	0.425658076540324	COMPLETED	0.861163063368284
P2	worst_pain_nrs	101	-0.0680134620216553	0.49916640258236	COMPLETED	0.861163063368284
P2	burning_superficial	95	-0.0949878598806884	0.359853973653636	COMPLETED	0.861163063368284
P2	pressing_deep	95	-0.0340125049787246	0.743502296300546	COMPLETED	0.861163063368284
P2	paroxysmal	95	0.0380164411169264	0.714540122478654	COMPLETED	0.861163063368284
P2	evoked	95	0.0119418569911194	0.908557643753352	COMPLETED	0.964853881176869
P2	paresthesia_dysesthesia	95	-0.0358864802590208	0.729899713785041	COMPLETED	0.861163063368284
P3	npsi_total	95	-0.0685837984216231	0.50899651381662	COMPLETED	0.861163063368284
P3	average_pain_nrs	101	0.0027499499201619	0.978226278361936	COMPLETED	0.988558757500802
P3	worst_pain_nrs	101	-0.0211078270433833	0.834047077114202	COMPLETED	0.904729032801846
P3	burning_superficial	95	-0.116668408616412	0.260191238010216	COMPLETED	0.861163063368284
P3	pressing_deep	95	-0.068805210009658	0.507626434679104	COMPLETED	0.861163063368284
P3	paroxysmal	95	0.0629203722293825	0.54467814773704	COMPLETED	0.861163063368284
P3	evoked	95	-0.0308357809629844	0.766739987645624	COMPLETED	0.861163063368284
P3	paresthesia_dysesthesia	95	-0.0925878220355656	0.372174963447481	COMPLETED	0.861163063368284
P4	npsi_total	95	0.18773545720067	0.0684807520591659	COMPLETED	0.547846016473327
P4	average_pain_nrs	101	0.0582616508508896	0.562773994002493	COMPLETED	0.861163063368284
P4	worst_pain_nrs	101	0.0502090128235931	0.618041345598939	COMPLETED	0.861163063368284
P4	burning_superficial	95	0.244329372488571	0.0170240895355936	COMPLETED	0.544770865138994
P4	pressing_deep	95	0.161171055830162	0.118683160483775	COMPLETED	0.712231324872718
P4	paroxysmal	95	-0.03343479239082	0.747711882938001	COMPLETED	0.861163063368284
P4	evoked	95	0.098821669854328	0.34070244582943	COMPLETED	0.861163063368284
P4	paresthesia_dysesthesia	95	0.215740661929353	0.0357519436381878	COMPLETED	0.547846016473327
P5	npsi_total	0	NA	NA	NE	NA
P5	average_pain_nrs	0	NA	NA	NE	NA
P5	worst_pain_nrs	0	NA	NA	NE	NA
P5	burning_superficial	0	NA	NA	NE	NA
P5	pressing_deep	0	NA	NA	NE	NA
P5	paroxysmal	0	NA	NA	NE	NA
P5	evoked	0	NA	NA	NE	NA
P5	paresthesia_dysesthesia	0	NA	NA	NE	NA
P6	npsi_total	95	-0.0848562586086422	0.413583593870489	COMPLETED	0.861163063368284
P6	average_pain_nrs	101	-0.0812808291020761	0.419071766569931	COMPLETED	0.861163063368284
P6	worst_pain_nrs	101	-0.07420656722373	0.460817324983972	COMPLETED	0.861163063368284
P6	burning_superficial	95	-0.191165635536483	0.0634906885123464	COMPLETED	0.547846016473327
P6	pressing_deep	95	0.0497711402674827	0.631949934158783	COMPLETED	0.861163063368284
P6	paroxysmal	95	-0.0478192018115868	0.645389036942763	COMPLETED	0.861163063368284
P6	evoked	95	-0.0080173030503759	0.938536232662147	COMPLETED	0.968811595006087
P6	paresthesia_dysesthesia	95	-0.0847778554209188	0.414016784481875	COMPLETED	0.861163063368284
P7	npsi_total	95	-0.0899676596140311	0.385915810567956	COMPLETED	0.861163063368284
P7	average_pain_nrs	101	0.0437894567795286	0.663700722760543	COMPLETED	0.861163063368284
P7	worst_pain_nrs	101	-0.0014448636783767	0.988558757500802	COMPLETED	0.988558757500802
P7	burning_superficial	95	-0.0723157146657094	0.486160789018865	COMPLETED	0.861163063368284
P7	pressing_deep	95	-0.146445658448383	0.156738284286701	COMPLETED	0.716517871024917
P7	paroxysmal	95	0.0755620686377653	0.466748561255442	COMPLETED	0.861163063368284
P7	evoked	95	-0.063879123517637	0.538552788703071	COMPLETED	0.861163063368284
P7	paresthesia_dysesthesia	95	-0.118478107401672	0.252819687011442	COMPLETED	0.861163063368284
P8	npsi_total	95	-0.0423616110720592	0.683562203042933	COMPLETED	0.861163063368284
P8	average_pain_nrs	101	-0.0747147410511808	0.457744307188247	COMPLETED	0.861163063368284
P8	worst_pain_nrs	101	-0.0646751277970186	0.520509789549512	COMPLETED	0.861163063368284
P8	burning_superficial	95	-0.0859005864315106	0.407838728929101	COMPLETED	0.861163063368284
P8	pressing_deep	95	-0.03473647439654	0.738237631252898	COMPLETED	0.861163063368284
P8	paroxysmal	95	0.0397240187863189	0.702307714854275	COMPLETED	0.861163063368284
P8	evoked	95	0.0104911736594517	0.919626355496703	COMPLETED	0.964853881176869
P8	paresthesia_dysesthesia	95	-0.0308040267375179	0.766973353312378	COMPLETED	0.861163063368284
P9	npsi_total	0	NA	NA	NE	NA
P9	average_pain_nrs	0	NA	NA	NE	NA
P9	worst_pain_nrs	0	NA	NA	NE	NA
P9	burning_superficial	0	NA	NA	NE	NA
P9	pressing_deep	0	NA	NA	NE	NA
P9	paroxysmal	0	NA	NA	NE	NA
P9	evoked	0	NA	NA	NE	NA
P9	paresthesia_dysesthesia	0	NA	NA	NE	NA
