program	symptom	n_paired	status	beta_delta_program	hc3_se	ci_low	ci_high	P	partial_R2	delta_adjusted_R2	model_version	BH_q
P1	npsi_total	95	COMPLETED	0.252566636909629	0.0961636453087946	0.0614309791060753	0.443702294713184	0.0101950819188185	0.0681469437319904	0.0521114705490126	baseline_symptom_treatment_age_sex_bmi	0.059229683969247
P1	average_pain_nrs	101	COMPLETED	0.0384069840460064	0.112692316651384	-0.185377622823146	0.262191590915159	0.73401323126144	0.001394170105743	-0.0095037051278883	baseline_symptom_treatment_age_sex_bmi	0.902197686866486
P1	worst_pain_nrs	101	COMPLETED	0.0692065102080437	0.113739882688263	-0.15665835519779	0.295071375613877	0.544363708633365	0.0045486612306929	-0.006233371383626	baseline_symptom_treatment_age_sex_bmi	0.86821110685268
P1	burning_superficial	95	COMPLETED	0.276516610610893	0.0850000498100863	0.107569807672882	0.445463413548904	0.0016257154184759	0.103735061601056	0.0669796153170586	baseline_symptom_treatment_age_sex_bmi	0.0230634689994652
P1	pressing_deep	95	COMPLETED	0.284130029434173	0.0825228871991173	0.120106855416567	0.44815320345178	0.0008866283397025	0.108540032671231	0.0711155155411081	baseline_symptom_treatment_age_sex_bmi	0.0230634689994652
P1	paroxysmal	95	COMPLETED	0.0822725361021241	0.114988694347632	-0.146279945072344	0.310825017276592	0.476226049469625	0.0078100973934401	-0.0029450529461773	baseline_symptom_treatment_age_sex_bmi	0.846624087946
P1	evoked	95	COMPLETED	0.142055369895175	0.087191997334673	-0.0312481660955136	0.315358905885863	0.10688121585156	0.0246415237899596	0.0107024256745025	baseline_symptom_treatment_age_sex_bmi	0.402376342029403
P1	paresthesia_dysesthesia	95	COMPLETED	0.237768734133285	0.0904860059791566	0.0579179992811951	0.417619468985375	0.0101602271795281	0.062976018674038	0.0456099407372317	baseline_symptom_treatment_age_sex_bmi	0.059229683969247
P2	npsi_total	95	COMPLETED	-0.103669561119116	0.0947991301681169	-0.292093097328706	0.0847539750904733	0.277161942332056	0.0119349385566349	0.0005242984036121	baseline_symptom_treatment_age_sex_bmi	0.56932349651869
P2	average_pain_nrs	101	COMPLETED	-0.0351121207444303	0.116979167382238	-0.267409563572742	0.197185322083881	0.764727275425392	0.0012259203291643	-0.0096766793992102	baseline_symptom_treatment_age_sex_bmi	0.902197686866486
P2	worst_pain_nrs	101	COMPLETED	-0.0420611533587547	0.127161199341487	-0.294578093725471	0.210455787007962	0.741562034848584	0.0017398385898096	-0.0091084911488386	baseline_symptom_treatment_age_sex_bmi	0.902197686866486
