family	program	symptom	n	max_cooks_D	n_cooks_gt_4_over_n
longitudinal_HC3	P1	npsi_total	95	0.0714559392952426	3
longitudinal_HC3	P1	burning_superficial	95	0.1630852293640233	5
longitudinal_HC3	P1	pressing_deep	95	0.12924898983058902	5
longitudinal_HC3	P1	paresthesia_dysesthesia	95	0.0971316905981669	5
longitudinal_HC3	P4	npsi_total	95	0.05829385180070962	3
longitudinal_HC3	P4	burning_superficial	95	0.15211100727010865	6
longitudinal_HC3	P4	pressing_deep	95	0.11576804564624293	5
longitudinal_HC3	P4	paresthesia_dysesthesia	95	0.07469059973492327	3
longitudinal_HC3	P10	npsi_total	95	0.05843266207972244	3
longitudinal_HC3	P10	burning_superficial	95	0.15724421697329505	5
longitudinal_HC3	P10	pressing_deep	95	0.1212034376707451	5
longitudinal_HC3	P10	paresthesia_dysesthesia	95	0.07645982869741161	5
