program	symptom	n	term	beta	hc3_se	ci_low	ci_high	P	status	BH_q_pairwise
P1	npsi_total	95	treatmentAZD2423 150 mg:xb_z	-0.208712693908197	0.218105604184545	-0.642365067149257	0.224939679332863	0.341314360037801	COMPLETED	0.948517192714509
P1	npsi_total	95	treatmentAZD2423 20 mg:xb_z	-0.214665272815671	0.25209878232433	-0.715905191225221	0.28657464559388	0.396877335299799	COMPLETED	0.948517192714509
P1	average_pain_nrs	101	treatmentAZD2423 150 mg:xb_z	-0.278163306126266	0.231165923979105	-0.737346016398431	0.181019404145898	0.231979118735585	COMPLETED	0.948517192714509
P1	average_pain_nrs	101	treatmentAZD2423 20 mg:xb_z	-0.101849287506199	0.227652233205819	-0.554052482698617	0.350353907686218	0.655656768130999	COMPLETED	0.948517192714509
P1	worst_pain_nrs	101	treatmentAZD2423 150 mg:xb_z	-0.210305703378877	0.2451829988508	-0.697331610947952	0.276720204190198	0.393284030528322	COMPLETED	0.948517192714509
P1	worst_pain_nrs	101	treatmentAZD2423 20 mg:xb_z	-0.145186663924604	0.246078379481535	-0.63399113512308	0.343617807273872	0.556651725560275	COMPLETED	0.948517192714509
P1	burning_superficial	95	treatmentAZD2423 150 mg:xb_z	-0.23147053223426	0.255032558857027	-0.738543584371482	0.275602519902963	0.366649415846723	COMPLETED	0.948517192714509
P1	burning_superficial	95	treatmentAZD2423 20 mg:xb_z	-0.226331790920106	0.275283324607048	-0.773668790699934	0.321005208859722	0.413276209462612	COMPLETED	0.948517192714509
P1	pressing_deep	95	treatmentAZD2423 150 mg:xb_z	0.0972019156442605	0.225706778674774	-0.351563628894858	0.545967460183379	0.667808785284684	COMPLETED	0.948517192714509
P1	pressing_deep	95	treatmentAZD2423 20 mg:xb_z	0.108640070287916	0.254902764174358	-0.398174915247194	0.615455055823026	0.67103803419501	COMPLETED	0.948517192714509
P1	paroxysmal	95	treatmentAZD2423 150 mg:xb_z	-0.173522338805717	0.259206410279657	-0.688894125777132	0.341849448165699	0.505031178039276	COMPLETED	0.948517192714509
P1	paroxysmal	95	treatmentAZD2423 20 mg:xb_z	-0.359486805225679	0.239310407826133	-0.835300009031666	0.116326398580308	0.136757255403414	COMPLETED	0.948517192714509
P1	evoked	95	treatmentAZD2423 150 mg:xb_z	-0.211213149762555	0.23697320679173	-0.682379371758516	0.259953072233405	0.375286737326957	COMPLETED	0.948517192714509
P1	evoked	95	treatmentAZD2423 20 mg:xb_z	-0.279029856051594	0.257188661418109	-0.790389817716245	0.232330105613056	0.281023381173965	COMPLETED	0.948517192714509
P1	paresthesia_dysesthesia	95	treatmentAZD2423 150 mg:xb_z	-0.13467163677126	0.267278465283467	-0.666092831654142	0.396749558111622	0.615661357581749	COMPLETED	0.948517192714509
P1	paresthesia_dysesthesia	95	treatmentAZD2423 20 mg:xb_z	-0.161631673728612	0.269255121732921	-0.696982991194052	0.373719643736828	0.549908854102046	COMPLETED	0.948517192714509
P2	npsi_total	95	treatmentAZD2423 150 mg:xb_z	0.240955409807404	0.290364785951623	-0.336367575561702	0.818278395176509	0.408955574594835	COMPLETED	0.948517192714509
P2	npsi_total	95	treatmentAZD2423 20 mg:xb_z	0.1462626464207	0.27905718811789	-0.408577805064934	0.701103097906335	0.601551214825747	COMPLETED	0.948517192714509
P2	average_pain_nrs	101	treatmentAZD2423 150 mg:xb_z	0.248975125977115	0.343928262933938	-0.434196118273738	0.932146370227968	0.470974323742853	COMPLETED	0.948517192714509
P2	average_pain_nrs	101	treatmentAZD2423 20 mg:xb_z	0.108282562153882	0.305566473157972	-0.498687699283383	0.715252823591148	0.723883980133917	COMPLETED	0.959756822463525
P2	worst_pain_nrs	101	treatmentAZD2423 150 mg:xb_z	0.319539940729776	0.342252342966782	-0.360302294385685	0.999382175845237	0.352961168196182	COMPLETED	0.948517192714509
P2	worst_pain_nrs	101	treatmentAZD2423 20 mg:xb_z	0.158454485494775	0.31587954257817	-0.469001421430704	0.785910392420254	0.617139654239062	COMPLETED	0.948517192714509
