score	n_regions	n	effect_painful_minus_painless	hc3_se	ci_low	ci_high	P	family	status	BH_q
global_all_167	167	92	-0.04027544700822157	0.10544148335939242	-0.24693695686911016	0.166386062852667	0.7024838730292848	global_separate	COMPLETED_EXPLORATORY	
P1	2	92						program_linked	NOT_EVALUABLE_LT5_REGIONS	
P2	27	92	-0.05420021969329143	0.10584383292018075	-0.26165032020252066	0.15324988081593777	0.6085969405198082	program_linked	COMPLETED_EXPLORATORY	0.6085969405198082
P3	4	92						program_linked	NOT_EVALUABLE_LT5_REGIONS	
P4	3	92						program_linked	NOT_EVALUABLE_LT5_REGIONS	
P5	0	92						program_linked	NOT_EVALUABLE_LT5_REGIONS	
P6	2	92						program_linked	NOT_EVALUABLE_LT5_REGIONS	
P7	2	92						program_linked	NOT_EVALUABLE_LT5_REGIONS	
P8	25	92	-0.06028303855360743	0.11309139675960088	-0.28193810316375495	0.16137202605654008	0.5940009920948317	program_linked	COMPLETED_EXPLORATORY	0.6085969405198082
P9	0	92						program_linked	NOT_EVALUABLE_LT5_REGIONS	
P10	3	92						program_linked	NOT_EVALUABLE_LT5_REGIONS	
