program	module_id	RNA_status	RRBS_promoter_loci	RRBS_promoter_median_effect	RRBS_enrichment_status	RRBS_q	directions_compatible	participants_independent	RNA_ordinal_rho	RNA_ordinal_q	RNA_n	RNA_ordinal_status	RNA_extreme_Hedges_g	RNA_extreme_q	RNA_extreme_n	RNA_extreme_status
P8	late_allcell_residual	REUSED_CORRECTED	140640	0.0	NOT_EVALUABLE_UNEQUAL_LOCUS_REPRESENTATION		NOT_INVERSE_HEURISTIC	UNKNOWN_NOT_ASSUMED	0.03093858924273	0.7899021009789902	77	COMPLETED	-0.0053724749066637	0.985710142898571	49	COMPLETED
P7	late_neuron_residual	REUSED_CORRECTED	13560	0.0	NOT_EVALUABLE_UNEQUAL_LOCUS_REPRESENTATION		NOT_INVERSE_HEURISTIC	UNKNOWN_NOT_ASSUMED	-0.0335924637150184	0.7899021009789902	77	COMPLETED	-0.1273752056823179	0.8398973153125612	49	COMPLETED
P6	late_shared_concordant_neuronal_core	REUSED_CORRECTED	5322	0.0	NOT_EVALUABLE_UNEQUAL_LOCUS_REPRESENTATION		NOT_INVERSE_HEURISTIC	UNKNOWN_NOT_ASSUMED	-0.051750552209623	0.7899021009789902	77	COMPLETED	-0.2230269456445943	0.8398973153125612	49	COMPLETED
P1	original_early_allcell	REUSED_CORRECTED	27853	0.0	NOT_EVALUABLE_UNEQUAL_LOCUS_REPRESENTATION		NOT_INVERSE_HEURISTIC	UNKNOWN_NOT_ASSUMED	0.1845839534278456	0.7899021009789902	77	COMPLETED	0.3841328881817097	0.8398973153125612	49	COMPLETED
P2	original_late_allcell	REUSED_CORRECTED	147835	0.0	NOT_EVALUABLE_UNEQUAL_LOCUS_REPRESENTATION		NOT_INVERSE_HEURISTIC	UNKNOWN_NOT_ASSUMED	0.0377827918291579	0.7899021009789902	77	COMPLETED	-0.0123123634137247	0.985710142898571	49	COMPLETED
P3	original_late_neuron	REUSED_CORRECTED	19851	0.0	NOT_EVALUABLE_UNEQUAL_LOCUS_REPRESENTATION		NOT_INVERSE_HEURISTIC	UNKNOWN_NOT_ASSUMED	-0.0676039602414508	0.7899021009789902	77	COMPLETED	-0.2106095505681533	0.8398973153125612	49	COMPLETED
P4	original_severity	REUSED_CORRECTED	21052	0.0	NOT_EVALUABLE_UNEQUAL_LOCUS_REPRESENTATION		NOT_INVERSE_HEURISTIC	UNKNOWN_NOT_ASSUMED	-0.0861810815474693	0.7899021009789902	77	COMPLETED	-0.1548652939323531	0.8398973153125612	49	COMPLETED
P5	original_xenium	REUSED_CORRECTED	2396	0.0491397976875305	NOT_EVALUABLE_UNEQUAL_LOCUS_REPRESENTATION		NOT_INVERSE_HEURISTIC	UNKNOWN_NOT_ASSUMED	0.1073422385238738	0.7899021009789902	77	COMPLETED	0.3237876381871321	0.8398973153125612	49	COMPLETED
P10	severity_neuron_residual	REUSED_CORRECTED	17702	0.0	NOT_EVALUABLE_UNEQUAL_LOCUS_REPRESENTATION		NOT_INVERSE_HEURISTIC	UNKNOWN_NOT_ASSUMED	-0.0872985023779065	0.7899021009789902	77	COMPLETED	-0.1580249544323717	0.8398973153125612	49	COMPLETED
P9	severity_neuron_shared_concordant_core	REUSED_CORRECTED	788	0.0	NOT_EVALUABLE_UNEQUAL_LOCUS_REPRESENTATION		NOT_EVALUABLE	UNKNOWN_NOT_ASSUMED			0	NOT_EVALUABLE			0	NOT_EVALUABLE
