status	status_reason	n_total	n_positive	n_negative	positive_mean	negative_mean	mean_difference	mean_difference_ci_low	mean_difference_ci_high	effect_type	effect	effect_ci_low	effect_ci_high	permutation_one_sided_p	permutation_two_sided_p	permutation_iterations	bootstrap_iterations	loo_all_positive	loo_min_effect	loo_max_effect	cohort	mapping_set	module_id	module_display	test_family	endpoint	positive_direction	permutation_one_sided_bh_q	permutation_two_sided_bh_q	version
COMPLETED		77								Spearman_rho	0.03093858924273	-0.1998158890733456	0.2534683891412255	0.3966260337396626	0.7899021009789902	100000	5000	True	0.0039507016690986	0.0591443279285655	GSE148059	primary_unambiguous	late_allcell_residual	Late all-cell residual	GSE148059_dMFD_ordinal	Regenerator < Intermediate < Degenerator	positive rho with degeneration order	0.7766222337776623	0.7899021009789902	repaired_statfree
COMPLETED		49	22.0	27.0	0.0633070597301449	0.0633358871224785	-2.882739233364684e-05	-0.0028304339783462	0.0027859970176874	Hedges_g	-0.0053724749066637	-0.5330679240431414	0.5742880101942887	0.5072549274507255	0.9857101428985712	100000	5000	False	-0.0004640673601682	0.0004326859721314	GSE148059	primary_unambiguous	late_allcell_residual	Late all-cell residual	GSE148059_Degenerator_vs_Regenerator	Degenerator vs Regenerator	higher in Degenerator	0.7832821671783282	0.985710142898571	repaired_statfree
COMPLETED		77								Spearman_rho	-0.0335924637150184	-0.2693900798383246	0.2035994579600157	0.6145538544614554	0.7722822771772282	100000	5000	False	-0.0620783049034109	-0.006884678643944	GSE148059	primary_unambiguous	late_neuron_residual	Late neuron residual	GSE148059_dMFD_ordinal	Regenerator < Intermediate < Degenerator	positive rho with degeneration order	0.7766222337776623	0.7899021009789902	repaired_statfree
COMPLETED		49	22.0	27.0	-0.1563224575936816	-0.1556648323592641	-0.0006576252344175	-0.0032778237993901	0.0018642850815388	Hedges_g	-0.1273752056823179	-0.6621564902419343	0.3905952583220563	0.6749332506674933	0.6532534674653253	100000	5000	False	-0.0011211768976476	-0.0001506899051277	GSE148059	primary_unambiguous	late_neuron_residual	Late neuron residual	GSE148059_Degenerator_vs_Regenerator	Degenerator vs Regenerator	higher in Degenerator	0.7832821671783282	0.8398973153125612	repaired_statfree
COMPLETED		77								Spearman_rho	-0.051750552209623	-0.2821112242401551	0.1796943569565357	0.6732232677673223	0.6545134548654513	100000	5000	False	-0.0797402653064403	-0.0225776785191548	GSE148059	primary_unambiguous	late_shared_concordant_neuronal_core	Late shared neuronal core	GSE148059_dMFD_ordinal	Regenerator < Intermediate < Degenerator	positive rho with degeneration order	0.7766222337776623	0.7899021009789902	repaired_statfree
COMPLETED		49	22.0	27.0	0.0827982455021846	0.0843623641194747	-0.0015641186172901	-0.005290324275218	0.002091615562412	Hedges_g	-0.2230269456445943	-0.7498735374214927	0.3345658069701398	0.7832821671783282	0.4330956690433096	100000	5000	False	-0.0020276643646926	-0.0008436762692446	GSE148059	primary_unambiguous	late_shared_concordant_neuronal_core	Late shared neuronal core	GSE148059_Degenerator_vs_Regenerator	Degenerator vs Regenerator	higher in Degenerator	0.7832821671783282	0.8398973153125612	repaired_statfree
COMPLETED		77								Spearman_rho	0.1845839534278456	-0.0513546505978458	0.4086142661392665	0.0538594614053859	0.1079589204107959	100000	5000	True	0.1633440844510433	0.2177533802320862	GSE148059	primary_unambiguous	original_early_allcell	Original early all-cell	GSE148059_dMFD_ordinal	Regenerator < Intermediate < Degenerator	positive rho with degeneration order	0.4847351526484735	0.7899021009789902	repaired_statfree
COMPLETED		49	22.0	27.0	0.0466724273754937	0.0437661718491086	0.002906255526385	-0.0011514144206419	0.0068137404116795	Hedges_g	0.3841328881817097	-0.1506579162493789	1.022820223179987	0.0890991090089099	0.1786882131178688	100000	5000	True	0.0024268180475136	0.0036053380047286	GSE148059	primary_unambiguous	original_early_allcell	Original early all-cell	GSE148059_Degenerator_vs_Regenerator	Degenerator vs Regenerator	higher in Degenerator	0.5837791622083779	0.8398973153125612	repaired_statfree
COMPLETED		77								Spearman_rho	0.0377827918291579	-0.1924592860610078	0.2670676382414786	0.3722262777372226	0.7434225657743423	100000	5000	True	0.0109515774209573	0.0661452036804242	GSE148059	primary_unambiguous	original_late_allcell	Original late all-cell	GSE148059_dMFD_ordinal	Regenerator < Intermediate < Degenerator	positive rho with degeneration order	0.7766222337776623	0.7899021009789902	repaired_statfree
COMPLETED		49	22.0	27.0	0.064099057327337	0.0641650245590268	-6.596723168982022e-05	-0.0028754950887311	0.0027181900960342	Hedges_g	-0.0123123634137247	-0.5424481272163315	0.5676169975105497	0.5165148348516515	0.966290337096629	100000	5000	False	-0.0004976786873133	0.0003883993987473	GSE148059	primary_unambiguous	original_late_allcell	Original late all-cell	GSE148059_Degenerator_vs_Regenerator	Degenerator vs Regenerator	higher in Degenerator	0.7832821671783282	0.985710142898571	repaired_statfree
COMPLETED		77								Spearman_rho	-0.0676039602414508	-0.312902864867926	0.1746698835393254	0.7203927960720393	0.5591844081559184	100000	5000	False	-0.095543071982835	-0.0395000338290686	GSE148059	primary_unambiguous	original_late_neuron	Original late neuron	GSE148059_dMFD_ordinal	Regenerator < Intermediate < Degenerator	positive rho with degeneration order	0.7766222337776623	0.7899021009789902	repaired_statfree
COMPLETED		49	22.0	27.0	-0.0854390928053197	-0.0844991746429719	-0.0009399181623477	-0.0032201258100838	0.0014034729838307	Hedges_g	-0.2106095505681533	-0.7240481595748015	0.3448185007726041	0.7679823201767982	0.4619553804461955	100000	5000	False	-0.0012945591915228	-0.0004708136147907	GSE148059	primary_unambiguous	original_late_neuron	Original late neuron	GSE148059_Degenerator_vs_Regenerator	Degenerator vs Regenerator	higher in Degenerator	0.7832821671783282	0.8398973153125612	repaired_statfree
COMPLETED		77								Spearman_rho	-0.0861810815474693	-0.2783252161298526	0.1102875287891102	0.7734622653773462	0.4549354506454935	100000	5000	False	-0.1160722377958352	-0.0639385899080765	GSE148059	primary_unambiguous	original_severity	Original neuron severity	GSE148059_dMFD_ordinal	Regenerator < Intermediate < Degenerator	positive rho with degeneration order	0.7766222337776623	0.7899021009789902	repaired_statfree
COMPLETED		49	22.0	27.0	0.0103936930067037	0.0109074009034714	-0.0005137078967676	-0.0022572746698333	0.0012753681350602	Hedges_g	-0.1548652939323531	-0.7687876125154912	0.3779116959630071	0.7074329256707433	0.5876541234587654	100000	5000	False	-0.0008486888691677	-0.000202247317553	GSE148059	primary_unambiguous	original_severity	Original neuron severity	GSE148059_Degenerator_vs_Regenerator	Degenerator vs Regenerator	higher in Degenerator	0.7832821671783282	0.8398973153125612	repaired_statfree
COMPLETED		77								Spearman_rho	0.1073422385238738	-0.1050346523017259	0.3165037998490771	0.1736582634173658	0.3529964700352996	100000	5000	True	0.0799305064380639	0.1360377640910965	GSE148059	primary_unambiguous	original_xenium	Original Xenium	GSE148059_dMFD_ordinal	Regenerator < Intermediate < Degenerator	positive rho with degeneration order	0.7766222337776623	0.7899021009789902	repaired_statfree
