candidate_field	status	reason
axonal density / myelinated fiber density	NOT_AVAILABLE_WITH_DIRECT_PUBLIC_DONOR_KEY	complete public supplement audit found no documented one-to-one donor key supporting this analysis
continuous axonal loss	NOT_AVAILABLE_WITH_DIRECT_PUBLIC_DONOR_KEY	complete public supplement audit found no documented one-to-one donor key supporting this analysis
nerve fiber counts	NOT_AVAILABLE_WITH_DIRECT_PUBLIC_DONOR_KEY	complete public supplement audit found no documented one-to-one donor key supporting this analysis
morphometric measures	NOT_AVAILABLE_WITH_DIRECT_PUBLIC_DONOR_KEY	complete public supplement audit found no documented one-to-one donor key supporting this analysis
donor-matched cell composition	NOT_AVAILABLE_WITH_DIRECT_PUBLIC_DONOR_KEY	complete public supplement audit found no documented one-to-one donor key supporting this analysis
pain or symptom score	NOT_AVAILABLE_WITH_DIRECT_PUBLIC_DONOR_KEY	complete public supplement audit found no documented one-to-one donor key supporting this analysis
diabetes duration	NOT_AVAILABLE_WITH_DIRECT_PUBLIC_DONOR_KEY	complete public supplement audit found no documented one-to-one donor key supporting this analysis
neuropathy duration	NOT_AVAILABLE_WITH_DIRECT_PUBLIC_DONOR_KEY	complete public supplement audit found no documented one-to-one donor key supporting this analysis
HbA1c	NOT_AVAILABLE_WITH_DIRECT_PUBLIC_DONOR_KEY	complete public supplement audit found no documented one-to-one donor key supporting this analysis
paired tibial-sural quantitative pathology	NOT_AVAILABLE_WITH_DIRECT_PUBLIC_DONOR_KEY	complete public supplement audit found no documented one-to-one donor key supporting this analysis
