file	bytes	sha256	type	sheets	read_status
jci-135-184075-g163.gif	19181	0efbc620cb987558e5fc4cdcf4eeeab61c8a40e3dec19e70b5a78f030dfaf895	.gif		INVENTORIED_NON_TABLE
jci-135-184075-g163.jpg	228387	5e528672c64ef73ae585af6e9228afc9272deb3f4dea0c7f071a6e344d8f4daa	.jpg		INVENTORIED_NON_TABLE
jci-135-184075-g164.gif	17664	ebcd49b8cbea41e112255ba79e56bbdd40bce96bfdf1f68212bf2786cab4d30a	.gif		INVENTORIED_NON_TABLE
jci-135-184075-g164.jpg	236806	e5c7d08bbe31322b8b62632f41c30edf14fb4f51303ac9e105d34449422daf8b	.jpg		INVENTORIED_NON_TABLE
jci-135-184075-g165.gif	18152	29cc384140061a154212e07b5196e75644397041cd42412b78afec302b6099cd	.gif		INVENTORIED_NON_TABLE
jci-135-184075-g165.jpg	234756	3ba8e6ac73cbdf260c6c5675efeb49342049fd7f528e5a48b879ecb610415036	.jpg		INVENTORIED_NON_TABLE
jci-135-184075-g166.gif	22280	bf71951b733a86292887ce2719434959218468585919ccb84f84bc27fe3e9711	.gif		INVENTORIED_NON_TABLE
jci-135-184075-g166.jpg	373708	1a5b6f48be1b68e56ceacce6be75f133e3b73ae8dec3bb10764bfa8e5eb46af7	.jpg		INVENTORIED_NON_TABLE
jci-135-184075-g167.gif	18489	0a4ba621649e15fa8930a6082001482de85a3b1ee70f6956ec014ed6c01b23fc	.gif		INVENTORIED_NON_TABLE
jci-135-184075-g167.jpg	253893	e99042e4a1b856c1a65af0e5bf2158a7d767e4c8da5dd6867a6a7e4a014ee393	.jpg		INVENTORIED_NON_TABLE
jci-135-184075-g168.gif	20312	64b3fd97c8697b5f54928add8de7e00fe89110092e1218bb8f4f178dd3a4f323	.gif		INVENTORIED_NON_TABLE
jci-135-184075-g168.jpg	255765	78ce8510f31d8345cd25012b98ceb8f4d0f43d3a9ec3d98547131f26c4d66af1	.jpg		INVENTORIED_NON_TABLE
jci-135-184075-g169.gif	16658	664467eab53a80737d03e815008f3351dbfec2aa312ca065380602ca0f1b7e24	.gif		INVENTORIED_NON_TABLE
jci-135-184075-g169.jpg	148649	63f2d49e7ef132781280c5fd1b66799fc753cb6edb52c1a025b7119bb48ba2e1	.jpg		INVENTORIED_NON_TABLE
jci-135-184075-s170.pdf	47999497	898566133f2d6bc68740831dcc5d184867bb0a6c02be863e350c795fa2895b7b	.pdf		INVENTORIED_NON_TABLE
jci-135-184075-s171.xlsx	12954	772dcfb865a9311179d69cc33bc50e86b8969de75e0e8212215600067a3d8d4a	xlsx	DPN_patient_sample_info	READ
jci-135-184075-s172.xlsx	5732523	1e361e7b4a251b5526d3bcdc436fcb96fc21bb1e58ef061a3dec9fc087a4b073	xlsx	Deseq_mod_vs_severe_axonLoss|P < 0.05|UP moderate P<0.05 FC>1.5|UP severe P<0.05 FC>1.5	READ
jci-135-184075-s173.xlsx	20552	b0103bda5ce4d4c48d238307acc807f7515b283ebd2211b09f4795a0eab69275	xlsx	A - Enrichment_axonal_loss|B - Top 10 significant GO terms	READ
jci-135-184075-s174.xlsx	378884	ec677f0ee7c96d78375d37ba1088f98888d0fb252cbc16785d0d85446157725d	xlsx	A-Donor_information|B-Putative_RBPs|C-RBP_RNA_transport	READ
jci-135-184075-s175.xlsx	2603356	3a33975ae22ad3817aec4f8c65e586ccf8a7d2a0eb70f678774a59636637670d	xlsx	A - Quantile normalized TPMs|B - Top expressed genes	READ
jci-135-184075-s176.xlsx	5201127	c046fdbf3e3e3b012794f1fa94200daf468f2d3a46dc761a49e919b4e4d53dc0	xlsx	deseq2_results|up-regulated_DPN|down_DPN	READ
jci-135-184075-s177.xlsx	105276	76b783369d269df4aafbbdf49ab0892d28ace2dadeea861e7b3c460f71653a55	xlsx	A-Enrichment_Analysis_UP_DPN|B-top 10 significant GO terms	READ
jci-135-184075-s178.xlsx	215380	9373341d54cd578e65b98dc325dd036ffedd7add6a4c8c12ce19ae071e943ab9	xlsx	A-Enrichment_Analysis_DOWN_DPN|B-Top 10 significant GO terms	READ
jci-135-184075-s179.xlsx	6540141	61b4687d8ee1ca5938e624a810d32f0334e64a310040ea3c9c726f9501c119ad	xlsx	A - Quantile normalized TPMs|B - Top 150 expressed genes|C- paired samples	READ
jci-135-184075-s180.xlsx	4374170	d85244785656cde040cf8e09d2832dfa7734c85ae6111fcd5e40fdfdda38f670	xlsx	Deseq_results|P < 0.05|UP sural P<0.05 FC>1.5|UP tibial  P<0.05 FC>1.5	READ
jci-135-184075-s181.xlsx	27843	4ef7a6bddc7fc3f253a64cbd79edf5453343cdbc8e82608955c4af40cbfda3d4	xlsx	A-Enrichment_Analysis_SURAL_gen|B - top 10 significant GO terms	READ
jci-135-184075-s182.xlsx	22569	1f987f837db932110262cdcf89d45c4fef1a3997b7981411a397065b4c2c90f3	xlsx	A- Enrichment_Analysis TIBIAL|B - top significant GO terms	READ
jci-135-184075-s183.xlsx	115289	9c89d3f6e88576dfa79b38e3415805472767094966891b0251673fea1bdf4a74	xlsx	Figure_2C|Figure_2D|Figure_3B|Figure_6B|Figure_7B|Figure_7C|Suppl.Figure_6B|Suppl.Figure6C|Suppl.Figure_9	READ
