program	arm	n_donors	rho	P_exact	permutations	LOO_rho_min	LOO_rho_max	status	BH_q
P1	up_contrast	6	0.14285714285714288	0.8027777777777778	720	-0.3	0.6	COMPLETED_EXPLORATORY	1.0
P10	up_contrast	6	0.08571428571428573	0.9194444444444444	720	-0.3	0.49999999999999994	COMPLETED_EXPLORATORY	1.0
P2	up_contrast	6	-0.2	0.7138888888888889	720	-0.6	0.39999999999999997	COMPLETED_EXPLORATORY	1.0
P3	up_contrast	6	-0.14285714285714288	0.8027777777777778	720	-0.7	0.09999999999999999	COMPLETED_EXPLORATORY	1.0
P4	up_contrast	6	0.08571428571428573	0.9194444444444444	720	-0.3	0.49999999999999994	COMPLETED_EXPLORATORY	1.0
P5	up_contrast	6	0.028571428571428574	1.0	720	-0.7	0.3	COMPLETED_EXPLORATORY	1.0
P6	up_contrast	6	-0.2571428571428572	0.6583333333333333	720	-0.7999999999999999	0.09999999999999999	COMPLETED_EXPLORATORY	1.0
P7	up_contrast	6	-0.4285714285714286	0.41944444444444445	720	-0.6	-0.09999999999999999	COMPLETED_EXPLORATORY	1.0
P8	up_contrast	6	-0.028571428571428574	1.0	720	-0.3	0.7	COMPLETED_EXPLORATORY	1.0
P1	down_contrast	6	-0.6571428571428573	0.175	720	-0.9999999999999999	-0.39999999999999997	COMPLETED_EXPLORATORY	1.0
P10	down_contrast	6	-0.2	0.7138888888888889	720	-0.7	0.09999999999999999	COMPLETED_EXPLORATORY	1.0
P2	down_contrast	6	0.2571428571428572	0.6583333333333333	720	-0.3	0.7	COMPLETED_EXPLORATORY	1.0
P3	down_contrast	6	0.2571428571428572	0.6583333333333333	720	-0.09999999999999999	0.7999999999999999	COMPLETED_EXPLORATORY	1.0
P4	down_contrast	6	-0.2	0.7138888888888889	720	-0.7	0.09999999999999999	COMPLETED_EXPLORATORY	1.0
P5	down_contrast	6	0.4285714285714286	0.41944444444444445	720	0.0	0.9999999999999999	COMPLETED_EXPLORATORY	1.0
P6	down_contrast	6	0.6	0.24166666666666667	720	0.3	0.8999999999999998	COMPLETED_EXPLORATORY	1.0
P7	down_contrast	6	0.3142857142857143	0.5638888888888889	720	0.0	0.8999999999999998	COMPLETED_EXPLORATORY	1.0
P8	down_contrast	6	0.2571428571428572	0.6583333333333333	720	-0.3	0.7	COMPLETED_EXPLORATORY	1.0
