program	outcome	n_donors	rho	P_exact	permutations	LOO_rho_min	LOO_rho_max	status	BH_q
P1	whole_section_score	6	-0.2571428571428572	0.6583333333333333	720	-0.49999999999999994	-0.09999999999999999	COMPLETED_EXPLORATORY	0.9194444444444445
P10	whole_section_score	6	0.08571428571428573	0.9194444444444444	720	-0.3	0.49999999999999994	COMPLETED_EXPLORATORY	0.9194444444444445
P2	whole_section_score	6	0.2	0.7138888888888889	720	-0.09999999999999999	0.7	COMPLETED_EXPLORATORY	0.9194444444444445
P3	whole_section_score	6	0.6571428571428573	0.175	720	0.39999999999999997	0.9999999999999999	COMPLETED_EXPLORATORY	0.7875
P4	whole_section_score	6	0.08571428571428573	0.9194444444444444	720	-0.3	0.49999999999999994	COMPLETED_EXPLORATORY	0.9194444444444445
P5	whole_section_score	6	-0.08571428571428573	0.9194444444444444	720	-0.39999999999999997	0.6	COMPLETED_EXPLORATORY	0.9194444444444445
P6	whole_section_score	6	0.3714285714285715	0.49722222222222223	720	-0.09999999999999999	0.8999999999999998	COMPLETED_EXPLORATORY	0.9194444444444445
P7	whole_section_score	6	0.6571428571428573	0.175	720	0.6	0.7	COMPLETED_EXPLORATORY	0.7875
P8	whole_section_score	6	0.2	0.7138888888888889	720	-0.09999999999999999	0.7	COMPLETED_EXPLORATORY	0.9194444444444445
P1	adjacent	6	-0.6	0.24166666666666667	720	-0.6	-0.49999999999999994	COMPLETED_EXPLORATORY	0.725
P10	adjacent	6	0.08571428571428573	0.9194444444444444	720	-0.3	0.49999999999999994	COMPLETED_EXPLORATORY	0.9194444444444445
P2	adjacent	6	0.2	0.7138888888888889	720	-0.09999999999999999	0.7	COMPLETED_EXPLORATORY	0.9194444444444445
P3	adjacent	6	0.8285714285714287	0.058333333333333334	720	0.7	0.9999999999999999	COMPLETED_EXPLORATORY	0.525
P4	adjacent	6	0.08571428571428573	0.9194444444444444	720	-0.3	0.49999999999999994	COMPLETED_EXPLORATORY	0.9194444444444445
P5	adjacent	6	-0.08571428571428573	0.9194444444444444	720	-0.3	0.6	COMPLETED_EXPLORATORY	0.9194444444444445
P6	adjacent	6	0.3714285714285715	0.49722222222222223	720	-0.09999999999999999	0.8999999999999998	COMPLETED_EXPLORATORY	0.9194444444444445
P7	adjacent	6	0.7142857142857143	0.1361111111111111	720	0.49999999999999994	0.7999999999999999	COMPLETED_EXPLORATORY	0.6124999999999999
P8	adjacent	6	0.2	0.7138888888888889	720	-0.09999999999999999	0.7	COMPLETED_EXPLORATORY	0.9194444444444445
P1	contrast	6	0.7714285714285715	0.10277777777777777	720	0.6	0.8999999999999998	COMPLETED_EXPLORATORY	0.725
P10	contrast	6	0.2571428571428572	0.6583333333333333	720	-0.09999999999999999	0.7999999999999999	COMPLETED_EXPLORATORY	0.9178571428571428
P2	contrast	6	-0.2571428571428572	0.6583333333333333	720	-0.7	0.3	COMPLETED_EXPLORATORY	0.9178571428571428
P3	contrast	6	-0.6571428571428573	0.175	720	-0.7999999999999999	-0.49999999999999994	COMPLETED_EXPLORATORY	0.725
P4	contrast	6	0.6	0.24166666666666667	720	0.3	0.8999999999999998	COMPLETED_EXPLORATORY	0.725
P5	contrast	6	-0.08571428571428573	0.9194444444444444	720	-0.8999999999999998	0.09999999999999999	COMPLETED_EXPLORATORY	1.0
P6	contrast	6	-0.4285714285714286	0.41944444444444445	720	-0.9999999999999999	0.0	COMPLETED_EXPLORATORY	0.9178571428571428
P7	contrast	6	0.028571428571428574	1.0	720	-0.3	0.39999999999999997	COMPLETED_EXPLORATORY	1.0
P8	contrast	6	-0.2	0.7138888888888889	720	-0.6	0.39999999999999997	COMPLETED_EXPLORATORY	0.9178571428571428
