context	program	n_donors	rho_proxy_delta_vs_program_contrast	P_exact	status
Schwann	P1	6	-0.48571428571428577	0.35555555555555557	DESCRIPTIVE_SENSITIVITY
Schwann	P10	6	0.5428571428571429	0.2972222222222222	DESCRIPTIVE_SENSITIVITY
Schwann	P2	6	0.8857142857142858	0.03333333333333333	DESCRIPTIVE_SENSITIVITY
Schwann	P3	6	0.028571428571428574	1.0	DESCRIPTIVE_SENSITIVITY
Schwann	P4	6	0.3714285714285715	0.49722222222222223	DESCRIPTIVE_SENSITIVITY
Schwann	P5	6	-0.6571428571428573	0.175	DESCRIPTIVE_SENSITIVITY
Schwann	P6	6	0.5428571428571429	0.2972222222222222	DESCRIPTIVE_SENSITIVITY
Schwann	P7	6	-0.48571428571428577	0.35555555555555557	DESCRIPTIVE_SENSITIVITY
Schwann	P8	6	0.7714285714285715	0.10277777777777777	DESCRIPTIVE_SENSITIVITY
endothelial_vascular	P1	6	-0.6571428571428573	0.175	DESCRIPTIVE_SENSITIVITY
endothelial_vascular	P10	6	-0.14285714285714288	0.8027777777777778	DESCRIPTIVE_SENSITIVITY
endothelial_vascular	P2	6	0.3142857142857143	0.5638888888888889	DESCRIPTIVE_SENSITIVITY
endothelial_vascular	P3	6	0.6571428571428573	0.175	DESCRIPTIVE_SENSITIVITY
endothelial_vascular	P4	6	-0.5428571428571429	0.2972222222222222	DESCRIPTIVE_SENSITIVITY
endothelial_vascular	P5	6	-0.08571428571428573	0.9194444444444444	DESCRIPTIVE_SENSITIVITY
endothelial_vascular	P6	6	0.6	0.24166666666666667	DESCRIPTIVE_SENSITIVITY
endothelial_vascular	P7	6	-0.3714285714285715	0.49722222222222223	DESCRIPTIVE_SENSITIVITY
endothelial_vascular	P8	6	0.3714285714285715	0.49722222222222223	DESCRIPTIVE_SENSITIVITY
immune_macrophage	P1	6	-0.6571428571428573	0.175	DESCRIPTIVE_SENSITIVITY
immune_macrophage	P10	6	0.3714285714285715	0.49722222222222223	DESCRIPTIVE_SENSITIVITY
immune_macrophage	P2	6	0.942857142857143	0.016666666666666666	DESCRIPTIVE_SENSITIVITY
immune_macrophage	P3	6	0.2571428571428572	0.6583333333333333	DESCRIPTIVE_SENSITIVITY
immune_macrophage	P4	6	0.08571428571428573	0.9194444444444444	DESCRIPTIVE_SENSITIVITY
immune_macrophage	P5	6	-0.5428571428571429	0.2972222222222222	DESCRIPTIVE_SENSITIVITY
immune_macrophage	P6	6	0.7142857142857143	0.1361111111111111	DESCRIPTIVE_SENSITIVITY
immune_macrophage	P7	6	-0.6	0.24166666666666667	DESCRIPTIVE_SENSITIVITY
immune_macrophage	P8	6	0.8285714285714287	0.058333333333333334	DESCRIPTIVE_SENSITIVITY
stromal_perineurial_fibroblast	P1	6	-0.7142857142857143	0.1361111111111111	DESCRIPTIVE_SENSITIVITY
stromal_perineurial_fibroblast	P10	6	0.48571428571428577	0.35555555555555557	DESCRIPTIVE_SENSITIVITY
stromal_perineurial_fibroblast	P2	6	1.0	0.002777777777777778	DESCRIPTIVE_SENSITIVITY
stromal_perineurial_fibroblast	P3	6	0.3142857142857143	0.5638888888888889	DESCRIPTIVE_SENSITIVITY
stromal_perineurial_fibroblast	P4	6	0.14285714285714288	0.8027777777777778	DESCRIPTIVE_SENSITIVITY
stromal_perineurial_fibroblast	P5	6	-0.7142857142857143	0.1361111111111111	DESCRIPTIVE_SENSITIVITY
stromal_perineurial_fibroblast	P6	6	0.8285714285714287	0.058333333333333334	DESCRIPTIVE_SENSITIVITY
stromal_perineurial_fibroblast	P7	6	-0.7142857142857143	0.1361111111111111	DESCRIPTIVE_SENSITIVITY
stromal_perineurial_fibroblast	P8	6	0.942857142857143	0.016666666666666666	DESCRIPTIVE_SENSITIVITY
