program	evidence_question	status	effect_direction	effect_size	q	n_people	measurement	independence_note	claim_boundary
P1	sural_DPN_case_association	SUPPORTED	negative	-0.0504969177382452	0.0146103896103896	12.0	fixed RNA percentile-rank score	same 12 JCI participants as historical corrected analysis	association, not diagnosis or causality
P1	DRG_Nageotte_ROI_association	UNSUPPORTED	positive	0.0043508153545874	0.0703125	6.0	Nageotte minus adjacent neuronal ROI score	six donors; sections not independent people	diabetes history; explicit DPN diagnosis not established
P1	GSE302658_baseline_symptom	UNSUPPORTED	positive	0.0016799745893276	0.998709160335763	100.0	best-q among 8 locked domains: npsi_total	trial participants	no baseline domain survived BH
P1	GSE302658_within_patient_symptom_change	SUPPORTED	positive	0.276516610610893	0.0230634689994652	95.0	change association; 2/8 domains q<0.05; best burning_superficial	101 paired trial participants	contemporaneous covariation, not prediction or treatment mediation
P1	GSE302658_randomized_treatment_interaction	UNSUPPORTED	NA		0.99812968222788	95.0	2-df treatment interaction; best npsi_total	randomized trial participants	specific AZD2423 trial; no general treatment conclusion
P1	GSE286347_painful_painless_methylation_burden	NE	NA				program-linked fixed-region burden		fewer than 5 linked fixed regions
P1	GSE14806x_RNA_pathology_grouping	UNSUPPORTED	positive	0.3841328881817097	0.8398973153125612	49.0	GSE148059 Degenerator versus Regenerator fixed RNA score	RNA and RRBS participant overlap unknown	processed-rlog exploratory association
P1	GSE14806x_RRBS_pathology_grouping	NE	NA				program promoter-methylation enrichment	RNA-RRBS pairing not used	bias-corrected gene-set method unavailable; assay-wide CpG trend is not program support
P1	JCI_continuous_pathology	NE	NA				donor-linked continuous pathology	JCI supplement audit	only categorical axonal-loss grades publicly linked; already analyzed
P1	GSE295206_Nageotte_burden	UNSUPPORTED	negative	-0.6	0.725	6.0	Spearman with annotated-spot burden; best adjacent	six donors; equal donor weight	spot fraction is not histologic area; no prediction claim
P2	sural_DPN_case_association	SUPPORTED	negative	-0.0355009321050886	0.0146103896103896	12.0	fixed RNA percentile-rank score	same 12 JCI participants as historical corrected analysis	association, not diagnosis or causality
P2	DRG_Nageotte_ROI_association	EXPLORATORY	positive	0.0326902793690105	0.0401785714285714	6.0	Nageotte minus adjacent neuronal ROI score	six donors; sections not independent people	diabetes history; explicit DPN diagnosis not established
