Endpoint	Code	Up / down	Difference	95% interval	P	BH q
ALC rlog	P1	303/328	0.002906	−0.001094 to 0.006598	0.1826	0.8538
ALC rlog	P2	1380/1693	−6.597e−05	−0.002706 to 0.002654	0.9677	0.9863
ALC rlog	P3	126/300	−0.0009399	−0.00319 to 0.001249	0.4662	0.8538
ALC rlog	P4	316/134	−0.0005137	−0.002217 to 0.001209	0.5839	0.8538
ALC rlog	P5	17/43	0.001284	−0.0008016 to 0.003557	0.2673	0.8538
ALC rlog	P6	46/79	−0.001564	−0.005214 to 0.002287	0.4344	0.8538
ALC rlog	P7	73/199	−0.0006576	−0.00339 to 0.001973	0.6641	0.8538
ALC rlog	P8	1298/1583	−2.883e−05	−0.002858 to 0.002804	0.9863	0.9863
ALC rlog	P9	11/7	NE	NE	NE	NE
ALC rlog	P10	219/118	−0.0006076	−0.002562 to 0.001498	0.5708	0.8538
