dataset	sample	group	source_group	compartment	context	species
GSE329119	C1	control	control	TG	resting_diabetes	mouse
GSE329119	C2	control	control	TG	resting_diabetes	mouse
GSE329119	C3	control	control	TG	resting_diabetes	mouse
GSE329119	D1	disease	diabetic	TG	resting_diabetes	mouse
GSE329119	D2	disease	diabetic	TG	resting_diabetes	mouse
GSE329119	D3	disease	diabetic	TG	resting_diabetes	mouse
GSE227165	NOR_1	control	normal	cornea	resting_diabetes	rat
GSE227165	NOR_2	control	normal	cornea	resting_diabetes	rat
GSE227165	NOR_3	control	normal	cornea	resting_diabetes	rat
GSE227165	STZ_1	disease	STZ_diabetic	cornea	resting_diabetes	rat
GSE227165	STZ_2	disease	STZ_diabetic	cornea	resting_diabetes	rat
GSE227165	STZ_3	disease	STZ_diabetic	cornea	resting_diabetes	rat
GSE180490	C-Ctrl-W1	control	control_wounded	cornea	wounded_diabetes	mouse
GSE180490	C-Ctrl-W2	control	control_wounded	cornea	wounded_diabetes	mouse
GSE180490	C-Ctrl-W3	control	control_wounded	cornea	wounded_diabetes	mouse
GSE180490	C-DM-W1	disease	diabetic_wounded	cornea	wounded_diabetes	mouse
GSE180490	C-DM-W2	disease	diabetic_wounded	cornea	wounded_diabetes	mouse
GSE180490	C-DM-W3	disease	diabetic_wounded	cornea	wounded_diabetes	mouse
