ref_id	evidence_role	publication_status	dataset_accession	verified_citation	doi_or_accession	primary_url	manuscript_use	caveat	verified_on
1	clinical_background	peer_reviewed	NA	Feldman EL et al. Diabetic neuropathy. Nat Rev Dis Primers. 2019;5(1):41.	10.1038/s41572-019-0092-1	https://pubmed.ncbi.nlm.nih.gov/31197153/	DPN clinical and anatomical background	review; not primary transcriptomic evidence	2026-08-27
2	clinical_guidance	peer_reviewed	NA	Pop-Busui R et al. Diabetic neuropathy: a position statement by the American Diabetes Association. Diabetes Care. 2017;40(1):136-154.	10.2337/dc16-2042	https://pubmed.ncbi.nlm.nih.gov/27999003/	DPN clinical burden and definition	guideline/position statement; not molecular evidence	2026-08-27
3	discovery_source	preprint	Source hDRG supplementary files	Sankaranarayanan I et al. Progressive neurodegeneration in human dorsal root ganglion from diabetes to painful neuropathy. bioRxiv. Posted 2026-01-20.	10.64898/2026.01.16.700028	https://pubmed.ncbi.nlm.nih.gov/41648154/	five frozen hDRG programs and source cell-proportion context	not peer reviewed; all derived results must remain labelled preprint-derived	2026-08-27
4	independent_human_validation	peer_reviewed	deposited hDRG source files	Hall BE et al. Transcriptomic analysis of human sensory neurons in painful diabetic neuropathy reveals inflammation and neuronal loss. Sci Rep. 2022;12(1):4729.	10.1038/s41598-022-08100-8	https://pubmed.ncbi.nlm.nih.gov/35304484/	independent human L5 hDRG target; 5 DPN and 7 controls	small cross-sectional donor cohort	2026-08-27
5	independent_human_validation	peer_reviewed	deposited sural-nerve source files	Tavares-Ferreira D et al. Cell and molecular profiles in peripheral nerves shift toward inflammatory phenotypes in diabetic peripheral neuropathy. J Clin Invest. 2025;135(20):e184075.	10.1172/JCI184075	https://www.jci.org/articles/view/184075	human sural DPN-control and severe-moderate axonal-loss targets	bulk nerve does not identify the score's cell of origin	2026-08-27
6	post_primary_cross_species	peer_reviewed	GSE176017	Zhou H et al. The development of mechanical allodynia in diabetic rats revealed by single-cell RNA-seq. Front Mol Neurosci. 2022;15:856299.	10.3389/fnmol.2022.856299	https://pubmed.ncbi.nlm.nih.gov/35668789/	rat DRG animal-pseudobulk explanatory target	2 diabetic-without-allodynia versus 4 painful-DPN animals; coarse exact tests	2026-08-27
7	post_primary_ocular	GEO_record_only	GSE329119	NCBI GEO. Differential Expression of LncRNAs in Diabetic Corneal Neuropathy and Its Implications in Pathogenesis.	GSE329119	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE329119	mouse TG explanatory target; 3 diabetic versus 3 controls	no PubMed ID or linked publication in the GEO record on verification date	2026-08-27
8	post_primary_ocular	peer_reviewed	GSE227165	Cui Y et al. Identification and validation of the pyroptosis-related hub gene signature and the associated regulation axis in diabetic keratopathy. J Diabetes Res. 2024;2024:2920694.	10.1155/2024/2920694	https://pubmed.ncbi.nlm.nih.gov/38529047/	resting diabetic corneal-epithelium explanatory target	public matrix has 3 processed libraries per group despite more corneas described upstream	2026-08-27
9	post_primary_ocular	peer_reviewed	GSE180490	Zhang Y et al. Transcriptional network analysis reveals the role of miR-223-5p during diabetic corneal epithelial regeneration. Front Mol Biosci. 2021;8:737472.	10.3389/fmolb.2021.737472	https://pubmed.ncbi.nlm.nih.gov/34513931/	wounded diabetic cornea explanatory target	3 processed libraries per group; injury-context result is provisional	2026-08-27
10	accessible_compartment_boundary	peer_reviewed	GSE95849	Luo L et al. Gene expression profiling identifies downregulation of the neurotrophin-MAPK signaling pathway in female diabetic peripheral neuropathy patients. J Diabetes Res. 2017;2017:8103904.	10.1155/2017/8103904	https://pubmed.ncbi.nlm.nih.gov/28900628/	PBMC healthy-diabetes-DPN stage projection	female-only cohort; microarray platform	2026-08-27
11	accessible_compartment_boundary	peer_reviewed	GSE185011	Hui Z et al. Shared and specific biological signalling pathways for diabetic retinopathy, peripheral neuropathy and nephropathy by high-throughput sequencing analysis. Diab Vasc Dis Res. 2022;19(4):14791641221122918.	10.1177/14791641221122918	https://pubmed.ncbi.nlm.nih.gov/35989592/	PBMC cross-cohort stage projection and diabetes-complication specificity	5 participants per group	2026-08-27
12	clinical_trial_context	peer_reviewed	NCT01201317	Kalliomaki J et al. Evaluation of a novel chemokine receptor 2 (CCR2)-antagonist in painful diabetic polyneuropathy. Scand J Pain. 2013;4(2):77-83.	10.1016/j.sjpain.2012.10.003	https://pubmed.ncbi.nlm.nih.gov/29913894/	clinical context for the GSE302658 whole-blood deposit	trial did not meet its primary analgesic efficacy endpoint; current reanalysis is not a treatment analysis	2026-08-27
13	accessible_compartment_boundary	GEO_record	GSE302658	NCBI GEO. Evaluation of a novel chemokine receptor 2 (CCR2)-antagonist in painful diabetic polyneuropathy.	GSE302658	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302658	whole-blood baseline and longitudinal neural-score tests	Visit 8 follows randomized intervention; longitudinal association cannot be treated as natural history	2026-08-27
14	accessible_compartment_coverage	peer_reviewed	PXD062366	Qin G et al. Alterations in tear proteomes of adults with pre-diabetes and type 2 diabetes mellitus but without diabetic retinopathy. Proteomes. 2025;13(3):29.	10.3390/proteomes13030029	https://pubmed.ncbi.nlm.nih.gov/40700273/	tear-proteome coverage audit	dataset lacks DPN phenotyping and has insufficient bidirectional coverage for direct neural-program testing	2026-08-27
15	cross_species_context	peer_reviewed	NA	Jung M et al. Cross-species transcriptomic atlas of dorsal root ganglia reveals species-specific programs for sensory function. Nat Commun. 2023;14(1):366.	10.1038/s41467-023-36014-0	https://pubmed.ncbi.nlm.nih.gov/36690629/	interpretation of human-rat/mouse transport boundaries	atlas context; not a disease validation cohort	2026-08-27
16	cross_species_context	peer_reviewed	NA	Bhuiyan SA et al. Harmonized cross-species cell atlases of trigeminal and dorsal root ganglia. Sci Adv. 2024;10(25):eadj9173.	10.1126/sciadv.adj9173	https://pubmed.ncbi.nlm.nih.gov/38905344/	interpretation of TG/DRG and species boundaries	atlas context; not a diabetes cohort	2026-08-27
17	clinical_phenotype_context	peer_reviewed	NA	Raputova J et al. Continuum of sensory profiles in diabetes mellitus patients with and without neuropathy and pain. Eur J Pain. 2022;26(10):2198-2212.	10.1002/ejp.2034	https://pubmed.ncbi.nlm.nih.gov/36069121/	context for severity continuum	clinical sensory phenotyping; not transcriptomic evidence	2026-08-27
18	human_sensory_atlas_context	peer_reviewed	NA	Nguyen MQ et al. Single-nucleus transcriptomic analysis of human dorsal root ganglion neurons. eLife. 2021;10:e71752.	10.7554/eLife.71752	https://pubmed.ncbi.nlm.nih.gov/34825887/	context for human sensory-neuron classes	non-diabetes atlas; not validation of DPN programs	2026-08-27
19	ocular_mechanism_context	peer_reviewed	NA	Liao D et al. LncRNA GTF3C1 promotes diabetic corneal wound healing by regulating GABARAP and PTEN to augment autophagy. Eye Vis (Lond). 2025;12(1):33.	10.1186/s40662-025-00448-y	https://pubmed.ncbi.nlm.nih.gov/40790772/	discussion context for diabetic TG-autophagy-cornea repair biology	mechanistic study is not proof that the present residual signatures share this causal pathway	2026-08-27
