claim_id	result_section	figure_panels	evidence_ids	manuscript_ready_claim	source_file	row_selector	extracted_values	evidence_tier	mandatory_caveat	audit_status
N001	Source programs	Fig. 1B	E01	The frozen source comprised 656 early all-cell, 3,173 late all-cell, 744 late-neuron, 509 Nageotte-severity and 60 Xenium genes.	hDRG_frozen_primary_stage_signatures_2026-08-27.tsv	group by contrast_id	"{""early_allcell_diabetes_vs_control"":656,""late_allcell_DPN_vs_diabetes"":3173,""late_neuron_DPN_vs_diabetes"":744,""severity_neuron_modhigh_vs_low_nageotte"":509,""xenium_DPN_vs_control"":60}"	DISCOVERY_ONLY	The source is a non-peer-reviewed preprint.	PASS
N002	Source programs	Fig. 1C-D	E01	Source-only decomposition yielded a 196-gene shared late neuronal core, 522-gene neuron residual and 2,951-gene all-cell residual; 26 directionally opposed overlap genes were audit-only.	hDRG_source_defined_transport_components_2026-08-27.tsv	group by component_id and direction	"{""shared_core"":196,""neuron_residual"":522,""allcell_residual"":2951,""opposed_overlap"":26}"	DISCOVERY_ONLY	Membership was fixed before target testing.	PASS
N003	Source context	Fig. 2D	E22	In source hDRG, neurons decreased from diabetes to DPN (Q=0.0103), whereas fibroblasts (Q=0.0492) and smooth-muscle cells (Q=0.00475) increased.	hDRG_major_celltype_pairwise_proportion_tests_2026-08-27.tsv	group1=Diabetic; group2=DPN; cell_type in Neurons/Fibroblast/SMC	"{""Neurons"":""{'q': np.float64(0.0103), 'direction': 'decreased_in_DPN'}"",""Fibroblast"":""{'q': np.float64(0.0492), 'direction': 'increased_in_DPN'}"",""SMC"":""{'q': np.float64(0.00475), 'direction': 'increased_in_DPN'}""}"	SOURCE_CONTEXT	Directions come from the source article narrative and are not independent validation.	PASS
N004	Independent human hDRG	Fig. 2A-B	E02	The original Nageotte-severity signature passed in 5 DPN and 7 control hDRGs (gene concordance=0.516, matched Q=0.000400; score difference=0.00809, Hedges g=0.863, sex-stratified exact Q=0.0933), with all leave-one-donor-out differences positive.	independent_human_DPN_bulk_signature_tests_2026-08-27.tsv	contrast_id=severity_neuron_modhigh_vs_low_nageotte	"{""gene_concordance"":0.5160074388107019,""gene_matched_bh_q"":0.0003999600039996,""donor_score_difference"":0.0080936559519575,""donor_hedges_g"":0.8626916405764178,""donor_exact_bh_q"":0.0933333333333333,""loo_all_positive"":""True""}"	INDEPENDENT_HUMAN_VALIDATION	The cohort lacks diabetes without neuropathy and is age imbalanced.	PASS
N005	Independent human hDRG	Fig. 2C	E03-E05	In post-primary component analysis, the shared core and all-cell residual were supportive in independent hDRG (g=1.164 and 0.932), whereas the neuron residual was not (g=-0.393).	cross_target_hDRG_component_transportability_tests_2026-08-27.tsv	target_id=independent_human_hDRG	"{""late_shared_concordant_neuronal_core"":""{'g': np.float64(1.163797208521222), 'support': np.True_}"",""late_allcell_residual"":""{'g': np.float64(0.9323115515160124), 'support': np.True_}"",""late_neuron_residual"":""{'g': np.float64(-0.3931879617935943), 'support': np.False_}""}"	POST_PRIMARY_EXPLANATORY	This analysis was performed after the JCI result was known.	PASS
N006	Human sural nerve	Fig. 3B-C	E06	In 6 DPN and 6 control sural nerves, the late neuron residual passed the frozen dual-layer gate (137 mapped up and 252 mapped down genes; gene Q=0.00520; score difference=0.02142, g=1.334, exact Q=0.0281), with all leave-one-out differences positive.	JCI184075_hDRG_component_gate_table_2026-08-27.tsv	target_id=DPN_vs_control; module_id=late_neuron_residual	"{""mapped_up_n_gene"":""137"",""mapped_down_n_gene"":""252"",""gene_concordance"":0.3307139513828607,""matched_null_bh_q"":0.0051994800519948,""score_mean_difference"":0.0214189225849315,""hedges_g"":1.3335123028399671,""exact_bh_q"":0.0281385281385281,""loo_all_positive"":""True""}"	FROZEN_INDEPENDENT_HUMAN_TARGET	Bulk sural nerve is multicellular and does not prove neuronal purity or propagation.	PASS
N007	Human sural nerve	Fig. 3D	E06	Quantile-normalized TPM sensitivity analysis reproduced the distal-neuron residual signal (score difference=0.03164, g=1.243, exact Q=0.0476), with all leave-one-out differences positive.	JCI184075_hDRG_component_sample_tests_2026-08-27.tsv	target_id=DPN_vs_control; expression_source=quantile_normalized_TPM_sensitivity; module_id=late_neuron_residual	"{""score_mean_difference"":0.0316360189333069,""hedges_g"":1.242524539195598,""exact_bh_q"":0.0476190476190476,""loo_all_positive"":""True""}"	SENSITIVITY	This uses the same donors and is not an independent cohort.	PASS
N008	Human sural nerve	Fig. 3B	E07-E08	The shared neuronal core failed distally (g=-0.063; gene Q=0.922), and the all-cell residual reversed (g=-1.209; gene Q=1.000).	JCI184075_hDRG_component_gate_table_2026-08-27.tsv	target_id=DPN_vs_control; two non-supportive late components	"{""late_shared_concordant_neuronal_core"":""{'g': np.float64(-0.0634333797671093), 'gene_q': np.float64(0.9223077692230776)}"",""late_allcell_residual"":""{'g': np.float64(-1.2086464982679013), 'gene_q': np.float64(1.0)}""}"	FROZEN_NEGATIVE_CONTROLS	Negative modules demonstrate selectivity rather than absence of all DPN biology.	PASS
N009	Human sural nerve	Fig. 3E	E09	Within DPN, the severity-shared neuronal core passed in 13 severe versus 4 moderate axonal-loss specimens (85 mapped up and 22 mapped down genes; gene Q=0.0236; score difference=0.01767, g=1.674, exact Q=0.00504), with all leave-one-out differences positive.	JCI184075_hDRG_component_gate_table_2026-08-27.tsv	target_id=severe_vs_moderate_axonal_loss; module_id=severity_neuron_shared_concordant_core	"{""mapped_up_n_gene"":""85"",""mapped_down_n_gene"":""22"",""gene_concordance"":0.1225604956084207,""matched_null_bh_q"":0.0235976402359764,""score_mean_difference"":0.0176667519842389,""hedges_g"":1.6735267298511152,""exact_bh_q"":0.0050420168067226,""loo_all_positive"":""True""}"	FROZEN_WITHIN_DPN_HUMAN_TARGET	The moderate group has n=4; the association is cross-sectional.	PASS
N010	Human sural nerve	Fig. 3E	E10	The severity residual remained a frozen-gate failure despite a positive effect (gene Q=0.0530; g=0.573; exact Q=0.155).	JCI184075_hDRG_component_gate_table_2026-08-27.tsv	target_id=severe_vs_moderate_axonal_loss; module_id=severity_neuron_residual	"{""matched_null_bh_q"":0.052994700529947,""hedges_g"":0.5725297182476308,""exact_bh_q"":0.1554621848739495,""component_pass"":""False""}"	FROZEN_NEGATIVE_NEAR_MISS	The near-miss cannot be promoted to support.	PASS
N011	Cross-target atlas	Fig. 5	E11-E13	In rat painful-DPN progression, the shared core (g=0.797) and all-cell residual (g=1.277) were provisionally supportive, whereas the neuron residual reversed (g=-1.180).	cross_target_hDRG_component_transportability_tests_2026-08-27.tsv	target_id=GSE176017_rat_DRG	"{""late_shared_concordant_neuronal_core"":""{'g': np.float64(0.7968965329210528), 'gene_q': np.float64(nan), 'matched_signature_q': np.float64(0.0664433556644335), 'support': np.True_}"",""late_neuron_residual"":""{'g': np.float64(-1.1802367648042418), 'gene_q': np.float64(nan), 'matched_signature_q': np.float64(0.9644035596440356), 'support': np.False_}"",""late_allcell_residual"":""{'g': np.float64(1.2770556826989805), 'gene_q': np.float64(nan), 'matched_signature_q': np.float64(0.0002999700029997), 'support': np.True_}""}"	PROVISIONAL_EXPLANATORY	Only 15 label permutations were possible.	PASS
N012	Cross-target atlas	Fig. 5	E14-E15	In resting diabetic mouse TG, the neuron residual (g=2.273; gene Q=0.0115) and all-cell residual (g=0.820; gene Q=0.000300) were provisionally supportive.	cross_target_hDRG_component_transportability_tests_2026-08-27.tsv	target_id=GSE329119	"{""late_shared_concordant_neuronal_core"":""{'g': np.float64(0.4838792630503176), 'gene_q': np.float64(0.1837816218378162), 'matched_signature_q': np.float64(nan), 'support': np.False_}"",""late_neuron_residual"":""{'g': np.float64(2.2731623541781305), 'gene_q': np.float64(0.0115488451154884), 'matched_signature_q': np.float64(nan), 'support': np.True_}"",""late_allcell_residual"":""{'g': np.float64(0.8199313795013323), 'gene_q': np.float64(0.0002999700029997), 'matched_signature_q': np.float64(nan), 'support': np.True_}""}"	PROVISIONAL_EXPLANATORY	The cohort was 3 versus 3 and analysis was post-JCI explanatory.	PASS
N013	Cross-target atlas	Fig. 5	E16	Resting diabetic rat cornea supported none of the three components (g=-0.531, -0.248 and -0.069 for shared, neuron-residual and all-cell-residual modules).	cross_target_hDRG_component_transportability_tests_2026-08-27.tsv	target_id=GSE227165	"{""late_shared_concordant_neuronal_core"":""{'g': np.float64(-0.5309545810853366), 'gene_q': np.float64(0.7427257274272573), 'matched_signature_q': np.float64(nan), 'support': np.False_}"",""late_neuron_residual"":""{'g': np.float64(-0.2483278033307968), 'gene_q': np.float64(0.8174182581741826), 'matched_signature_q': np.float64(nan), 'support': np.False_}"",""late_allcell_residual"":""{'g': np.float64(-0.0685092622901213), 'gene_q': np.float64(0.7427257274272573), 'matched_signature_q': np.float64(nan), 'support': np.False_}""}"	EXPLANATORY_NEGATIVE	Processed libraries, not individual upstream corneas, were the inference units.	PASS
N014	Cross-target atlas	Fig. 5	E17-E18	In wounded diabetic mouse cornea, the neuron residual (g=0.743; gene Q=0.0444) and all-cell residual (g=0.967; gene Q=0.0255) were provisionally supportive, whereas the shared core failed.	cross_target_hDRG_component_transportability_tests_2026-08-27.tsv	target_id=GSE180490	"{""late_shared_concordant_neuronal_core"":""{'g': np.float64(-0.0638741367870586), 'gene_q': np.float64(0.5774422557744225), 'matched_signature_q': np.float64(nan), 'support': np.False_}"",""late_neuron_residual"":""{'g': np.float64(0.7427568033220625), 'gene_q': np.float64(0.0443955604439556), 'matched_signature_q': np.float64(nan), 'support': np.True_}"",""late_allcell_residual"":""{'g': np.float64(0.9673244215119444), 'gene_q': np.float64(0.0254974502549745), 'matched_signature_q': np.float64(nan), 'support': np.True_}""}"	PROVISIONAL_EXPLANATORY	This is injury-context transfer and not resting-diabetes replication.	PASS
N015	Accessible compartments	Fig. 6A	E19	Across two PBMC cohorts, the frozen late-stage projection was not consistently positive (fixed-effect g=-0.861; I-squared=82.8%), and the PBMC stage gate failed.	human_PBMC_stage_projection_meta_analysis_2026-08-27.tsv	transition=late_DM_to_DPN	"{""fixed_effect_hedges_g"":-0.8611888558781531,""I2_percent"":82.76843231878314,""all_cohort_score_differences_positive"":""False"",""at_least_one_full_support"":""False""}"	FROZEN_BOUNDARY	The two accessions were from the same contributor group and participant non-overlap was not assumed.	PASS
N016	Accessible compartments	Fig. 6B	E20	In 100 baseline PDN blood samples, the severity score was weakly correlated with NPSI (rho=0.070; one-sided permutation P=0.244; matched-signature P=0.280), and the adjusted HC3 exposure test failed (P=0.995).	GSE302658_clinical_signature_tests_2026-08-27.tsv	test_family=primary; window=baseline; endpoint=npsi_total_score	"{""n"":""100"",""rho"":0.0702454689537526,""permutation_positive_p"":0.2437756224377562,""matched_signature_p"":0.2800719928007199,""hc3_exposure_coefficient"":-0.0204503884542093,""hc3_exposure_p"":0.994621908705711,""frozen_gate_pass"":""False""}"	FROZEN_CLINICAL_BOUNDARY	Whole-blood association does not measure ganglion histology.	PASS
N017	Accessible compartments	Fig. 6B	E20	Among 95 paired participants, change in the severity score correlated weakly with NPSI change (rho=0.198; one-sided permutation P=0.0273), but the bootstrap lower bound crossed zero and the adjusted Visit-8 exposure test failed (P=0.221); the longitudinal gate therefore failed.	GSE302658_clinical_signature_tests_2026-08-27.tsv	test_family=longitudinal_primary; window=change; endpoint=npsi_total_score	"{""n"":""95"",""rho"":0.1979652611306328,""permutation_positive_p"":0.0272972702729727,""permutation_two_sided_p"":0.0553944605539446,""bootstrap_ci_low"":-0.0001292547846513,""bootstrap_ci_high"":0.375132445466873,""hc3_exposure_coefficient"":2.4457405838635315,""hc3_exposure_p"":0.2211524531651274,""frozen_gate_pass"":""False""}"	FROZEN_CLINICAL_BOUNDARY	Visit 8 occurred under randomized intervention; this is not treatment efficacy or mediation evidence.	PASS
N018	Accessible compartments	Fig. 6C	E21	The tear proteome retained only 7 severity-up and 33 severity-down proteins at at least 50% detection, failing the prespecified symmetric-coverage requirement before outcome testing.	PXD062366_hDRG_signature_coverage_2026-08-27.tsv	contrast_id=severity_neuron_modhigh_vs_low_nageotte	"{""up"":""{'stable_n': np.int64(7), 'fraction_original': np.float64(0.0196629213483146)}"",""down"":""{'stable_n': np.int64(33), 'fraction_original': np.float64(0.2156862745098039)}""}"	NOT_TESTABLE	No outcome fishing was performed after the coverage stop.	PASS
