sample_id	group	contrast_id	score_role	unweighted_rank_score	weighted_rank_score	mapped_up_genes	mapped_down_genes
DM1	Diabetes_no_allodynia	early_allcell_diabetes_vs_control	primary	-0.08586025836055716	-0.13067126464788203	218	230
DM2	Diabetes_no_allodynia	early_allcell_diabetes_vs_control	primary	-0.06791896398391757	-0.12546263877552877	218	230
N1	Normal	early_allcell_diabetes_vs_control	primary	-0.12183211161479682	-0.14782245269597513	218	230
N2	Normal	early_allcell_diabetes_vs_control	primary	-0.1125017669384705	-0.13813088139740187	218	230
PDPN1	Painful_DPN	early_allcell_diabetes_vs_control	primary	-0.10096066522990746	-0.12844377231453447	218	230
PDPN2	Painful_DPN	early_allcell_diabetes_vs_control	primary	-0.126390589939335	-0.15945774797086829	218	230
PDPN3	Painful_DPN	early_allcell_diabetes_vs_control	primary	-0.11161290637845975	-0.15562189570612178	218	230
PDPN4	Painful_DPN	early_allcell_diabetes_vs_control	primary	-0.08469779743250241	-0.13017243761748631	218	230
DM1	Diabetes_no_allodynia	late_allcell_DPN_vs_diabetes	primary	-0.46239700717447874	-0.4628228363898304	792	1273
DM2	Diabetes_no_allodynia	late_allcell_DPN_vs_diabetes	primary	-0.4531611409515719	-0.45386275505195217	792	1273
N1	Normal	late_allcell_DPN_vs_diabetes	primary	-0.4299916270466779	-0.4255106786555015	792	1273
N2	Normal	late_allcell_DPN_vs_diabetes	primary	-0.44768158484220744	-0.44437164136075274	792	1273
PDPN1	Painful_DPN	late_allcell_DPN_vs_diabetes	primary	-0.4063378994536073	-0.4039247126929428	792	1273
PDPN2	Painful_DPN	late_allcell_DPN_vs_diabetes	primary	-0.4256342862096433	-0.42266517933687325	792	1273
PDPN3	Painful_DPN	late_allcell_DPN_vs_diabetes	primary	-0.4437052620896084	-0.44382762070443976	792	1273
PDPN4	Painful_DPN	late_allcell_DPN_vs_diabetes	primary	-0.446094793076001	-0.44306920729298943	792	1273
DM1	Diabetes_no_allodynia	late_neuron_DPN_vs_diabetes	primary	0.06665065956462088	0.10000966707984581	177	306
DM2	Diabetes_no_allodynia	late_neuron_DPN_vs_diabetes	primary	0.1041341780890995	0.13960678506467206	177	306
N1	Normal	late_neuron_DPN_vs_diabetes	primary	0.06251206736284634	0.09423251900400093	177	306
N2	Normal	late_neuron_DPN_vs_diabetes	primary	0.05937136081496883	0.09350087107001391	177	306
PDPN1	Painful_DPN	late_neuron_DPN_vs_diabetes	primary	0.09184543600115627	0.1255859487676447	177	306
PDPN2	Painful_DPN	late_neuron_DPN_vs_diabetes	primary	0.07542496656799996	0.10479284899438987	177	306
PDPN3	Painful_DPN	late_neuron_DPN_vs_diabetes	primary	0.09006533312716969	0.1243881669247313	177	306
PDPN4	Painful_DPN	late_neuron_DPN_vs_diabetes	primary	0.07849124935347265	0.1233074766468095	177	306
DM1	Diabetes_no_allodynia	severity_neuron_modhigh_vs_low_nageotte	primary	-0.19402397033677923	-0.18328427236613973	287	137
DM2	Diabetes_no_allodynia	severity_neuron_modhigh_vs_low_nageotte	primary	-0.21538664374041477	-0.19996652693019112	287	137
N1	Normal	severity_neuron_modhigh_vs_low_nageotte	primary	-0.24724980620331644	-0.24859673739605245	287	137
N2	Normal	severity_neuron_modhigh_vs_low_nageotte	primary	-0.21949070795808792	-0.21754131635153576	287	137
PDPN1	Painful_DPN	severity_neuron_modhigh_vs_low_nageotte	primary	-0.23218469576435435	-0.22427916833024852	287	137
PDPN2	Painful_DPN	severity_neuron_modhigh_vs_low_nageotte	primary	-0.247944043095118	-0.24208786412593308	287	137
PDPN3	Painful_DPN	severity_neuron_modhigh_vs_low_nageotte	primary	-0.2612849769289425	-0.2544258694289686	287	137
PDPN4	Painful_DPN	severity_neuron_modhigh_vs_low_nageotte	primary	-0.23575536524622764	-0.22958307785178153	287	137
DM1	Diabetes_no_allodynia	xenium_DPN_vs_control	secondary	-0.22737482239907802	-0.20255175163863828	9	32
DM2	Diabetes_no_allodynia	xenium_DPN_vs_control	secondary	-0.08518323944081793	-0.0881134289439423	9	32
N1	Normal	xenium_DPN_vs_control	secondary	-0.12210715421224674	-0.1281065545829625	9	32
N2	Normal	xenium_DPN_vs_control	secondary	-0.024387214720756695	0.010655281863759691	9	32
PDPN1	Painful_DPN	xenium_DPN_vs_control	secondary	-0.06965030005862072	-0.051254302643567035	9	32
PDPN2	Painful_DPN	xenium_DPN_vs_control	secondary	-0.04598031983069538	-0.015357551406738681	9	32
PDPN3	Painful_DPN	xenium_DPN_vs_control	secondary	-0.15930088576907409	-0.09980527870302433	9	32
PDPN4	Painful_DPN	xenium_DPN_vs_control	secondary	-0.20553860274027042	-0.23821492347145268	9	32
