target_id	expression_source	module_id	sample_id	group	score
DPN_vs_control	DESeq2_normalized_counts	late_shared_concordant_neuronal_core	C1	Control	0.029721062771158074
DPN_vs_control	DESeq2_normalized_counts	late_shared_concordant_neuronal_core	C2	Control	0.006462243687869115
DPN_vs_control	DESeq2_normalized_counts	late_shared_concordant_neuronal_core	C3	Control	0.0527378562957941
DPN_vs_control	DESeq2_normalized_counts	late_shared_concordant_neuronal_core	C4	Control	0.08805680258900686
DPN_vs_control	DESeq2_normalized_counts	late_shared_concordant_neuronal_core	C5	Control	0.029902739352833413
DPN_vs_control	DESeq2_normalized_counts	late_shared_concordant_neuronal_core	C6	Control	0.04500202008207267
DPN_vs_control	DESeq2_normalized_counts	late_shared_concordant_neuronal_core	S38	DPN	0.06046521050467377
DPN_vs_control	DESeq2_normalized_counts	late_shared_concordant_neuronal_core	S39	DPN	0.02165972962163402
DPN_vs_control	DESeq2_normalized_counts	late_shared_concordant_neuronal_core	S40	DPN	0.04083157916698717
DPN_vs_control	DESeq2_normalized_counts	late_shared_concordant_neuronal_core	S42	DPN	0.040708135123341836
DPN_vs_control	DESeq2_normalized_counts	late_shared_concordant_neuronal_core	S43	DPN	0.03425444249878301
DPN_vs_control	DESeq2_normalized_counts	late_shared_concordant_neuronal_core	S44	DPN	0.045101699888014796
DPN_vs_control	DESeq2_normalized_counts	late_neuron_residual	C1	Control	-0.16528648613071975
DPN_vs_control	DESeq2_normalized_counts	late_neuron_residual	C2	Control	-0.1676909800558291
DPN_vs_control	DESeq2_normalized_counts	late_neuron_residual	C3	Control	-0.16681238710718005
DPN_vs_control	DESeq2_normalized_counts	late_neuron_residual	C4	Control	-0.17660103443752817
DPN_vs_control	DESeq2_normalized_counts	late_neuron_residual	C5	Control	-0.1591825630629677
DPN_vs_control	DESeq2_normalized_counts	late_neuron_residual	C6	Control	-0.14759532443540305
DPN_vs_control	DESeq2_normalized_counts	late_neuron_residual	S38	DPN	-0.11769762961244391
DPN_vs_control	DESeq2_normalized_counts	late_neuron_residual	S39	DPN	-0.15846423625792558
DPN_vs_control	DESeq2_normalized_counts	late_neuron_residual	S40	DPN	-0.15203517365937322
DPN_vs_control	DESeq2_normalized_counts	late_neuron_residual	S42	DPN	-0.12305534082018983
DPN_vs_control	DESeq2_normalized_counts	late_neuron_residual	S43	DPN	-0.16208719016666645
DPN_vs_control	DESeq2_normalized_counts	late_neuron_residual	S44	DPN	-0.14131566920343988
DPN_vs_control	DESeq2_normalized_counts	late_allcell_residual	C1	Control	0.04033541711980215
DPN_vs_control	DESeq2_normalized_counts	late_allcell_residual	C2	Control	0.03616055082865782
