target_id	module_id	sample_id	group	score
independent_human_hDRG	late_shared_concordant_neuronal_core	DPN5	DPN	-0.035016870394252275
independent_human_hDRG	late_shared_concordant_neuronal_core	DPN4	DPN	-0.008169173563809862
independent_human_hDRG	late_shared_concordant_neuronal_core	DPN3	DPN	-0.0683724328705563
independent_human_hDRG	late_shared_concordant_neuronal_core	DPN2	DPN	-0.06577144707635213
independent_human_hDRG	late_shared_concordant_neuronal_core	DPN1	DPN	-0.0975212282868004
independent_human_hDRG	late_shared_concordant_neuronal_core	Con7	Control	-0.0685713979022039
independent_human_hDRG	late_shared_concordant_neuronal_core	Con6	Control	-0.09371042391555401
independent_human_hDRG	late_shared_concordant_neuronal_core	Con5	Control	-0.0831732756247194
independent_human_hDRG	late_shared_concordant_neuronal_core	Con4	Control	-0.09318860519267799
independent_human_hDRG	late_shared_concordant_neuronal_core	Con3	Control	-0.09215267674211419
independent_human_hDRG	late_shared_concordant_neuronal_core	Con2	Control	-0.06928784808277624
independent_human_hDRG	late_shared_concordant_neuronal_core	Con1	Control	-0.09049233184059952
independent_human_hDRG	late_neuron_residual	DPN5	DPN	-0.07188736273668878
independent_human_hDRG	late_neuron_residual	DPN4	DPN	-0.07819058174890786
independent_human_hDRG	late_neuron_residual	DPN3	DPN	-0.05820426275721838
independent_human_hDRG	late_neuron_residual	DPN2	DPN	-0.06959928347724528
independent_human_hDRG	late_neuron_residual	DPN1	DPN	-0.07269796609296508
independent_human_hDRG	late_neuron_residual	Con7	Control	-0.069994921515384
independent_human_hDRG	late_neuron_residual	Con6	Control	-0.0651945452435522
independent_human_hDRG	late_neuron_residual	Con5	Control	-0.07748526072268253
independent_human_hDRG	late_neuron_residual	Con4	Control	-0.06514504158196077
independent_human_hDRG	late_neuron_residual	Con3	Control	-0.07160967949606475
independent_human_hDRG	late_neuron_residual	Con2	Control	-0.056253882007164135
independent_human_hDRG	late_neuron_residual	Con1	Control	-0.06433144010047687
independent_human_hDRG	late_allcell_residual	DPN5	DPN	-0.09054192997192587
independent_human_hDRG	late_allcell_residual	DPN4	DPN	-0.0653086171299408
independent_human_hDRG	late_allcell_residual	DPN3	DPN	-0.1118305376999249
independent_human_hDRG	late_allcell_residual	DPN2	DPN	-0.11318596709730974
independent_human_hDRG	late_allcell_residual	DPN1	DPN	-0.1357809424127119
independent_human_hDRG	late_allcell_residual	Con7	Control	-0.11451539070468453
independent_human_hDRG	late_allcell_residual	Con6	Control	-0.14262356358963374
independent_human_hDRG	late_allcell_residual	Con5	Control	-0.1253640095452366
independent_human_hDRG	late_allcell_residual	Con4	Control	-0.1392530765019407
independent_human_hDRG	late_allcell_residual	Con3	Control	-0.13708978362316776
independent_human_hDRG	late_allcell_residual	Con2	Control	-0.0876442276246362
independent_human_hDRG	late_allcell_residual	Con1	Control	-0.13694183580423247
GSE176017_rat_DRG	late_shared_concordant_neuronal_core	DM1	Diabetes_no_allodynia	-0.11494560225933355
GSE176017_rat_DRG	late_shared_concordant_neuronal_core	DM2	Diabetes_no_allodynia	-0.1087431022210657
GSE176017_rat_DRG	late_shared_concordant_neuronal_core	N1	Normal	-0.08653208663074592
GSE176017_rat_DRG	late_shared_concordant_neuronal_core	N2	Normal	-0.09685172836718763
GSE176017_rat_DRG	late_shared_concordant_neuronal_core	PDPN1	Painful_DPN	-0.05345754756693044
GSE176017_rat_DRG	late_shared_concordant_neuronal_core	PDPN2	Painful_DPN	-0.10070649615790844
GSE176017_rat_DRG	late_shared_concordant_neuronal_core	PDPN3	Painful_DPN	-0.11018245151464127
GSE176017_rat_DRG	late_shared_concordant_neuronal_core	PDPN4	Painful_DPN	-0.09592552694821596
GSE176017_rat_DRG	late_neuron_residual	DM1	Diabetes_no_allodynia	0.06381974038463208
GSE176017_rat_DRG	late_neuron_residual	DM2	Diabetes_no_allodynia	0.0821531749765225
GSE176017_rat_DRG	late_neuron_residual	N1	Normal	0.04287732844051985
GSE176017_rat_DRG	late_neuron_residual	N2	Normal	0.04866280119357801
GSE176017_rat_DRG	late_neuron_residual	PDPN1	Painful_DPN	0.0516859332769757
GSE176017_rat_DRG	late_neuron_residual	PDPN2	Painful_DPN	0.05964389245994067
GSE176017_rat_DRG	late_neuron_residual	PDPN3	Painful_DPN	0.06773051799827455
GSE176017_rat_DRG	late_neuron_residual	PDPN4	Painful_DPN	0.061775712006776805
GSE176017_rat_DRG	late_allcell_residual	DM1	Diabetes_no_allodynia	-0.23594142204289348
GSE176017_rat_DRG	late_allcell_residual	DM2	Diabetes_no_allodynia	-0.23136396632455108
GSE176017_rat_DRG	late_allcell_residual	N1	Normal	-0.21918275686232278
GSE176017_rat_DRG	late_allcell_residual	N2	Normal	-0.2282982964262697
