library	module_id	module_display	direction	term	background_n	component_direction_n	term_background_n	overlap_n	gene_ratio	background_ratio	odds_ratio	p_value	overlap_genes	bh_q	formal_enrichment
GO_BP_2025	late_allcell_residual	All-cell residual	down	Inorganic Cation Transmembrane Transport (GO:0098662)	3695	1612	95	68	0.04218362282878412	0.02571041948579161	3.3166426322140143	2.2154993306035902e-08	ABCC8;ATP1A2;ATP1A3;ATP1B1;ATP1B3;ATP5MC1;ATP5MF;ATP6AP2;ATP6V0A1;ATP6V0B;ATP6V0C;ATP6V0E1;ATP6V0E2;ATP6V1A;ATP6V1E1;ATP6V1F;CACNA1D;CACNB2;HCN2;KCNA1;KCNA2;KCNA4;KCNB2;KCNC1;KCNC3;KCNG1;KCNH5;KCNH6;KCNH7;KCNH8;KCNJ10;KCNJ3;KCNK1;KCNK10;KCNK18;KCNK4;KCNMA1;KCNN2;KCNQ2;KCNQ5;KCNS1;KCNS3;KCNV1;LRRC52;MCOLN2;MCOLN3;P2RX3;RNASEK;SCN10A;SCN11A;SCN1A;SCN3B;SCN4B;SCN7A;SCNN1G;SLC24A4;SLC31A1;SLC39A6;SLC4A4;SLC6A1;SLC6A13;SLC6A15;SLC8A3;SLC9A2;SLC9A7;SLC9B2;TRPM3;TRPM8	2.8335002362889905e-05	True
GO_BP_2025	late_allcell_residual	All-cell residual	down	Monoatomic Cation Transmembrane Transport (GO:0098655)	3695	1612	94	67	0.04156327543424317	0.02543978349120433	3.2661098202994028	3.7185042470984126e-08	ABCC8;ATP1A2;ATP1A3;ATP1B1;ATP1B3;ATP5MC1;ATP5MF;ATP6AP2;ATP6V0A1;ATP6V0B;ATP6V0C;ATP6V0E1;ATP6V0E2;ATP6V1A;ATP6V1E1;ATP6V1F;CACNA1D;CACNB2;HCN2;KCNA1;KCNA2;KCNA4;KCNB2;KCNC1;KCNC3;KCNG1;KCNH5;KCNH6;KCNH7;KCNH8;KCNJ10;KCNJ3;KCNK1;KCNK10;KCNK18;KCNK4;KCNMA1;KCNN2;KCNQ2;KCNQ5;KCNS1;KCNS3;KCNV1;LRRC52;MCOLN2;MCOLN3;P2RX3;RNASEK;SCN10A;SCN11A;SCN1A;SCN3B;SCN4B;SCN7A;SCNN1G;SLC24A4;SLC31A1;SLC39A6;SLC4A4;SLC6A1;SLC6A13;SLC6A15;SLC8A3;SLC9A2;SLC9A7;TRPM3;TRPM8	2.8335002362889905e-05	True
GO_BP_2025	late_allcell_residual	All-cell residual	down	Generation of Neurons (GO:0048699)	3695	1612	57	43	0.026674937965260544	0.015426251691474966	3.955718381650207	8.927133755361676e-07	ABI3;ACSL3;ADGRL3;ANOS1;ASTN1;ASTN2;BRSK2;CASP3;DCX;DNER;ERBB3;ERBB4;FGF13;FUT9;FZD1;FZD7;GPM6A;IL1RAPL1;INSM2;ITM2C;LRP12;MAP2K1;MAPT;MTPN;NEO1;NLGN4X;NRCAM;PDZD2;PHOX2B;POMGNT2;POU3F2;POU4F2;PTPRD;RTN1;RTN3;SIX1;SIX4;SOX3;SPOCK1;TAFA1;TGFB2;WNT7A;WNT7B	0.00039542679516056	True
GO_BP_2025	late_allcell_residual	All-cell residual	down	Axon Development (GO:0061564)	3695	1612	24	22	0.013647642679900745	0.006495263870094722	11.778371581263753	1.037865604095958e-06	APBB1;APLP1;BRSK2;CAMSAP2;CRTAC1;CTNNA2;ISL1;ISL2;MAP7D2;MAPT;NMNAT2;NRCAM;NTNG2;POU4F1;RTN4RL1;SLC25A46;SLITRK1;SLITRK2;SLITRK3;SLITRK4;VASH2;WNT7A	0.00039542679516056	True
GO_BP_2025	late_allcell_residual	All-cell residual	down	Metal Ion Transport (GO:0030001)	3695	1612	53	40	0.02481389578163772	0.014343707713125846	3.950079491255962	2.1337884759594156e-06	ATP1A2;CACNA1D;CACNB2;CACNG3;CACNG7;CAMK2A;CHRNB2;FGF13;GHITM;KCNA2;KCNA4;KCNB2;KCNC1;KCNC3;KCNG1;KCNH5;KCNH7;KCNH8;KCNJ10;KCNJ13;KCNJ3;KCNK1;KCNK18;KCNK4;KCNMA1;KCNN2;KCNS1;KCNS3;KCNV1;MAGT1;MMGT1;NIPAL1;NIPAL3;SCN1A;SCN3B;SCN4B;SLC17A7;SLC4A4;SLC9B2;TRPM3	0.0006503787274724298	True
GO_BP_2025	late_allcell_residual	All-cell residual	down	Proton Transmembrane Transport (GO:1902600)	3695	1612	18	17	0.01054590570719603	0.004871447902571042	15.227723806539226	7.611070848981313e-06	ATP1A2;ATP1A3;ATP1B1;ATP5MC1;ATP5MF;ATP6AP2;ATP6V0A1;ATP6V0B;ATP6V0C;ATP6V0E1;ATP6V0E2;ATP6V1A;ATP6V1E1;ATP6V1F;ATP6V1G1;ATP6V1G2;RNASEK	0.0019332119956412535	True
GO_BP_2025	late_allcell_residual	All-cell residual	down	Neuron Differentiation (GO:0030182)	3695	1612	45	34	0.02109181141439206	0.012178619756427604	3.9388660120367436	1.2223576496114043e-05	ANOS1;ATP8A2;BRINP2;BRSK2;CASP3;CTNNB1;ERBB3;ERBB4;FUT9;FZD1;FZD7;IL1RAPL1;INSM2;ISL2;ITM2C;MAP2K1;MTPN;NLGN4X;NTRK1;PDZD2;PHOX2B;POU3F2;POU4F2;PPT1;PTPRD;RTN1;RTN3;SOX3;SPOCK1;TENM1;TENM4;TGFB2;WNT7A;WNT7B	0.0026612472257254	True
GO_BP_2025	late_allcell_residual	All-cell residual	down	Nervous System Development (GO:0007399)	3695	1612	125	77	0.047766749379652605	0.03382949932341001	2.1182696794422045	2.9889377728929838e-05	ACTL6B;ADGRB2;ADGRL3;ADORA1;APBA2;APLP1;ARNT2;B3GNT5;BDNF;BTBD3;CDH2;CHRNA3;CHST8;CNTN6;COX7B;CSPG5;DCX;DNER;DPYSL5;ECRG4;EPHB1;ERBB3;ERBB4;FGF12;FGF13;FGF9;FLRT3;GDA;GFRA2;GJB1;GLRB;GPM6A;GRIK1;GSTP1;HES5;KCNQ2;KIRREL3;KLK6;LSAMP;LY6H;MAPT;MDGA2;MYT1;NCAN;NELL1;NLGN1;NPTX1;NRCAM;NRG1;NRSN1;PAFAH1B3;PAX8;PHOX2B;PLPPR1;POU3F2;POU4F1;PPT1;PTEN;PTPRD;PTPRZ1;RBFOX1;RBFOX3;ROBO2;SDHA;SERPINI1;SH3GL3;SLITRK1;SOX10;SOX3;SPOCK1;SPOCK2;STMN3;TAGLN3;TENM1;TNR;ZDHHC2;ZIC5	0.005693926457361134	True
GO_BP_2025	late_allcell_residual	All-cell residual	down	Potassium Ion Transmembrane Transport (GO:0071805)	3695	1612	48	35	0.021712158808933003	0.012990527740189444	3.451440981393438	3.388157524091596e-05	ABCC8;ATP1A2;ATP1A3;ATP1B1;ATP1B3;HCN2;KCNA1;KCNA2;KCNA4;KCNB2;KCNC1;KCNC3;KCNG1;KCNH5;KCNH6;KCNH7;KCNH8;KCNJ10;KCNJ13;KCNJ3;KCNK1;KCNK10;KCNK18;KCNK4;KCNMA1;KCNN2;KCNQ2;KCNQ5;KCNS1;KCNS3;KCNV1;LRRC52;SLC24A4;SLC9A2;SLC9A7	0.005737280074128436	True
GO_BP_2025	late_allcell_residual	All-cell residual	down	Synapse Organization (GO:0050808)	3695	1612	59	41	0.02543424317617866	0.015967523680649527	2.948405293616875	4.6987587177754785e-05	ADGRL3;BDNF;C1QB;C1QC;CACNB2;CBLN2;CDH10;CDH2;CHCHD10;CNTN2;CNTN6;CTNND2;CX3CR1;DNER;ERC2;FLRT3;GPM6A;IL1RAPL1;KIRREL3;LRFN5;MAPT;NLGN1;NLGN4X;NRCAM;NTNG2;PDZD2;POU4F1;PTEN;PTPRD;RAB39B;SEMA3E;SLC6A1;SLC8A3;SLITRK1;SLITRK2;SLITRK3;SNCB;SPOCK2;TNNC1;WNT7B;ZDHHC2	0.007160908285889829	True
