gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene_recovered_from_excel_date	direction	passes_fdr_0_05	passes_abs_log2fc_0_585	primary_signature_member	source_sheet	contrast_id	biological_level	effect_orientation	evidence_status
ABI3	3.64e-15	-0.764865395	0.108	0.17	6.76e-11	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ABTB3	1.08e-11	-1.44353696	0.012	0.028	2e-07	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ACACB	7.44e-10	0.611960026	0.291	0.258	1.38e-05	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ACAD11	2.11e-35	0.769777587	0.363	0.289	3.93e-31	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ACAP1	1.29e-08	-0.822667821	0.026	0.042	0.000240237	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ACKR2	2.55e-07	0.849663294	0.046	0.037	0.004733472	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ACTMAP	3.95e-11	-0.920982195	0.011	0.02	7.34e-07	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ADAM20	3.75e-07	0.700878168	0.049	0.041	0.006974083	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ADAMTS14	3.29e-14	0.619310727	0.112	0.092	6.11e-10	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ADGRG5	9.62e-09	-1.169518496	0.024	0.046	0.000178727	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ADH1C	1.09e-07	0.75116084	0.029	0.021	0.00202198	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ADHFE1	1e-11	0.638690693	0.283	0.247	1.87e-07	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ADIPOR2	1.07e-34	0.662443164	0.255	0.216	1.98e-30	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ADSS2	5.69e-09	-1.766576184	0.044	0.134	0.000105683	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
AEN	1.12e-08	-0.629090631	0.088	0.146	0.000208147	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
AIF1	3.52e-15	-1.380830602	0.069	0.191	6.53e-11	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
AKAP9	4.9e-25	0.605440542	0.423	0.355	9.11e-21	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
