gene	direction	source_log2fc	module_id	source_contrast	audit_only	direction_source_a	direction_source_b	source_a_log2fc	source_b_log2fc
ABTB3	up	1.73840877	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
AC015871.1	down	-1.575223191	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
AC091057.6	down	-2.412601454	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ADAMTS17	up	2.035561637	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ADGRF5	up	1.080684763	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ADGRV1	down	-0.932321708	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ADRB2	up	1.23549847	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ADSS	down	-1.372834854	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ADSS1	up	1.32295014	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
AKR1C8P	up	0.871622295	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ALCAM	down	-0.719597832	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ALPK1	down	-1.504944885	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
AP1G2	up	0.875456325	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
AQP1	down	-0.61934732	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ARMCX3	down	-0.601321141	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ARNTL	down	-1.452909031	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ATF3	up	0.659805526	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ATOH8	up	0.911847451	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ATP5MD	down	-1.415143474	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ATP6AP1L	down	-1.19083724	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ATRNL1	down	-0.806070788	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
B3GALT9	up	1.59643726	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
B3GAT1	down	-0.735351255	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
B3GAT2	down	-0.634729016	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
B3GNT10	down	-2.119169582	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
BCAN	down	-1.376261706	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
BRINP1	down	-0.647563291	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
BTBD11	down	-1.144473616	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
BVES	down	-0.795642301	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
C12orf10	down	-1.320621406	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
C12orf49	down	-1.615297354	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
C15orf65	down	-1.553801384	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
C16orf91	down	-0.998169106	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
C17orf53	down	-1.850020311	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
C19orf71	down	-2.48639122	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
C20orf27	down	-2.229102543	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
C5orf30	down	-1.012411935	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
C5orf51	down	-1.744063012	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
C9orf116	down	-1.076694409	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
C9orf16	down	-1.054136395	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
CACNG5	down	-1.35670537	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
CARD10	up	1.408206182	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
CARS1	up	2.579566351	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
CASC4	down	-1.523078145	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
CASTOR1	down	-0.725200723	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
CCDC173	down	-1.228098051	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
CCDC189	down	-1.180137605	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
CCDC3	down	-1.654635018	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
CCDC51	down	-0.768643442	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
CCK	down	-1.912706033	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
CCN2	down	-1.457528971	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
CCNF	up	0.843732643	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
CEP250	up	0.64029551	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
