file	file_bytes	file_sha256	sheet	max_row	max_column	nonempty_cell_count
41598_2022_8100_MOESM10_ESM.xlsx	15405	1c92966b91f578ec5c626c2a29eaf9366400417561341399c93c61787c0ec023	S9 GO 0007399	36	9	170
41598_2022_8100_MOESM11_ESM.xlsx	10231	5c2b31214570b260ef341d2e5b887832d4f9e9198ea3bc4ae532d4e77eef64c8	S10 Quality Table	53	5	65
41598_2022_8100_MOESM2_ESM.xlsx	13460	ad1bce8ef8a5fe88d959f65635a37e644c299c76f74123b070cb4b2c82694722	S1 Demographics	13	19	237
41598_2022_8100_MOESM3_ESM.xlsx	9741	a386c088f3f8f44f986797af4c01847a5b45429da6265e6de1fc6ae17b728def	S2 Histology	13	7	77
41598_2022_8100_MOESM4_ESM.xlsx	101274	b208aac363cb4c4eed2877657ecab83a31139be9d281e8389e3d907249e69708	S3 Significant_genes_only	845	8	6759
41598_2022_8100_MOESM5_ESM.xlsx	4320183	5a5ba8f7527c1c64c7ae3a3e66eb93690a9b4ac8b0baf5426e5210403f7d720d	S4 All_genes	42898	8	343183
41598_2022_8100_MOESM6_ESM.xlsx	6172116	4aa2994c508394a3aa89df0da63065bc27213a20c29b8b47acaa3f4047ba2e00	S5 Normalized_data D_vs_C	42898	13	557673
41598_2022_8100_MOESM7_ESM.xlsx	23511	086bed15b4dbfe88084b6dcad44200a77fa464dce82e83c5204592ed6265acdd	S6 Immunoglobulin	72	10	717
41598_2022_8100_MOESM8_ESM.xlsx	27085	6d28377703cc3c662610180fbd8687a4576c7405f4f9f166dda7f3b3c1e471c4	S7 DisGeNET	83	5	401
41598_2022_8100_MOESM9_ESM.xlsx	16383	92242c3689e6521f97a91cd77d8a0ffa5a8c4e2a59240c29dac245d92ea77ed9	S8 PainGenesdb	40	12	356
