dataset	contrast_id	sample	group	source_group	compartment	context	species	score
GSE329119	early_allcell_diabetes_vs_control	C1	control	control	TG	resting_diabetes	mouse	-0.013548487569247501
GSE329119	early_allcell_diabetes_vs_control	C2	control	control	TG	resting_diabetes	mouse	-0.017700800833904684
GSE329119	early_allcell_diabetes_vs_control	C3	control	control	TG	resting_diabetes	mouse	-0.004233255508645341
GSE329119	early_allcell_diabetes_vs_control	D1	disease	diabetic	TG	resting_diabetes	mouse	-0.010261809901861848
GSE329119	early_allcell_diabetes_vs_control	D2	disease	diabetic	TG	resting_diabetes	mouse	-0.05939645844742207
GSE329119	early_allcell_diabetes_vs_control	D3	disease	diabetic	TG	resting_diabetes	mouse	-0.07380367229369558
GSE329119	late_allcell_DPN_vs_diabetes	C1	control	control	TG	resting_diabetes	mouse	-0.23494320391121465
GSE329119	late_allcell_DPN_vs_diabetes	C2	control	control	TG	resting_diabetes	mouse	-0.22607630131732104
GSE329119	late_allcell_DPN_vs_diabetes	C3	control	control	TG	resting_diabetes	mouse	-0.2241957786252144
GSE329119	late_allcell_DPN_vs_diabetes	D1	disease	diabetic	TG	resting_diabetes	mouse	-0.23014800194424329
GSE329119	late_allcell_DPN_vs_diabetes	D2	disease	diabetic	TG	resting_diabetes	mouse	-0.21762641887841302
GSE329119	late_allcell_DPN_vs_diabetes	D3	disease	diabetic	TG	resting_diabetes	mouse	-0.17292115899313898
GSE329119	late_neuron_DPN_vs_diabetes	C1	control	control	TG	resting_diabetes	mouse	-0.024552361390823358
GSE329119	late_neuron_DPN_vs_diabetes	C2	control	control	TG	resting_diabetes	mouse	-0.027193579909415948
GSE329119	late_neuron_DPN_vs_diabetes	C3	control	control	TG	resting_diabetes	mouse	-0.02679386731164389
GSE329119	late_neuron_DPN_vs_diabetes	D1	disease	diabetic	TG	resting_diabetes	mouse	-0.023380311052402403
GSE329119	late_neuron_DPN_vs_diabetes	D2	disease	diabetic	TG	resting_diabetes	mouse	-0.01615978947442403
GSE329119	late_neuron_DPN_vs_diabetes	D3	disease	diabetic	TG	resting_diabetes	mouse	-0.01744659511596097
GSE329119	severity_neuron_modhigh_vs_low_nageotte	C1	control	control	TG	resting_diabetes	mouse	-0.07966338800318148
GSE329119	severity_neuron_modhigh_vs_low_nageotte	C2	control	control	TG	resting_diabetes	mouse	-0.08843968144331307
GSE329119	severity_neuron_modhigh_vs_low_nageotte	C3	control	control	TG	resting_diabetes	mouse	-0.09378814053532564
GSE329119	severity_neuron_modhigh_vs_low_nageotte	D1	disease	diabetic	TG	resting_diabetes	mouse	-0.09242196710794917
GSE329119	severity_neuron_modhigh_vs_low_nageotte	D2	disease	diabetic	TG	resting_diabetes	mouse	-0.11841746927442356
GSE329119	severity_neuron_modhigh_vs_low_nageotte	D3	disease	diabetic	TG	resting_diabetes	mouse	-0.1352772823099779
GSE329119	xenium_DPN_vs_control	C1	control	control	TG	resting_diabetes	mouse	-0.010936016778342696
GSE329119	xenium_DPN_vs_control	C2	control	control	TG	resting_diabetes	mouse	0.015170851654458778
GSE329119	xenium_DPN_vs_control	C3	control	control	TG	resting_diabetes	mouse	0.0007903291290465575
GSE329119	xenium_DPN_vs_control	D1	disease	diabetic	TG	resting_diabetes	mouse	0.03329434321255065
GSE329119	xenium_DPN_vs_control	D2	disease	diabetic	TG	resting_diabetes	mouse	0.025671557873083752
GSE329119	xenium_DPN_vs_control	D3	disease	diabetic	TG	resting_diabetes	mouse	-0.0010192335438056616
GSE227165	early_allcell_diabetes_vs_control	NOR_1	control	normal	cornea	resting_diabetes	rat	0.0041861744910107745
GSE227165	early_allcell_diabetes_vs_control	NOR_2	control	normal	cornea	resting_diabetes	rat	0.01945638416098204
GSE227165	early_allcell_diabetes_vs_control	NOR_3	control	normal	cornea	resting_diabetes	rat	0.019087415148620057
GSE227165	early_allcell_diabetes_vs_control	STZ_1	disease	STZ_diabetic	cornea	resting_diabetes	rat	0.00819561313528322
GSE227165	early_allcell_diabetes_vs_control	STZ_2	disease	STZ_diabetic	cornea	resting_diabetes	rat	0.01825629347421627
GSE227165	early_allcell_diabetes_vs_control	STZ_3	disease	STZ_diabetic	cornea	resting_diabetes	rat	0.03143308922034943
GSE227165	late_allcell_DPN_vs_diabetes	NOR_1	control	normal	cornea	resting_diabetes	rat	-0.03301113353762226
GSE227165	late_allcell_DPN_vs_diabetes	NOR_2	control	normal	cornea	resting_diabetes	rat	-0.030307574143200292
GSE227165	late_allcell_DPN_vs_diabetes	NOR_3	control	normal	cornea	resting_diabetes	rat	-0.037367551666845696
GSE227165	late_allcell_DPN_vs_diabetes	STZ_1	disease	STZ_diabetic	cornea	resting_diabetes	rat	-0.03642003884751836
GSE227165	late_allcell_DPN_vs_diabetes	STZ_2	disease	STZ_diabetic	cornea	resting_diabetes	rat	-0.033997199060800815
GSE227165	late_allcell_DPN_vs_diabetes	STZ_3	disease	STZ_diabetic	cornea	resting_diabetes	rat	-0.031654580145515365
GSE227165	late_neuron_DPN_vs_diabetes	NOR_1	control	normal	cornea	resting_diabetes	rat	0.007612155818120012
GSE227165	late_neuron_DPN_vs_diabetes	NOR_2	control	normal	cornea	resting_diabetes	rat	0.00044887189404545225
GSE227165	late_neuron_DPN_vs_diabetes	NOR_3	control	normal	cornea	resting_diabetes	rat	0.007369613919478407
