evidence_id	dataset_or_resource	species	compartment	comparison	program_or_test	status	key_result	interpretation	mandatory_caveat
E01	2026 human hDRG snRNA/spatial preprint	human	hDRG	Control-Diabetes-DPN	five frozen stage/severity signatures	DISCOVERY_ONLY	early all-cell 656; late all-cell 3173; late-neuron 744; Nageotte severity 509; Xenium 60	Source-defined stage and severity programs	Non-peer-reviewed preprint; not independent validation
E02	Independent 2022 hDRG bulk	human	hDRG	5 DPN vs 7 controls	original Nageotte severity signature	PASS	gene Q=0.000400; donor g=0.863; sex-stratified exact Q=0.0933; all LOO positive	Terminal human DPN severity program independently reproducible	No diabetes-without-neuropathy group; age imbalance
E03	Independent 2022 hDRG bulk	human	hDRG	5 DPN vs 7 controls	shared neuronal core	PASS	gene Q=0.000150; donor g=1.164; exact Q=0.080; all LOO positive	Shared ganglion neuronal program transfers within human hDRG	Post-JCI explanatory component analysis
E04	Independent 2022 hDRG bulk	human	hDRG	5 DPN vs 7 controls	late all-cell residual	PASS	gene Q=0.000150; donor g=0.932; exact Q=0.080; all LOO positive	Broad ganglion/context program transfers within human hDRG	Post-JCI explanatory component analysis
E05	Independent 2022 hDRG bulk	human	hDRG	5 DPN vs 7 controls	late neuron residual	FAIL	gene Q=0.993; donor g=-0.393; exact Q=0.860	Neuron-residual component is not uniform across proximal human ganglion cohorts	Negative result retained
E06	JCI 2025 human sural nerve	human	sural nerve	6 DPN vs 6 controls	late neuron residual	PASS	gene Q=0.00520; donor g=1.334; exact Q=0.0281; all LOO positive; TPM sensitivity g=1.243/Q=0.0476	Selective distal-nerve transport of a neuron-intrinsic residual program	Surgical-source/clinical heterogeneity; source signature remains preprint-derived
E07	JCI 2025 human sural nerve	human	sural nerve	6 DPN vs 6 controls	shared neuronal core	FAIL	gene Q=0.922; donor g=-0.063; exact Q=0.549	The shared late neuronal core is not uniformly represented distally	Negative result retained
E08	JCI 2025 human sural nerve	human	sural nerve	6 DPN vs 6 controls	late all-cell residual	FAIL	gene Q=1.000; donor g=-1.209; exact Q=1.000	Broad hDRG tissue-context signal reverses in distal nerve	Supports anatomical rather than universal transport
E09	JCI 2025 human sural nerve	human	sural nerve	13 severe vs 4 moderate axonal loss	severity shared neuronal core	PASS	gene Q=0.0236; donor g=1.674; exact Q=0.00504; all LOO positive	Within-DPN axonal-loss severity tracks a source-defined neuronal severity core	Moderate group n=4; association not longitudinal causality
E10	JCI 2025 human sural nerve	human	sural nerve	13 severe vs 4 moderate axonal loss	severity residual	FAIL	gene Q=0.0530; donor g=0.573; exact Q=0.155	Severity-specific residual has gene-level signal but fails the frozen dual-layer gate	Near-miss cannot be promoted
E11	GSE176017	rat	DRG	4 painful DPN vs 2 diabetes without allodynia	shared neuronal core	PROVISIONAL_PASS	g=0.797; matched-signature Q=0.0664; all LOO positive	Partial cross-species conservation of the shared core	Only 15 label permutations; exact two-sided P=0.400
E12	GSE176017	rat	DRG	4 painful DPN vs 2 diabetes without allodynia	late all-cell residual	PROVISIONAL_PASS	g=1.277; matched-signature Q=0.000300; all LOO positive	Broad contextual program transfers in rat DRG	Only 15 label permutations; exact two-sided P=0.133
E13	GSE176017	rat	DRG	4 painful DPN vs 2 diabetes without allodynia	late neuron residual	FAIL	g=-1.180; matched-signature Q=0.964	Neuron-residual component reverses in rat DRG	Species/model boundary
E14	GSE329119	mouse	TG	3 diabetic vs 3 control	late neuron residual	PROVISIONAL_PASS	gene Q=0.0115; g=2.273; all LOO positive	Neuron-residual program transfers to diabetic TG	Exact one-sided P=0.050 but tiny cohort; post-JCI explanatory
E15	GSE329119	mouse	TG	3 diabetic vs 3 control	late all-cell residual	PROVISIONAL_PASS	gene Q=0.000300; g=0.820; all LOO positive	Broad contextual program transfers to diabetic TG	Exact one-sided P=0.150; post-JCI explanatory
E16	GSE227165	rat	cornea	3 STZ vs 3 normal	all three late components	FAIL	g=-0.531,-0.248,-0.069; no gene Q<0.10	Resting diabetic cornea does not transport the neural programs	Strong ocular compartment boundary
E17	GSE180490	mouse	cornea	3 diabetic wounded vs 3 control wounded	late neuron residual	PROVISIONAL_PASS	gene Q=0.0444; g=0.743; all LOO positive	Neural residual appears only in wounded diabetic corneal context	Exact P=0.200; injury-context association
E18	GSE180490	mouse	cornea	3 diabetic wounded vs 3 control wounded	late all-cell residual	PROVISIONAL_PASS	gene Q=0.0255; g=0.967; all LOO positive	Broad program transfers in wounded diabetic cornea	Exact P=0.150; injury-context association
E19	GSE95849 and GSE185011	human	PBMC	HC-DM-DPN	original early/late all-cell stage gate	FAIL	fixed late-stage g=-0.861; I2=82.8%; directions not consistently positive	No stable blood stage biomarker	One cohort-specific severity signal did not replicate
E20	GSE302658	human	whole blood	PDN clinical trial baseline and change	original Nageotte severity clinical gate	FAIL	baseline NPSI rho=0.070/p=0.244; longitudinal rho=0.198/raw one-sided p=0.0273 but adjusted exposure p=0.221	Weak longitudinal association does not establish a clinical blood biomarker	Age/PC confounding and failed frozen multivariable gate
E21	PXD062366	human	tear proteome	Healthy-preDM-T2DM	direct hDRG signature coverage gate	NOT_TESTABLE	Nageotte coverage only 7 up and 33 down stable proteins; other signatures similarly sparse/asymmetric	Tears can be exploratory metabolism/pathway context only	Do not run outcome fishing after failed coverage gate
E22	Source hDRG Sup_Data1	human	hDRG	10 diabetes vs 7 DPN	major-cell-type proportions	SOURCE_CONTEXT	neurons Q=0.0103 decreased in DPN; fibroblasts Q=0.0492 and SMC Q=0.00475 increased in DPN	Supports separation of neuronal loss and tissue-remodelling components	Source-preprint context, not independent validation
