contrast_id	human_source_symbol	human_gene_id	human_symbol_mapping_method	human_direction	human_avg_log2FC	rat_gene_id	rat_official_symbol	reciprocal_one_to_one	present_in_rat_matrix	passes_rat_expression_filter
early_allcell_diabetes_vs_control	ABI3	51225	official_exact	down	-0.764865395	303476	Abi3	True	True	False
early_allcell_diabetes_vs_control	ABTB3	121551	official_exact	down	-1.44353696	314675	Abtb3	True	True	False
early_allcell_diabetes_vs_control	ACACB	32	official_exact	up	0.611960026	116719	Acacb	True	True	False
early_allcell_diabetes_vs_control	ACAD11	84129	official_exact	up	0.769777587	315973	Acad11	True	True	True
early_allcell_diabetes_vs_control	ACAP1	9744	official_exact	down	-0.822667821	287443	Acap1	True	True	False
early_allcell_diabetes_vs_control	ACKR2	1238	official_exact	up	0.849663294	140473	Ackr2	True	True	False
early_allcell_diabetes_vs_control	ACTMAP	284325	official_exact	down	-0.920982195	499106	Actmap	True	True	True
early_allcell_diabetes_vs_control	ADAM20	8748	official_exact	up	0.700878168			False	False	False
early_allcell_diabetes_vs_control	ADAMTS14	140766	official_exact	up	0.619310727	309837	Adamts14	True	True	False
early_allcell_diabetes_vs_control	ADGRG5	221188	official_exact	down	-1.169518496	307645	Adgrg5	True	True	False
early_allcell_diabetes_vs_control	ADH1C	126	official_exact	up	0.75116084	24172	Adh1c	True	False	False
early_allcell_diabetes_vs_control	ADHFE1	137872	official_exact	up	0.638690693	362474	Adhfe1	True	True	False
early_allcell_diabetes_vs_control	ADIPOR2	79602	official_exact	up	0.662443164	312670	Adipor2	True	True	True
early_allcell_diabetes_vs_control	ADSS2	159	official_exact	down	-1.766576184	289276	Adss2	True	True	True
early_allcell_diabetes_vs_control	AEN	64782	official_exact	down	-0.629090631	361594	Aen	True	True	True
early_allcell_diabetes_vs_control	AIF1	199	official_exact	down	-1.380830602	29427	Aif1	True	True	True
early_allcell_diabetes_vs_control	AKAP9	10142	official_exact	up	0.605440542	246150	Akap9	True	True	True
early_allcell_diabetes_vs_control	AKR1A1	10327	official_exact	down	-0.745850322	78959	Akr1a1	True	True	True
early_allcell_diabetes_vs_control	ALCAM	214	official_exact	up	0.606839771	79559	Alcam	True	True	True
early_allcell_diabetes_vs_control	ALKAL2	285016	official_exact	up	0.608573711	679566	Alkal2	True	True	True
early_allcell_diabetes_vs_control	ALYREF	10189	official_exact	down	-0.727540562	690585	Alyref	True	True	True
early_allcell_diabetes_vs_control	ANAPC16	119504	official_exact	up	0.627094769	100360936	Anapc16	True	True	True
early_allcell_diabetes_vs_control	ANGEL2	90806	official_exact	up	0.890963924	305035	Angel2	True	True	True
early_allcell_diabetes_vs_control	ANGPTL2	23452	official_exact	down	-0.69704034	171100	Angptl2	True	True	False
early_allcell_diabetes_vs_control	ANGPTL4	51129	official_exact	up	1.147547428	362850	Angptl4	True	True	True
early_allcell_diabetes_vs_control	ANKAR	150709	official_exact	up	0.890805713	501138	Ankar	True	True	False
early_allcell_diabetes_vs_control	ANKRD12	23253	official_exact	up	0.891222044	316775	Ankrd12	True	True	True
early_allcell_diabetes_vs_control	ANKRD26	22852	official_exact	up	0.759606069	312667	Ankrd26	True	True	True
early_allcell_diabetes_vs_control	ANKS1B	56899	official_exact	up	0.99962149	314721	Anks1b	True	True	True
early_allcell_diabetes_vs_control	ANP32A	8125	official_exact	down	-0.824511081	25379	Anp32a	True	True	True
