region_id	chr	start	end	discovery_direction	genome_build
PROPGER_DMR_0001	chr6	31691198	31692808	-1	hg19
PROPGER_DMR_0002	chr3	46758813	46760272	-1	hg19
PROPGER_DMR_0003	chr3	138724564	138725657	-1	hg19
PROPGER_DMR_0004	chr2	730615	732577	-1	hg19
PROPGER_DMR_0005	chr2	84517321	84517950	-1	hg19
PROPGER_DMR_0006	chr6	291634	293331	-1	hg19
PROPGER_DMR_0007	chr20	748992	750226	-1	hg19
PROPGER_DMR_0008	chr6	30130819	30131971	-1	hg19
PROPGER_DMR_0009	chr17	707018	707228	-1	hg19
PROPGER_DMR_0010	chr8	105379368	105380213	-1	hg19
PROPGER_DMR_0011	chr7	27253382	27254071	-1	hg19
PROPGER_DMR_0012	chr6	37460516	37461296	-1	hg19
PROPGER_DMR_0013	chr12	57587422	57588350	-1	hg19
PROPGER_DMR_0014	chr10	134045514	134046237	1	hg19
PROPGER_DMR_0015	chr8	37698900	37699507	1	hg19
PROPGER_DMR_0016	chr16	1500359	1501118	-1	hg19
PROPGER_DMR_0017	chr14	105255251	105255472	-1	hg19
PROPGER_DMR_0018	chr22	25159336	25160406	-1	hg19
PROPGER_DMR_0019	chr2	27664658	27665711	-1	hg19
PROPGER_DMR_0020	chr2	1817351	1817951	-1	hg19
PROPGER_DMR_0021	chr13	113655370	113656424	1	hg19
PROPGER_DMR_0022	chr2	239139518	239140634	1	hg19
PROPGER_DMR_0023	chr17	74475050	74475726	-1	hg19
PROPGER_DMR_0024	chr17	79167630	79167836	-1	hg19
PROPGER_DMR_0025	chr11	1036307	1038003	-1	hg19
PROPGER_DMR_0026	chr16	23653689	23653711	-1	hg19
PROPGER_DMR_0027	chr15	43809486	43810131	1	hg19
PROPGER_DMR_0028	chr10	134735402	134735893	-1	hg19
PROPGER_DMR_0029	chr19	1108560	1109252	-1	hg19
PROPGER_DMR_0030	chr8	11652174	11652694	-1	hg19
PROPGER_DMR_0031	chr1	54059983	54060214	-1	hg19
PROPGER_DMR_0032	chr3	195538675	195539463	-1	hg19
PROPGER_DMR_0033	chr16	85669675	85670348	-1	hg19
PROPGER_DMR_0034	chr11	61522498	61523045	-1	hg19
PROPGER_DMR_0035	chr5	1725823	1726243	-1	hg19
PROPGER_DMR_0036	chr15	78538041	78538784	-1	hg19
PROPGER_DMR_0037	chr17	73498302	73499295	-1	hg19
PROPGER_DMR_0038	chr9	139658896	139659112	-1	hg19
PROPGER_DMR_0039	chr6	41751160	41751599	-1	hg19
PROPGER_DMR_0040	chr1	8383636	8384659	-1	hg19
PROPGER_DMR_0041	chr2	161127261	161127884	-1	hg19
PROPGER_DMR_0042	chr14	104621176	104621601	-1	hg19
PROPGER_DMR_0043	chr22	36908637	36909228	-1	hg19
PROPGER_DMR_0044	chr17	73500739	73501230	-1	hg19
PROPGER_DMR_0045	chr3	182881427	182881682	-1	hg19
PROPGER_DMR_0046	chr19	18496756	18497201	1	hg19
PROPGER_DMR_0047	chr8	144635260	144636025	-1	hg19
PROPGER_DMR_0048	chr19	3637309	3637627	-1	hg19
PROPGER_DMR_0049	chr16	614645	615315	-1	hg19
PROPGER_DMR_0050	chr17	77893704	77893850	-1	hg19
PROPGER_DMR_0051	chr6	31733434	31734458	-1	hg19
PROPGER_DMR_0052	chr14	104689833	104690244	1	hg19
PROPGER_DMR_0053	chr17	79963012	79963691	-1	hg19
PROPGER_DMR_0054	chr16	1183462	1183656	-1	hg19
PROPGER_DMR_0055	chr1	191120455	191120830	-1	hg19
PROPGER_DMR_0056	chr4	3443403	3444147	-1	hg19
PROPGER_DMR_0057	chr16	54319242	54319624	1	hg19
PROPGER_DMR_0058	chr12	58131011	58131768	-1	hg19
PROPGER_DMR_0059	chr6	30036976	30037481	-1	hg19
PROPGER_DMR_0060	chr13	114103452	114104057	-1	hg19
PROPGER_DMR_0061	chr16	89357477	89357741	-1	hg19
PROPGER_DMR_0062	chr6	29910292	29911104	-1	hg19
PROPGER_DMR_0063	chr6	32134620	32135396	-1	hg19
PROPGER_DMR_0064	chr6	170441291	170441337	-1	hg19
PROPGER_DMR_0065	chr16	88472944	88473713	-1	hg19
PROPGER_DMR_0066	chr1	20692812	20693027	1	hg19
PROPGER_DMR_0067	chr11	2017664	2018247	-1	hg19
PROPGER_DMR_0068	chr19	50098132	50098764	-1	hg19
PROPGER_DMR_0069	chr16	56669038	56669778	1	hg19
PROPGER_DMR_0070	chr1	3703894	3704559	-1	hg19
PROPGER_DMR_0071	chr19	46270244	46270700	-1	hg19
PROPGER_DMR_0072	chr6	33263343	33264022	-1	hg19
PROPGER_DMR_0073	chr11	39183312	39183488	-1	hg19
PROPGER_DMR_0074	chr1	2450741	2451404	-1	hg19
PROPGER_DMR_0075	chr6	33143721	33144071	-1	hg19
PROPGER_DMR_0076	chr16	1815037	1815198	-1	hg19
PROPGER_DMR_0077	chr14	101531403	101531857	-1	hg19
PROPGER_DMR_0078	chr3	42307519	42307961	-1	hg19
PROPGER_DMR_0079	chr5	1337955	1338514	-1	hg19
PROPGER_DMR_0080	chr11	58731104	58731634	-1	hg19
PROPGER_DMR_0081	chr6	134491143	134491531	1	hg19
PROPGER_DMR_0082	chr17	8395456	8396080	-1	hg19
PROPGER_DMR_0083	chr17	80278914	80279077	-1	hg19
PROPGER_DMR_0084	chr11	67383377	67384040	-1	hg19
PROPGER_DMR_0085	chr22	50725470	50726286	-1	hg19
PROPGER_DMR_0086	chr2	26785187	26785946	1	hg19
PROPGER_DMR_0087	chr17	79077412	79077745	-1	hg19
PROPGER_DMR_0088	chr10	131567498	131568021	-1	hg19
PROPGER_DMR_0089	chr8	144069547	144069888	-1	hg19
PROPGER_DMR_0090	chr17	46681550	46682413	-1	hg19
PROPGER_DMR_0091	chr1	2003274	2003650	-1	hg19
PROPGER_DMR_0092	chr1	228403247	228403515	-1	hg19
PROPGER_DMR_0093	chr16	85262708	85262920	-1	hg19
PROPGER_DMR_0094	chr17	39739524	39739912	-1	hg19
PROPGER_DMR_0095	chr8	48172746	48172992	-1	hg19
PROPGER_DMR_0096	chr2	238535910	238536315	1	hg19
PROPGER_DMR_0097	chr6	44237813	44238426	1	hg19
PROPGER_DMR_0098	chr3	128780492	128780916	-1	hg19
PROPGER_DMR_0099	chr10	118897836	118898082	1	hg19
PROPGER_DMR_0100	chr6	142409279	142409630	1	hg19
PROPGER_DMR_0101	chr7	4245377	4245514	-1	hg19
PROPGER_DMR_0102	chr5	179225479	179225977	-1	hg19
PROPGER_DMR_0103	chr17	180404	180922	-1	hg19
PROPGER_DMR_0104	chr14	62331131	62331793	-1	hg19
PROPGER_DMR_0105	chr17	78161227	78161706	-1	hg19
PROPGER_DMR_0106	chr17	96672	97062	-1	hg19
PROPGER_DMR_0107	chr18	74091393	74091787	-1	hg19
PROPGER_DMR_0108	chr16	88744522	88744842	-1	hg19
PROPGER_DMR_0109	chr17	80765517	80766090	-1	hg19
PROPGER_DMR_0110	chr20	2730076	2730488	-1	hg19
PROPGER_DMR_0111	chr11	2154255	2154638	-1	hg19
PROPGER_DMR_0112	chr11	68133159	68133235	-1	hg19
PROPGER_DMR_0113	chr3	5024761	5024963	-1	hg19
PROPGER_DMR_0114	chr14	66480309	66480528	-1	hg19
PROPGER_DMR_0115	chr17	44270954	44271018	1	hg19
PROPGER_DMR_0116	chr6	31938207	31938533	-1	hg19
PROPGER_DMR_0117	chr19	577938	578440	-1	hg19
PROPGER_DMR_0118	chr16	89169744	89169858	-1	hg19
PROPGER_DMR_0119	chr19	6495193	6495665	-1	hg19
PROPGER_DMR_0120	chr13	95355277	95355869	1	hg19
PROPGER_DMR_0121	chr6	33131831	33132241	-1	hg19
PROPGER_DMR_0122	chr11	130059549	130060252	-1	hg19
PROPGER_DMR_0123	chr6	32013699	32015737	-1	hg19
PROPGER_DMR_0124	chr1	43751270	43751504	-1	hg19
PROPGER_DMR_0125	chr3	195599105	195599279	-1	hg19
PROPGER_DMR_0126	chr1	6605420	6605464	-1	hg19
PROPGER_DMR_0127	chr6	119031922	119032202	-1	hg19
PROPGER_DMR_0128	chr19	1826867	1826957	-1	hg19
PROPGER_DMR_0129	chr10	134550622	134550980	-1	hg19
PROPGER_DMR_0130	chr19	49522683	49523046	1	hg19
PROPGER_DMR_0131	chr16	71748643	71749135	-1	hg19
PROPGER_DMR_0132	chr11	625147	625274	-1	hg19
PROPGER_DMR_0133	chr19	52134227	52134501	-1	hg19
PROPGER_DMR_0134	chr7	539977	540176	-1	hg19
PROPGER_DMR_0135	chr20	62809978	62810206	-1	hg19
PROPGER_DMR_0136	chr19	1494978	1495386	-1	hg19
PROPGER_DMR_0137	chr22	24577169	24577315	-1	hg19
PROPGER_DMR_0138	chr16	67997858	67998246	-1	hg19
PROPGER_DMR_0139	chr16	83964775	83965208	-1	hg19
PROPGER_DMR_0140	chr8	145728388	145728630	-1	hg19
PROPGER_DMR_0141	chr14	101526670	101527072	-1	hg19
PROPGER_DMR_0142	chr20	44746392	44746944	1	hg19
PROPGER_DMR_0143	chr6	29857512	29857569	-1	hg19
PROPGER_DMR_0144	chr2	233251770	233251881	-1	hg19
PROPGER_DMR_0145	chr3	138327370	138327707	1	hg19
PROPGER_DMR_0146	chr6	28983079	28983178	-1	hg19
PROPGER_DMR_0147	chr3	113933023	113933175	-1	hg19
PROPGER_DMR_0148	chr14	105683798	105684005	-1	hg19
PROPGER_DMR_0149	chr5	16936369	16936478	1	hg19
PROPGER_DMR_0150	chr7	4877595	4877871	-1	hg19
PROPGER_DMR_0151	chr17	41381918	41382237	-1	hg19
PROPGER_DMR_0152	chr6	170590694	170591088	-1	hg19
PROPGER_DMR_0153	chr12	6982320	6982548	1	hg19
PROPGER_DMR_0154	chr8	2585666	2586008	-1	hg19
PROPGER_DMR_0155	chr2	42565216	42565378	-1	hg19
PROPGER_DMR_0156	chr2	242798443	242798512	-1	hg19
PROPGER_DMR_0157	chr16	3706634	3706792	-1	hg19
PROPGER_DMR_0158	chr6	33860623	33860869	-1	hg19
PROPGER_DMR_0159	chr1	207991720	207991780	-1	hg19
PROPGER_DMR_0160	chr19	18313289	18313429	-1	hg19
PROPGER_DMR_0161	chr5	1036426	1036465	-1	hg19
PROPGER_DMR_0162	chr4	2251938	2252195	-1	hg19
PROPGER_DMR_0163	chr5	172306099	172306136	-1	hg19
PROPGER_DMR_0164	chr12	79439075	79439106	-1	hg19
PROPGER_DMR_0165	chr13	113296369	113296447	-1	hg19
PROPGER_DMR_0166	chr4	7764949	7765033	-1	hg19
