rat_ensembl_gene_id	rat_gene_symbol	gene_type	mean_normal	mean_diabetic	log2FC	median_log2FC	hedges_g	welch_p	BH_FDR	tested	same_median_direction	large_effect_abs_log2FC_ge_0.5	direction	mouse_ensembl_gene_id	mouse_gene_symbol	orthology_type	orthology_confidence	ortholog_mapping_basis
ENSRNOG00000000001	AABR07013255	pseudogene	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000046561	Arsj	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000009	Tmco5b	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000041255	Tmco5b	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000010	Cbln1	protein_coding	0.020115333333333332	0.0001	-0.22598192996471944	0.0	-0.6531972647421818	1.0	1.0	False	False	False	down	ENSMUSG00000031654	Cbln1	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000012	Tcf15	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000068079	Tcf15	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000017	Steap1	protein_coding	0.899042	1.1771473333333333	0.2073834923008017	0.7572068243616497	0.19864187851707846	0.7810278016285742	1.0	True	True	False	up	ENSMUSG00000015652	Steap1	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000033	Tmcc2	protein_coding	0.32557566666666665	0.2781113333333333	-0.15705871603686972	-0.34317456140451563	-0.45307121314300763	1.0	1.0	False	True	False	down	ENSMUSG00000042066	Tmcc2	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000035	Tmed11	protein_coding	0.2689586666666667	0.19350233333333333	-0.4642101817894688	-0.1002257615181843	-0.6284107591415704	1.0	1.0	False	True	False	down	ENSMUSG00000004821	Tmed11	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000053	Crp	protein_coding	0.004416461333333333	0.0001	-0.05850371892314543	0.0	-0.6531972647421775	1.0	1.0	False	False	False	down	NA	NA	NA	NA	unmapped
ENSRNOG00000000055	Fcrl6	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000000060	Cplx1	protein_coding	0.10859	0.13065666666666667	0.15851188111526593	0.24934718773565212	0.6071396037868075	1.0	1.0	False	True	False	up	ENSMUSG00000033615	Cplx1	ortholog_one2one	1	unique_rat_gene_symbol
ENSRNOG00000000091	Smad9	protein_coding	0.08165166666666666	0.131779	0.4380120625098538	0.0934794670019512	0.7200489354007737	1.0	1.0	False	True	False	up	ENSMUSG00000027796	Smad9	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000109	Fgf20	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000031603	Fgf20	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000124	AABR07065970	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000000129	Phf24	protein_coding	0.015663	0.0001	-0.18410062870165556	0.0	-0.6531972647421809	1.0	1.0	False	False	False	down	ENSMUSG00000036062	Phf24	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000137	Ly86	protein_coding	0.04986433333333332	0.039495	-0.1609110347644651	-0.789588558137361	-0.2280543028803741	1.0	1.0	False	True	False	down	NA	NA	NA	NA	unmapped
ENSRNOG00000000168	Gatm	protein_coding	0.021780333333333336	0.01656466666666667	-0.0689986370983906	0.03899150166531751	-0.36188750934995184	1.0	1.0	False	False	False	down	ENSMUSG00000027199	Gatm	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000186	Tst	protein_coding	1.0052006666666666	1.1198013333333334	0.15247817503175753	0.20450237019547157	0.28995814994917146	0.6803517912573167	1.0	True	True	False	up	NA	NA	NA	NA	unmapped
ENSRNOG00000000187	Csf2rb	protein_coding	0.10973733333333334	0.09482866666666667	-0.09073699342826069	-0.08863481378341609	-0.19850944488637173	1.0	1.0	False	True	False	down	NA	NA	NA	NA	unmapped
ENSRNOG00000000196	Cyp19a1	protein_coding	0.0001	0.009840999999999999	0.12317896868017941	0.0	0.6531972647421809	1.0	1.0	False	False	False	up	ENSMUSG00000032274	Cyp19a1	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000199	Dppa5	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000000201	Gsta5	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000000233	Grm6	protein_coding	0.024079666666666666	0.013418	-0.11179307741026001	-0.008352649321638594	-0.3595491923052945	1.0	1.0	False	True	False	down	ENSMUSG00000000617	Grm6	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000239	Ccl7	protein_coding	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	ENSMUSG00000035373	Ccl7	ortholog_one2one	1	ensembl_gene_id
ENSRNOG00000000252	AABR07042687	processed_pseudogene	0.0001	0.0001	0.0	0.0	0.0	1.0	1.0	False	True	False	flat	NA	NA	NA	NA	unmapped
ENSRNOG00000000320	AABR07045462	protein_coding	0.0001	0.02223766666666667	0.2447309471938124	0.0	0.6531972647421813	1.0	1.0	False	False	False	up	NA	NA	NA	NA	unmapped
ENSRNOG00000000335	Ermap	protein_coding	0.022696000000000004	0.0001	-0.24868571379824855	0.0	-0.6531972647421809	1.0	1.0	False	False	False	down	NA	NA	NA	NA	unmapped
ENSRNOG00000000345	AABR07064998	processed_pseudogene	0.021084000000000002	0.007356666666666667	-0.1399963690566346	0.0	-0.3614498780562699	1.0	1.0	False	False	False	down	NA	NA	NA	NA	unmapped
